Generation;Best;Average
1;6,143933;6,256851772
2;6,138748;6,253306258
3;6,143933;6,250697522
4;6,120599;6,248098042
5;6,120599;6,245836286
6;6,120599;6,244837893
7;6,120599;6,242889316
8;6,111538;6,240075825
9;6,110896;6,238448298
10;6,110896;6,236928704
11;6,110896;6,234795984
12;6,110896;6,234264973
13;6,110896;6,232574222
14;6,110896;6,231095636
15;6,110896;6,229900649
16;6,110896;6,227843945
17;6,110896;6,226885977
18;6,110896;6,225881383
19;6,110896;6,224606331
20;6,110896;6,22392784
21;6,110896;6,223000492
22;6,110896;6,22237552
23;6,110896;6,221400886
24;6,110896;6,220706543
25;6,110896;6,220969146
26;6,110896;6,22053903
27;6,110896;6,218848879
28;6,101636;6,218893906
29;6,119885;6,218525119
30;6,119885;6,218756115
31;6,119885;6,217280336
32;6,119885;6,217353256
33;6,119885;6,217234942
34;6,119885;6,215700287
35;6,119885;6,215845168
36;6,119885;6,21551934
37;6,119885;6,215355003
38;6,120556;6,215484861
39;6,120556;6,215359511
40;6,120556;6,215301602
41;6,120556;6,215636455
42;6,120556;6,215607447
43;6,120556;6,215862943
44;6,120556;6,215418838
45;6,120556;6,214823923
46;6,120556;6,215449914
47;6,120556;6,215439746
48;6,118606;6,215237353
49;6,118606;6,214864513
50;6,118606;6,2144395
51;6,118606;6,214077921
52;6,118606;6,213674552
53;6,118606;6,213687782
54;6,118606;6,213569844
55;6,118606;6,213244186
56;6,118606;6,212387408
57;6,085852;6,212594366
58;6,085852;6,212876462
59;6,085852;6,212806923
60;6,085852;6,212182822
61;6,079846;6,21305154
62;6,079846;6,213092751
63;6,079846;6,213087278
64;6,079846;6,213291369
65;6,079846;6,212673816
66;6,079846;6,213175857
67;6,079846;6,212799168
68;6,079846;6,212755871
69;6,079846;6,212380137
70;6,079846;6,212198801
71;6,079846;6,212174228
72;6,079846;6,213090825
73;6,079846;6,212474143
74;6,079846;6,212500562
75;6,079846;6,212306758
76;6,079846;6,211983899
77;6,108494;6,21212509
78;6,108494;6,212093484
79;6,108494;6,212017412
80;6,108494;6,21221242
81;6,108494;6,21151645
82;6,108494;6,211286829
83;6,108494;6,211108458
84;6,108494;6,210967662
85;6,108494;6,21066984
86;6,108494;6,211075034
87;6,108494;6,211933138
88;6,108494;6,212241002
89;6,108494;6,211659621
90;6,108494;6,210728367
91;6,108494;6,211204225
92;6,110413;6,212066935
93;6,110413;6,212206483
94;6,110413;6,212602215
95;6,110413;6,212956654
96;6,110413;6,21224474
97;6,110413;6,21223665
98;6,110413;6,211825476
99;6,109505;6,211441397
100;6,109505;6,212889764
