Generation;Best;Average;ElapsedSeconds
0;14,546837;16,432956076333216;0,00
1;14,446491;16,197660203666604;0,77
2;14,446491;16,13682483533325;1,59
3;14,393694;16,078554199333247;2,42
4;14,155724;15,997816113333299;3,24
5;14,155724;15,955783966333298;4,04
6;14,155724;15,896730301666668;4,83
7;14,155724;15,85977935066665;5,60
8;14,155724;15,834753255666582;6,35
9;14,155724;15,775750375333288;7,11
10;14,155724;15,739857913666642;7,95
11;14,155724;15,71232353933332;8,91
12;14,155724;15,690184615999963;9,84
13;14,155724;15,648601185333328;10,68
14;14,103979;15,620557183999983;11,61
15;14,103979;15,600627809999956;12,60
16;14,103979;15,572247776999962;13,46
17;14,103979;15,52813457266659;14,25
18;13,645314;15,519120128666648;15,15
19;13,627693;15,478316547666662;16,07
20;13,627693;15,457430140333315;16,90
21;13,610196;15,427085534000005;17,71
22;13,610196;15,390695174666662;18,49
23;13,610196;15,368977543666611;19,32
24;13,610196;15,366913455333332;20,17
25;13,610196;15,342873779999975;21,03
26;13,610196;15,327329600999983;22,10
27;13,610196;15,315580317333293;22,96
28;13,610196;15,268444537333293;23,82
29;13,610196;15,261140981333279;24,63
30;13,567794;15,213205998666679;25,40
31;13,567794;15,195878041999952;26,15
32;13,540183;15,176939964666671;26,98
33;13,538708;15,146243353999989;27,89
34;13,439852;15,11564494999999;28,77
35;13,439852;15,086169971666704;29,62
36;13,439852;15,065793110333303;30,50
37;13,439852;15,038338272333315;31,31
38;13,300638;15,015940068666692;32,15
39;13,300638;14,986941710999993;33,00
40;13,300638;14,954792890999963;33,84
41;13,300638;14,926411582999991;34,69
42;13,300638;14,926506299999998;35,53
43;13,300638;14,901057586999999;36,40
44;13,300638;14,896732135333295;37,31
45;13,300638;14,888830582666667;38,24
46;13,300638;14,862516606333301;39,10
47;13,300638;14,84034416900001;39,96
48;13,300638;14,843974357000004;40,85
49;13,300638;14,83151287766668;41,78
50;13,300638;14,81434425966666;42,70
51;13,300638;14,80034793066666;43,65
52;13,300638;14,787593369999984;44,55
53;13,300638;14,776295446000018;45,45
54;13,300638;14,755382469000006;46,36
55;13,300638;14,761774186666718;47,35
56;13,300638;14,760882476000015;48,35
57;13,300638;14,74664790766667;49,33
58;13,300638;14,740417163000007;50,28
59;13,300638;14,713173150999983;51,22
60;13,300638;14,701393458666635;52,19
61;12,765528;14,72310833066665;53,22
62;12,765528;14,716790902333319;54,24
63;12,765528;14,709330294666639;55,26
64;12,765528;14,674292808666621;56,35
65;12,765528;14,688341873999981;57,41
66;12,765528;14,65581519066663;58,50
67;12,765528;14,690662511333278;59,72
