Generation;Best;Average;ElapsedSeconds
0;7,07128;8,217134801333332;0,01
1;6,546536;8,002349343999999;0,57
2;6,546536;7,917383367333347;0,93
3;6,537125;7,852836596000001;1,18
4;6,537125;7,776188949999994;1,41
5;6,537125;7,755844744666664;1,60
6;6,537125;7,734207555999998;1,79
7;6,49945;7,710292630666658;1,99
8;6,440327;7,6679921546666545;2,18
9;6,440327;7,63405370933331;2,37
10;6,440327;7,603273415999994;2,57
11;6,396266;7,599162334000002;2,77
12;6,396266;7,590442774000004;2,96
13;6,396266;7,572019356666678;3,12
14;6,396266;7,553547519999994;3,31
15;6,396266;7,535393501333338;3,49
16;6,396266;7,531421066;3,69
17;6,396266;7,519118526666671;3,88
18;6,396266;7,50807068399999;4,10
19;6,3387080000000005;7,500401909333332;4,29
20;6,3387080000000005;7,481355751999997;4,47
21;6,3387080000000005;7,478898180666666;4,66
22;6,3387080000000005;7,469603025333341;4,86
23;6,3387080000000005;7,479246119333342;5,05
24;6,331974;7,4601601153333394;5,25
25;6,331974;7,438694993333335;5,45
26;6,331974;7,449366983999984;5,64
27;6,331974;7,438458283333333;5,81
28;6,331974;7,403067940666663;6,01
29;6,331974;7,425319695333347;6,20
30;6,331974;7,4181799333333265;6,39
31;6,331974;7,413417497333337;6,59
32;6,331974;7,40661986133334;6,78
33;6,331974;7,397937748666666;6,95
34;6,331974;7,40365841133333;7,13
35;6,331974;7,39567098666668;7,32
36;6,331974;7,393227652000001;7,53
37;6,331974;7,401223248666664;7,72
38;6,331974;7,375382023333333;7,92
39;6,331974;7,365353600000002;8,12
40;6,331974;7,377937671999995;8,29
41;6,331974;7,377312947333345;8,50
42;6,331974;7,3750976126666865;8,72
43;6,307244;7,355820420666667;8,95
44;6,307244;7,366389638666682;9,14
45;6,307244;7,357080362666679;9,32
46;6,29234;7,362835766666667;9,50
47;6,29234;7,355171388666657;9,68
48;6,29234;7,3521590266666585;9,87
49;6,29234;7,345279986000005;10,06
50;6,29234;7,351610919333342;10,24
51;6,29234;7,344361315333337;10,43
52;6,29234;7,332172186666675;10,60
53;6,29234;7,325698080666682;10,79
54;6,29234;7,335553190666674;10,95
55;6,29234;7,324614800000016;11,14
56;6,29234;7,327768166666682;11,35
57;6,29234;7,331399444666679;11,55
58;6,29234;7,331398758666664;11,74
59;6,29234;7,315172418666683;11,94
60;6,29234;7,304951781999999;12,13
61;6,29234;7,3074633466666725;12,30
62;6,29234;7,314821964666684;12,51
63;6,29234;7,3082668773333435;12,70
64;6,29234;7,323186796666664;12,91
65;6,264794;7,300462720666663;13,11
66;6,264794;7,301384300000004;13,31
67;6,264794;7,324926190000014;13,48
68;6,264794;7,3016220826666896;13,67
69;6,264794;7,3216900473333375;13,87
70;6,264794;7,286340720666692;14,06
71;6,264794;7,279550396666675;14,26
72;6,264794;7,295186816000013;14,48
73;6,264794;7,305188638000001;14,67
74;6,264794;7,291834362000001;14,85
75;6,264794;7,290501452000014;15,05
76;6,264794;7,302165220666667;15,25
77;6,264794;7,286777672666674;15,46
78;6,264794;7,2759686540000015;15,66
79;6,264794;7,2945715593333285;15,86
80;6,264794;7,2731309793333425;16,07
81;6,264794;7,309005210666663;16,26
82;6,264794;7,281788664000009;16,46
83;6,264794;7,29087516866668;16,66
84;6,264794;7,290490644666674;16,85
85;6,264794;7,297461068666673;17,05
86;6,262777;7,288357377333341;17,26
87;6,262777;7,29088230800001;17,45
88;6,262777;7,283525554666674;17,62
89;6,262777;7,285556716666682;17,83
90;6,262777;7,280020339333342;18,02
91;6,262777;7,273866540666673;18,23
92;6,262777;7,300541044000017;18,44
93;6,262777;7,281191016666681;18,65
94;6,262777;7,275012038000004;18,86
95;6,262777;7,271665495999999;19,06
96;6,262777;7,276874813333338;19,29
97;6,262777;7,2784805400000065;19,51
98;6,262777;7,269545745999994;19,72
99;6,262777;7,271595626666677;19,95
100;6,247008;7,283068645333329;20,16
101;6,247008;7,273917653333346;20,34
102;6,247008;7,2732975740000025;20,54
103;6,247008;7,263118344000009;20,75
104;6,247008;7,277022714666687;20,94
105;6,247008;7,261693404666672;21,13
106;6,247008;7,261192020666687;21,35
107;6,247008;7,263775498000036;21,55
108;6,247008;7,255824079333357;21,74
109;6,247008;7,26262847933336;21,93
110;6,247008;7,255319167333361;22,14
111;6,247008;7,261423822666688;22,37
112;6,247008;7,246048694000019;22,58
113;6,239996;7,264550458000014;22,80
114;6,239996;7,249240943333358;22,99
115;6,239996;7,248256485333354;23,23
116;6,239996;7,274999633333349;23,46
117;6,239996;7,242669356000028;23,68
118;6,239996;7,233051115333354;23,91
119;6,239996;7,262437768666683;24,12
120;6,239996;7,2629774126666815;24,32
121;6,17056;7,248809082000012;24,52
122;6,17056;7,247018522666676;24,73
123;6,17056;7,2493121820000175;24,96
124;6,17056;7,254842689333345;25,18
125;6,17056;7,239612015333347;25,41
126;6,17056;7,2466310033333405;25,63
127;6,17056;7,267923691333344;25,85
128;6,17056;7,240706398666681;26,07
129;6,17056;7,254747678000013;26,31
130;6,17056;7,247128961333345;26,56
131;6,17056;7,2394409793333425;26,80
132;6,149968;7,235298332000008;27,03
133;6,149968;7,246431075333341;27,24
134;6,149968;7,2305487766666685;27,48
135;6,149968;7,230938286000014;27,73
136;6,149968;7,238811802000019;27,99
137;6,149968;7,214908041333338;28,24
138;6,132866;7,238746146666667;28,47
139;6,132866;7,251792923999999;28,71
140;6,132866;7,247261582666675;28,96
141;6,132866;7,241499206000007;29,21
142;6,132866;7,235384980000006;29,48
143;6,132866;7,240183088666663;29,73
144;6,132866;7,249973373999999;29,94
