Generation;AverageBest;AverageAverage;AverageTime
0;30.174185;33.4954507616222;0.001
1;30.1231886;33.002430065866655;4.717
2;29.7835695;32.7972972648222;9.555
3;29.7233707;32.65219701404442;14.167
4;29.6268421;32.52864648115557;18.884999999999998
5;29.5182488;32.43671561582219;23.646
6;29.4116695;32.34236613357774;28.491
7;29.2486791;32.263126173022236;33.444
8;29.0824307;32.20220538233329;38.558
9;29.065084;32.13870538833333;43.661
10;28.9701598;32.07396867206665;49.143
11;28.903431400000002;32.00943690222219;54.676
12;28.8323068;31.949773946466674;60.047000000000004
13;28.7394211;31.901082017244438;65.618
14;28.7054238;31.845693829777765;71.05
15;28.6982888;31.794454269844383;76.856
16;28.6982888;31.74903662533332;82.604
17;28.6940406;31.714197454266632;88.114
18;28.6536609;31.67096685475553;93.70400000000001
19;28.650411300000002;31.639800231288888;99.425
20;28.6237147;31.60959150711109;105.07
21;28.6132202;31.571902458444423;110.6
22;28.6132202;31.540329521799993;116.021
23;28.6102744;31.503916991555535;121.332
24;28.575222;31.485351595111077;126.685
25;28.4782407;31.45468043055552;132.132
26;28.410135699999998;31.426188757822175;137.465
27;28.2695687;31.3944792114222;142.939
28;28.2695687;31.369321569199972;148.566
29;28.2342377;31.346962509888844;153.877
30;28.2236462;31.31396469133332;159.404
31;28.2232798;31.27882846671108;165.012
32;28.2232798;31.25766401282222;170.538
33;28.2201197;31.228646431711148;176.148
34;28.2169897;31.205643118066682;181.62800000000001
35;28.1515323;31.18221339944445;187.01
36;28.1001383;31.144222635066647;192.419
37;28.093247599999998;31.117285741822187;197.796
38;28.092452299999998;31.110781994244423;203.166
39;28.0882716;31.08675432059999;208.546
40;28.0522983;31.062359133088872;214.063
41;27.995011599999998;31.041492463177768;219.564
42;27.9905206;31.017405688333312;224.987
43;27.902336899999998;30.99380694988887;230.529
44;27.8284838;30.97843413513329;235.811
45;27.7710432;30.953418028999973;241.198
46;27.7710432;30.941037723422248;246.532
47;27.7710432;30.918847996733327;251.894
48;27.7710432;30.89307261793336;257.316
49;27.7635969;30.87300755704446;262.661
50;27.7635969;30.862648024177766;268.034
51;27.752072300000002;30.845000282444442;273.375
52;27.6982221;30.836334733466643;278.693
53;27.6923332;30.82154829048885;283.991
54;27.6896464;30.80245666564441;289.281
55;27.6814345;30.779777149733313;294.624
56;27.6814345;30.77583256484443;299.997
57;27.6715447;30.755480504111073;305.214
58;27.6705474;30.739623023000004;310.512
59;27.6705474;30.718011569822217;315.73199999999997
60;27.663254600000002;30.712900820022192;320.952
61;27.6240634;30.70221325744442;326.243
62;27.6240634;30.681944934777718;331.584
63;27.5977189;30.677169260733315;336.974
64;27.5871691;30.653345109177717;342.428
65;27.5811655;30.65128531755551;347.831
66;27.5792346;30.63735037079997;353.114
67;27.5792346;30.62664979497776;358.45799999999997
68;27.5792346;30.60952306388886;363.858
69;27.5118076;30.601513671666638;369.251
70;27.5118076;30.588112086244408;374.67
71;27.509275;30.57556385008885;380.08
72;27.509275;30.571677755222176;385.449
73;27.5047185;30.56196189648883;390.757
74;27.4776673;30.54139722868885;396.018
75;27.3575657;30.535620377777768;401.181
76;27.357044000000002;30.528877082933306;406.369
77;27.3499845;30.506131430022215;411.627
78;27.3499845;30.50195301786667;416.793
79;27.2917443;30.487188862577767;422.045
80;27.2917443;30.484238614399974;427.305
81;27.2917443;30.472566946977746;432.516
82;27.2917443;30.463160843466646;437.694
83;27.2806022;30.452527713911095;442.896
84;27.2802995;30.440986467333325;448.065
85;27.2802995;30.43109165313331;453.331
86;27.2783178;30.42757946237779;458.52
87;27.2747719;30.41592040340001;463.649
88;27.271856;30.397626326311133;468.81100000000004
89;27.2700201;30.385820081000013;474.033
90;27.2700201;30.37948702020002;479.106
91;27.2700201;30.359840235711115;484.254
92;27.2700201;30.35272847253334;489.46299999999997
93;27.2555775;30.35358320273332;494.727
94;27.2284326;30.337616677288885;500.069
95;27.2272352;30.32831837311112;505.303
96;27.2266774;30.325557585711106;510.512
97;27.2108649;30.314852710955577;515.604
98;27.2089375;30.29565641824448;520.769
99;27.2016313;30.296716837244453;525.99
100;27.2016313;30.29125755751113;531.129
101;27.1968284;30.279437419866667;536.264
102;27.1968284;30.26953679271112;541.473
103;27.1968284;30.267254636177782;546.645
104;27.1968284;30.257672623133317;552.031
105;27.1968284;30.246432762622224;557.327
106;27.1959135;30.243721856488875;562.691
107;27.1157667;30.234889889066675;567.964
108;27.1157667;30.231132334688862;573.314
109;27.0979575;30.218352373933303;578.735
110;27.0198711;30.22143233504442;584.023
111;27.0198711;30.213028634977753;589.348
112;27.0198711;30.20861255277776;594.753
113;27.0198711;30.200786309133292;600.177
114;27.0139736;30.192994861711092;605.534
115;27.0139736;30.181580718577763;611.202
116;27.0139736;30.179144527911095;616.564
117;26.9673048;30.176594145088877;621.987
118;26.9673048;30.168688022977772;627.326
119;26.9673048;30.166194322511114;632.806
120;26.9673048;30.163760334888888;638.319
121;26.9673048;30.15096287606665;643.77
122;26.9430122;30.15202836982223;649.1800000000001
123;26.9430122;30.135676021000016;654.667
124;26.9430122;30.136986372711107;660.136
125;26.9430122;30.13275430253333;665.613
126;26.9430122;30.13145570993335;671.083
127;26.9430122;30.124013042177776;676.6320000000001
128;26.8934012;30.11375725520002;682.336
129;26.8920539;30.10075955560001;688.091
130;26.8864916;30.101095922400006;693.631
131;26.8864916;30.103635335688907;699.179
132;26.8736508;30.096688330711103;704.843
133;26.8736508;30.091255023222207;710.405
134;26.8648129;30.092991322377767;715.905
135;26.8648129;30.078343175577785;721.5070000000001
136;26.8648129;30.072858011555514;726.991
137;26.8648129;30.06998109657777;732.503
138;26.8648129;30.073693203755568;737.957
139;26.8173795;30.06523549062222;743.458
140;26.8173795;30.0618800388889;748.938
141;26.8173795;30.06029195266666;754.351
142;26.8173795;30.049765910933342;759.941
143;26.8173795;30.046575105666633;765.833
144;26.8173795;30.040699312422216;771.562
145;26.8173795;30.041697925511112;777.1320000000001
146;26.8173795;30.0393176591111;782.731
147;26.8121193;30.03621064906664;788.22
148;26.8121193;30.031347372466655;793.758
149;26.8121193;30.031322122977777;799.288
150;26.8121193;30.017738406644423;804.869
151;26.8121193;30.0251750705111;810.509
152;26.8046881;30.01628952506667;816.084
153;26.8044999;30.010993254200017;821.62
154;26.8044999;30.014606646377782;827.182
155;26.8044999;30.01038576353331;832.746
156;26.8044999;30.00948967086665;838.436
157;26.8044999;30.001961843422222;844.045
158;26.8044999;29.994714227644454;849.622
159;26.8044999;29.993996290866654;855.179
160;26.8044999;29.986983178000003;860.754
161;26.8021002;29.98856826328891;866.512
162;26.8021002;29.985111559622222;872.225
163;26.7968455;29.977737615355558;877.871
164;26.768709700000002;29.969171373022224;883.49
165;26.768709700000002;29.970588036266655;889.1419999999999
166;26.768709700000002;29.97290118257779;894.924
167;26.7560414;29.968133440711117;900.617
168;26.7547104;29.959008761755552;906.312
169;26.7547104;29.953023295977786;912.072
170;26.7498516;29.955130765022194;917.803
171;26.7498516;29.950571632844422;923.434
172;26.7461929;29.950507819599984;929.1279999999999
173;26.7461929;29.937387433222224;934.8
174;26.7461929;29.93662019371109;940.428
175;26.7461929;29.93787604102222;946.173
176;26.7461929;29.939963833644452;951.851
177;26.7461929;29.93000633855555;957.411
178;26.7461929;29.929822213866654;963.063
179;26.7385451;29.931652203199967;968.789
180;26.7385451;29.924405177777757;974.577
181;26.7385451;29.92167665339996;980.211
182;26.7385451;29.915054455266635;986.004
183;26.7385451;29.921361288333312;991.772
184;26.7385451;29.913814614688867;997.604
185;26.7385451;29.90855617144443;1003.376
186;26.7385451;29.910899670044433;1009.1610000000001
187;26.7385451;29.90594879624442;1015.021
188;26.7385451;29.89853975739998;1020.942
189;26.7385451;29.902078816599968;1026.816
190;26.7385451;29.90201959484442;1032.766
191;26.7385451;29.894129329999956;1038.882
192;26.7322364;29.887669159066654;1044.944
193;26.7322364;29.87691660168888;1050.979
194;26.7322364;29.892646827866656;1056.921
195;26.7322364;29.88404826937777;1062.955
196;26.7322364;29.878652995977752;1068.981
197;26.7322364;29.878855572577766;1074.9850000000001
198;26.7322364;29.87482172833332;1081.022
199;26.7190175;29.873878714822226;1087.128
200;26.7120699;29.873159300511084;1093.333
