Generation;AverageBest;AverageAverage;AverageTime
0;14.8481008;16.790166894066676;0.0
1;14.6572868;16.530635902333355;1.167
2;14.5810651;16.417644335633327;2.374
3;14.5495049;16.33531179186668;3.493
4;14.4215287;16.27024860246667;4.753
5;14.3146108;16.207473186433326;5.913
6;14.289366900000001;16.145916576366673;6.968
7;14.229458900000001;16.098630123133336;7.978
8;14.1565046;16.052245515000006;9.044
9;14.1428981;16.004137144533335;10.046
10;14.127588;15.960127275733331;11.125
11;14.1197521;15.926189320033338;12.172
12;14.106645799999999;15.883545523766681;13.269
13;14.097286;15.841617122700002;14.254
14;14.0810156;15.810087767766682;15.329
15;14.0747343;15.779494484900015;16.435
16;13.9499313;15.742639429866673;17.534
17;13.828185399999999;15.708382477366676;18.566
18;13.7987311;15.68785403736666;19.622
19;13.7873431;15.657718771533336;20.792
20;13.7824049;15.6250471303;21.903
21;13.7824049;15.603744351233335;22.956
22;13.723925999999999;15.574243623500008;24.012999999999998
23;13.723925999999999;15.544366198466667;25.156
24;13.717158099999999;15.522682484266678;26.289
25;13.6979369;15.498414286999989;27.358
26;13.6962721;15.470729447533333;28.425
27;13.6962721;15.45251328603333;29.551000000000002
28;13.6800452;15.43387044923333;30.672
29;13.6716602;15.413418551733326;31.806
30;13.6536608;15.403014967599999;32.897
31;13.6536608;15.38041537413333;34.054
32;13.6500849;15.362968283133343;35.185
33;13.5968774;15.330612883166683;36.297
34;13.5897512;15.317179152666668;37.438
35;13.5281582;15.300474154566675;38.661
36;13.4886871;15.280432542566674;39.859
37;13.477208000000001;15.265853627666678;40.979
38;13.4551668;15.248221666366677;42.134
39;13.4382218;15.232399535733338;43.355000000000004
40;13.433703;15.220012777199996;44.517
41;13.4161064;15.204426730766672;45.703
42;13.4161064;15.191022310066666;46.939
43;13.4161064;15.175557733766672;48.152
44;13.4101691;15.164862815133347;49.329
45;13.4101691;15.151088068966672;50.56
46;13.3712915;15.132692452233332;51.799
47;13.3526424;15.122415034100001;53.006
48;13.3526424;15.108206081199999;54.259
49;13.3526424;15.096644423600003;55.54
50;13.346484;15.079251745266676;56.754
51;13.3411427;15.06594218563333;57.99
52;13.3327021;15.050994557933324;59.288
53;13.3325999;15.043252953466672;60.624
54;13.3325999;15.027005544599996;61.888
55;13.330996;15.017018972600004;63.117999999999995
56;13.3234985;15.000282931800006;64.424
57;13.3234985;14.98796036856666;65.726
58;13.2790177;14.985917563366664;67.028
59;13.2790177;14.979034178800003;68.364
60;13.217150799999999;14.963965868600006;69.673
61;13.1984341;14.954641503766666;70.929
62;13.1984341;14.945051589833342;72.231
63;13.1984341;14.931555217399998;73.588
64;13.1984341;14.922301542000008;74.89
65;13.186383;14.91290578209999;76.211
66;13.1817885;14.90402823936666;77.609
67;13.1802989;14.898934419533326;78.955
68;13.1740518;14.888263636466672;80.214
69;13.1726063;14.880814661900006;81.594
70;13.1534068;14.87096763493334;82.998
71;13.1483367;14.862242711999986;84.35
72;13.1457611;14.855448665633324;85.756
73;13.122137;14.852423163033336;87.116
74;13.1208795;14.848535762466664;88.469
75;13.1208795;14.834612469133338;89.874
76;13.1187878;14.822286233066663;91.347
77;13.1187878;14.817949832100014;92.781
78;13.1187878;14.80992260186667;94.234
79;13.1111589;14.804127956966665;95.628
80;13.1052026;14.795045385233335;97.068
81;13.1052026;14.7845675653;98.562
82;13.0926263;14.781171185266658;99.974
83;13.0926263;14.776685498999992;101.367
84;13.090822;14.77025937886667;102.819
85;13.0507829;14.766137619266658;104.227
86;13.0408746;14.754165250366675;105.609
87;12.9993643;14.750344534466672;107.016
88;12.9550241;14.742659414366658;108.476
89;12.9550241;14.734517447066683;109.961
90;12.9449164;14.738294106833344;111.525
91;12.9449164;14.734004055166674;113.032
92;12.9449164;14.73225347773333;114.465
93;12.9445309;14.719701027933336;116.0
94;12.938143;14.719604879899997;117.523
95;12.935188499999999;14.714947131666653;119.055
96;12.935188499999999;14.708672657099985;120.579
97;12.935188499999999;14.696804993199988;122.094
98;12.935188499999999;14.696054824899996;123.631
99;12.9348599;14.689329224899994;125.14
100;12.9255557;14.68744849823333;126.59
101;12.9255554;14.682435122833326;128.149
102;12.9255554;14.669887081766657;129.657
103;12.9255554;14.668132387466661;131.123
104;12.9255554;14.66384065629999;132.684
105;12.9243128;14.660614843733322;134.186
106;12.9243128;14.659595759599998;135.601
107;12.9236416;14.652725795200011;137.182
108;12.9224651;14.643004769000008;138.679
109;12.9144352;14.643453719333335;140.177
110;12.9108944;14.634468058599994;141.775
111;12.9108944;14.636072442800003;143.255
