Generation;Best;Average;ElapsedSeconds
0;12,157392;14,043012704000022;0,00
1;11,555048;13,786638138000052;3,27
2;11,555048;13,665742453777804;6,43
3;11,525764;13,533125670222258;9,54
4;11,525764;13,451310461555547;12,57
5;11,449999;13,386377331333353;15,63
6;11,44962;13,310514631111092;18,62
7;11,44962;13,276586785333302;21,57
8;11,446849;13,230502024000003;24,48
9;11,428715;13,162692953333323;27,43
10;11,428715;13,128179390000005;30,32
11;11,323145;13,064852432888905;33,29
12;11,323145;13,00090262711117;36,21
13;11,323145;12,94612422466666;39,09
14;11,323145;12,890728115333372;41,95
15;11,243093;12,818149464000008;44,90
16;11,208222;12,762281250666613;47,82
17;11,208222;12,68482710222224;50,84
18;11,128329;12,633949431111116;53,85
19;11,064416;12,5880580477778;56,84
20;11,064416;12,563243215333358;59,85
21;11,064416;12,510466410888863;63,00
22;11,064416;12,493226690888923;66,05
23;11,064416;12,462137320000023;69,09
24;11,06205;12,428053975111094;72,23
25;11,06205;12,404042384888895;75,26
26;11,06205;12,366596774000007;78,42
27;11,0384;12,3344420442222;81,58
28;10,607461;12,322600144444449;84,73
29;10,589688;12,283867316444443;88,02
30;10,580499;12,260334052;91,23
31;10,580499;12,218815259111148;94,55
32;10,502158;12,204304797111115;97,99
33;10,502158;12,156274302444428;101,32
34;10,502158;12,151447592666676;104,80
35;10,481194;12,116899478666696;108,34
36;10,396828;12,096918137111103;111,77
37;10,396828;12,061238429999978;115,26
38;10,396828;12,042764785999992;118,91
39;10,396828;12,00536178111113;122,46
40;10,396828;11,993680662222241;126,02
41;10,396828;11,949902003333357;129,75
42;10,396828;11,916086158222207;133,49
43;10,396828;11,880631051999975;137,05
44;10,351247;11,859688730222233;140,71
45;10,351247;11,856911220444461;144,50
46;10,351247;11,81909453755558;148,19
47;10,351247;11,825632195777784;151,80
48;10,301013;11,77809598000003;155,63
49;10,301013;11,78668512600003;159,47
50;10,301013;11,765931255333353;163,17
51;10,301013;11,738344132444428;166,85
52;10,204951;11,724014024888872;170,66
53;10,204951;11,717631832222214;174,56
54;10,204951;11,681009248000024;178,24
55;10,204951;11,67813044399998;181,97
56;10,204951;11,66278887377778;185,86
57;10,204951;11,645105076444427;189,72
58;10,204951;11,649244692444437;193,50
59;10,204951;11,627900705111093;197,23
60;10,204951;11,622183595333322;201,10
61;10,204951;11,60852178022222;205,07
62;10,204951;11,591418482888923;208,84
63;10,204951;11,573434289555557;212,78
64;10,04483;11,592318904000006;216,89
65;10,04483;11,565124379333382;221,01
66;10,04483;11,55410232800002;224,86
67;10,04483;11,535118857555558;228,80
68;10,04483;11,519467817555558;232,88
69;10,04483;11,525329270666655;236,93
70;10,04483;11,516278162222235;240,79
71;10,04483;11,502916984666696;244,80
72;10,04483;11,506138287777807;248,92
73;10,04483;11,492897826666667;252,93
74;10,04483;11,490471134444487;256,77
75;10,04483;11,477128616888894;260,83
76;10,04483;11,489648449555615;264,83
77;10,04483;11,477654683555564;268,81
78;10,04483;11,458839908888896;272,71
79;10,04483;11,454044914888895;276,77
80;10,04483;11,458314432222215;280,86
81;10,04483;11,456869051333367;284,75
82;10,04483;11,435917348888855;288,62
83;10,04483;11,439075338666674;292,64
84;10,04483;11,427622069555563;296,69
85;10,04483;11,415434251555542;300,55
86;10,04483;11,410617394888874;304,34
87;10,04483;11,41339799355556;308,63
88;10,04483;11,404765290222217;312,62
89;10,04483;11,411230108888882;316,49
90;10,04483;11,403612579333316;320,40
91;10,04483;11,382424296222267;324,47
92;10,04483;11,385465360888851;328,47
93;10,04483;11,376693861333338;332,44
94;10,04483;11,370713166444459;336,45
95;10,04483;11,37462931555554;340,57
96;10,04483;11,355647651333317;344,59
97;10,04483;11,363541679333292;348,52
98;10,04483;11,346035350222232;352,48
99;10,04483;11,347944689333364;356,56
100;10,04483;11,33450973666665;360,63
101;10,04483;11,328984722888876;364,62
102;10,04483;11,336289751555581;368,63
103;10,04483;11,338822469333373;372,76
104;10,04483;11,33012512022223;376,85
105;10,04483;11,310782270222239;380,82
106;10,04483;11,299802356444468;384,83
107;9,764641;11,305073809333361;388,97
108;9,764641;11,29964659644445;393,04
109;9,750417;11,287024555333323;397,11
110;9,750417;11,283791043111142;401,17
111;9,750417;11,286830908666666;405,33
112;9,750417;11,292419491333364;409,52
113;9,750417;11,28504702644443;413,64
114;9,750417;11,263834505111115;417,80
115;9,750417;11,266965096444451;422,07
116;9,744581;11,259489528000007;426,40
117;9,744581;11,264165642000018;430,69
118;9,744581;11,25728975644443;434,89
119;9,744581;11,257187643333365;439,08
120;9,744581;11,260067580222195;443,32
121;9,744581;11,252107140000007;447,70
122;9,733285;11,239531121777832;451,95
