Generation;AverageBest;AverageAverage;AverageTime
0;8.4412581;10.395853342233336;0.0
1;8.2120965;10.144203268366677;1.096
2;8.1049079;10.020088069700009;2.14
3;8.0634744;9.94537470313334;3.142
4;8.0515374;9.885210922933336;4.094
5;8.0330773;9.814164469866672;5.05
6;7.9978726;9.758140452333338;6.014
7;7.9597601000000004;9.677265761700006;6.969
8;7.8846846;9.60383444856667;7.914
9;7.8503974;9.53058819676667;8.857
10;7.8348032;9.467637122200008;9.799
11;7.8317961;9.414971947333338;10.771
12;7.8183657;9.361201576333336;11.782
13;7.7037084;9.303486557000006;12.792
14;7.6487105;9.26049870990001;13.764
15;7.5402632;9.20535112116668;14.749
16;7.5014421;9.157010220100005;15.738
17;7.4695313;9.098663253333335;16.776
18;7.4180666;9.059870155666662;17.833
19;7.4068642;9.023266357966678;18.901
20;7.4050618;8.990753085133338;19.936999999999998
21;7.3616682;8.948385677533341;20.989
22;7.3220001;8.915678287166674;22.066
23;7.3183086;8.880078105600006;23.156
24;7.3147154;8.84575929610001;24.259999999999998
25;7.3119776;8.806814028266674;25.348
26;7.260682;8.773662180800008;26.439
27;7.2534991;8.746340705700007;27.534
28;7.2516067;8.70599957270001;28.657
29;7.2408503;8.684066651633342;29.79
30;7.1943998;8.65490334780001;30.912
31;7.1731734;8.639669129966668;32.052
32;7.1672185;8.623663339533337;33.18
33;7.1312509;8.607971694466668;34.314
34;7.122042;8.583455086166675;35.479
35;7.1152108;8.571362334733339;36.646
36;7.1014916;8.554994284133336;37.815
37;7.1001871;8.543726280900005;38.975
38;7.0922336999999995;8.524866088500005;40.162
39;7.0870204999999995;8.513751340433336;41.33
40;7.0840448;8.495172266466668;42.525
41;7.0840448;8.48531351623333;43.721000000000004
42;7.07746;8.4731030495;44.949
43;7.07746;8.459902143200006;46.166
44;7.063566;8.450167172533344;47.391
45;7.0594863;8.435414415500006;48.601
46;7.0594863;8.4267987153;49.813
47;7.0588874;8.415806349833343;51.059
48;7.0570374000000005;8.398696562100016;52.317
49;7.0376302;8.39149391850001;53.577
50;7.0274507;8.376590647666669;54.833
51;7.0247767;8.370610509933337;56.081
52;7.0247767;8.36280309036667;57.319
53;7.0218929;8.35378714060001;58.57
54;7.0131346;8.341323120000009;59.842
55;7.0093513000000005;8.333061901900008;61.135
56;6.996844;8.330000707166674;62.419
57;6.996844;8.32517004673334;63.716
58;6.9949675000000004;8.312258334766673;65.0
59;6.9861211;8.30575683683334;66.281
60;6.9763777000000005;8.289961869766678;67.572
61;6.9723437;8.300651124666675;68.864
62;6.9600645;8.285008148600008;70.18
63;6.9574899;8.279577445933342;71.511
64;6.9574899;8.275824907266667;72.819
65;6.9574899;8.270906586233327;74.124
66;6.9574899;8.261574968600003;75.412
67;6.9460676;8.252836476733338;76.706
68;6.9431757;8.251728649133328;78.037
69;6.9431757;8.25011447313333;79.377
70;6.9107481;8.233305358733332;80.721
71;6.9040543;8.234631643166672;82.06700000000001
72;6.9036903999999994;8.231535297733334;83.387
73;6.9014032;8.230295329500006;84.707
74;6.898351;8.219974650599998;86.036
75;6.898351;8.2148408774;87.393
76;6.8983466;8.214006690533342;88.757
77;6.8958325;8.20334110756667;90.131
78;6.8958325;8.204651652533332;91.498
79;6.8958325;8.198440182766669;92.85
80;6.8958325;8.193943218200005;94.193
81;6.8914671;8.199490261433342;95.545
82;6.8865083;8.190003087266673;96.91
83;6.8865083;8.189337485300003;98.291
84;6.885727;8.186466507199995;99.702
85;6.8848909;8.1867072883;101.066
86;6.8810368;8.183271264266667;102.429
87;6.8751392;8.178479428600001;103.799
88;6.8720239;8.1718485385;105.162
89;6.8720239;8.167305265333326;106.541
90;6.8359504;8.174044617933333;107.943
91;6.8356771;8.168557298466672;109.34100000000001
92;6.834772;8.166834803266667;110.749
93;6.8298237;8.158489037100006;112.146
94;6.8298237;8.158797655299999;113.52
95;6.8276585;8.149924890966671;114.915
96;6.8221286;8.148995044533333;116.315
97;6.8221286;8.147155292000003;117.734
98;6.8120718;8.141673896599999;119.159
99;6.8113417;8.13474351216666;120.59
100;6.8113417;8.131840129966664;122.004
101;6.8113417;8.129508126399998;123.416
102;6.8071574;8.126656182200005;124.834
103;6.80706;8.120079146599997;126.238
104;6.80706;8.125371553700006;127.651
105;6.80706;8.122219465300002;129.069
106;6.80706;8.117746683933333;130.504
107;6.8043518;8.112870711766666;131.961
108;6.8043518;8.103612560533337;133.394
109;6.7992197;8.105137932500003;134.822
110;6.7903624;8.109566353800002;136.26999999999998
111;6.7903624;8.100105095366674;137.706
112;6.7568035;8.090484951833334;139.171
113;6.7554715000000005;8.089004352433331;140.614
114;6.7547961;8.091968373666667;142.053
115;6.7510877;8.085318010166667;143.498
116;6.7495612000000005;8.083083804300006;144.942
117;6.7488884;8.09000799186667;146.366
118;6.7471957;8.081771320633337;147.822
119;6.7446981;8.081718665133335;149.265
120;6.7446981;8.079547766400001;150.696
121;6.7446981;8.072347111700001;152.15
122;6.7446981;8.069062342166669;153.621
123;6.719559;8.066410386100003;155.097
124;6.7182154;8.05064014116666;156.572
125;6.7182154;8.054403315266665;158.034
126;6.7179948;8.054041346100002;159.488
127;6.7154042;8.048983820466667;160.938
128;6.7106418;8.050293502733336;162.402
129;6.7102017;8.051606764933336;163.868
130;6.7094753;8.042590299566665;165.352
131;6.7094753;8.044836122133338;166.824
132;6.7056814;8.041336900466666;168.294
133;6.7040564;8.028904344933343;169.772
134;6.699846;8.040280441000004;171.23
135;6.6995443;8.032175506600003;172.691
136;6.6995443;8.02884708686667;174.141
137;6.6969212;8.024790735866668;175.6
138;6.6908904;8.019778095299998;177.072
139;6.6826892;8.020421295699999;178.55700000000002
140;6.6826892;8.017274077299998;180.038
141;6.6761682;8.010914143199996;181.52100000000002
142;6.6761682;8.012439930633334;183.0
143;6.6761682;8.011832108000005;184.476
144;6.676076;8.005742104866671;185.96
145;6.6736225000000005;8.006890393166671;187.448
146;6.6736225000000005;7.993524107333337;188.924
147;6.6729365000000005;7.99626856106667;190.4
148;6.6729365000000005;7.998338814466669;191.887
149;6.6691084;7.989290618033334;193.383
150;6.6691084;7.989514753066669;194.876
151;6.6691084;7.983451472533332;196.362
152;6.6667856;7.98089182586667;197.852
153;6.6667856;7.978781986733334;199.349
154;6.6635184;7.9834616983999975;200.84199999999998
155;6.6635184;7.982996028933334;202.339
156;6.6606119;7.980407439933336;203.833
157;6.6606119;7.970131360400004;205.324
158;6.6606119;7.967633722699999;206.824
159;6.6606119;7.967702323833335;208.325
160;6.6599219;7.965879851100002;209.825
161;6.6578918;7.9567982686;211.311
162;6.6561543;7.9561194021666655;212.80700000000002
163;6.6339335;7.959172455666673;214.296
164;6.6312271;7.949401327833343;215.826
