Generation;Best;Average;ElapsedSeconds
0;7,588943;8,968144786666668;0,00
1;7,532869;8,78606335200001;0,98
2;7,532869;8,716425626000007;1,96
3;7,460896;8,61895473233331;2,83
4;7,460896;8,55708686866668;3,69
5;7,34896;8,49213418633332;4,57
6;7,34896;8,458397083333317;5,46
7;7,275925;8,414467492333316;6,34
8;7,275925;8,363483118999996;7,24
9;7,275925;8,326880775000015;8,13
10;7,275925;8,296780856000023;9,02
11;7,234335;8,264389329333344;9,93
12;7,234335;8,236381949666667;10,77
13;7,234335;8,199033950333327;11,61
14;7,234335;8,164860869333328;12,48
15;7,234335;8,137740108666653;13,32
16;7,231627;8,088694009666668;14,17
17;7,215433;8,051717365000016;14,98
18;7,215433;8,028369127999984;15,81
19;7,215433;7,972861351333346;16,67
20;7,2153;7,9683329640000204;17,56
21;7,211427;7,948883706;18,41
22;7,211427;7,909264169333322;19,26
23;7,211325;7,890404795999988;20,08
24;7,20984;7,877932511333341;20,96
25;7,20984;7,8638774459999885;21,80
26;7,20984;7,858350376666656;22,60
27;7,205548;7,8489257963333365;23,45
28;7,205548;7,854609236666662;24,34
29;7,205548;7,835324572666646;25,23
30;7,205548;7,832760772000007;26,15
31;7,205548;7,833065522666659;27,00
32;7,205548;7,81643463633334;27,87
33;7,205548;7,810138433666677;28,72
34;7,205548;7,799543992333331;29,63
35;7,205548;7,805231207666668;30,54
36;7,205548;7,773916589666688;31,43
37;7,205548;7,7823187140000085;32,31
38;7,205548;7,784659844;33,21
39;7,205548;7,780528257000015;34,15
40;7,205548;7,771810768000001;35,06
41;7,205548;7,7902569150000005;35,98
42;7,205548;7,776885422666675;36,89
43;7,205548;7,768667089999988;37,80
44;7,205548;7,760198198666655;38,73
45;7,205548;7,753004116333332;39,70
46;7,205477;7,74482185533334;40,60
47;7,205477;7,754124102666651;41,50
48;7,205477;7,751857756666682;42,43
49;7,205477;7,745563659333315;43,38
50;7,205477;7,752081747999996;44,40
51;7,2042;7,7487317010000245;45,37
52;7,2042;7,732014654666657;46,30
53;7,2042;7,731287471666684;47,21
54;7,2042;7,736490290333331;48,16
55;7,2042;7,731141739666668;49,11
56;7,2042;7,732459280666664;50,07
57;7,2042;7,724319167666655;51,02
58;7,2042;7,734044351333317;51,96
59;7,2042;7,722228201666645;52,91
60;7,2042;7,7190584666666755;53,92
61;7,2042;7,721928142999988;54,92
62;7,2042;7,711029681333372;55,92
63;7,2042;7,71957291899999;56,84
64;7,2042;7,724938351333313;57,78
65;7,2042;7,7119690433333306;58,73
66;7,2042;7,7137124670000015;59,74
67;7,2042;7,717988056999995;60,76
68;7,2042;7,712420389000006;61,77
69;7,2042;7,708183261666669;62,73
70;7,2042;7,703058580000009;63,73
71;7,2042;7,701544617666666;64,75
72;7,2042;7,707419119666658;65,82
73;7,2042;7,709264876666656;66,84
74;7,2042;7,706803315666684;67,87
75;7,2042;7,698652575999989;68,88
76;7,2042;7,6965089079999975;69,87
77;7,2042;7,698942445666664;70,84
78;7,2042;7,706154969666659;71,85
79;7,2042;7,695865558666654;72,88
80;7,2042;7,692334548666679;73,93
81;7,2042;7,701002416333314;74,94
82;7,2042;7,699724068666649;75,98
83;7,204095;7,696994494666663;76,99
84;7,204095;7,688127646999972;78,06
85;7,204095;7,685874641000016;79,12
86;7,203989;7,6980386006666475;80,18
87;7,203989;7,679150719999993;81,22
88;7,203989;7,684617155999996;82,26
89;7,203989;7,699754288666667;83,31
90;7,203989;7,687933514333329;84,38
91;7,203989;7,696605410999992;85,48
92;7,20391;7,689352984000005;86,57
93;7,20391;7,684100904333337;87,63
94;7,20391;7,689474132333335;88,64
95;7,20391;7,68029039433331;89,71
96;7,20391;7,689006663333338;90,80
97;7,20391;7,675700333999994;91,91
98;7,20391;7,68202436233333;93,01
99;7,20391;7,692622241333346;94,13
100;7,20391;7,697802324666684;95,23
101;7,20391;7,686876943666654;96,30
102;7,20391;7,681752400666671;97,36
103;7,20391;7,692804489666671;98,46
104;7,20391;7,673119168333337;99,58
105;7,20391;7,684641162333348;100,66
106;7,20391;7,6755315156666875;101,74
107;7,20391;7,673957145333347;102,82
108;7,20391;7,678075408000017;103,89
109;7,20391;7,689270740000005;104,98
110;7,20391;7,672003104333334;106,13
111;7,20391;7,671832255333325;107,28
112;7,203836;7,680560696666651;108,39
113;7,203652;7,667579587999998;109,48
114;7,203652;7,683850621666668;110,59
115;7,203652;7,67935597133335;111,68
116;7,203652;7,690980519666662;112,82
117;7,203652;7,673019328999983;113,97
118;7,203652;7,675141078333325;115,12
119;7,203652;7,684927076000012;116,33
120;7,203652;7,671847833333341;117,45
121;7,203652;7,673690830333345;118,60
122;7,203652;7,6697739346666625;119,70
123;7,203652;7,666014672333347;120,86
124;7,203606;7,669376405999984;122,00
125;7,203588;7,672174092666669;123,15
126;7,203588;7,66805829366666;124,32
127;7,203588;7,673614919999969;125,46
128;7,203588;7,672255410333355;126,57
129;7,203588;7,668852082999991;127,69
130;7,203588;7,67430336133335;128,86
131;7,203588;7,676251806999997;130,04
132;7,203588;7,668515012999972;131,31
133;7,203588;7,675671024999976;132,50
134;7,203588;7,668974263000019;133,61
135;7,203588;7,674464656000018;134,77
136;7,203588;7,6715416560000085;135,90
137;7,203588;7,674576556333332;137,10
138;7,203588;7,681734696999992;138,30
139;7,203588;7,674989137333344;139,52
140;7,203588;7,6731465499999985;140,73
141;7,203588;7,675928192333321;141,97
142;7,203588;7,664947566333336;143,15
143;7,203588;7,672962166666661;144,35
144;7,203588;7,674364429999995;145,51
145;7,203588;7,667559304333327;146,79
146;7,203588;7,666136041333337;148,07
147;7,203588;7,655670803666689;149,34
148;7,203588;7,658901023000011;150,58
149;7,203588;7,669045545999996;151,79
150;7,203588;7,660494002666655;153,01
151;7,203588;7,671159854666658;154,21
152;7,20335;7,669324375666648;155,41
153;7,20335;7,662550792000012;156,67
154;7,20335;7,654075774999983;157,94
155;7,20335;7,6654528380000055;159,20
156;7,20335;7,662808851000006;160,44
157;7,20335;7,668952018000002;161,67
158;7,20335;7,658036087666656;162,93
159;7,20335;7,670619771000003;164,21
160;7,20335;7,659914222666641;165,52
161;7,20335;7,664574930666673;166,81
162;7,20335;7,658881505666673;168,10
163;7,20335;7,655418983333343;169,35
164;7,20335;7,650037081333352;170,60
165;7,20335;7,665017682000024;171,87
166;7,20335;7,653737706666681;173,10
167;7,20335;7,660905414666687;174,42
168;7,20335;7,648546454000008;175,71
169;7,20335;7,664917471000005;177,01
170;7,20335;7,661756381666677;178,36
171;7,20335;7,67060500833331;179,58
172;7,20335;7,660864107333354;180,86
173;7,20335;7,66139574033332;182,11
174;7,20335;7,651198410666667;183,35
175;7,20335;7,666527360999998;184,61
176;7,20335;7,661071662333326;185,87
177;7,20335;7,657263610666645;187,19
178;7,20335;7,659166076333323;188,48
