Generation;AverageBest;AverageAverage;AverageTime
0;32.6961865;35.12467387722216;0.0
1;32.409008;34.71403493499996;2.374
2;32.3125798;34.52440696535554;4.721
3;32.2434992;34.397620905244445;6.981
4;32.2043583;34.28949570633334;9.212
5;32.1257885;34.20544741657781;11.483
6;32.0241193;34.12672869233331;13.725999999999999
7;32.012040400000004;34.04642835793332;16.005
8;31.9708228;33.98978766186667;18.27
9;31.8990441;33.92201309506667;20.559
10;31.8526606;33.85949790253335;22.815
11;31.8223622;33.8114344984;25.087
12;31.8155593;33.757745211444465;27.358
13;31.7990021;33.710885115444434;29.649
14;31.7400897;33.661275454666594;31.927
15;31.7284575;33.61086113906663;34.224000000000004
16;31.7171917;33.5665375804222;36.517
17;31.6895714;33.52200635166666;38.873
18;31.674804599999998;33.48140390093332;41.189
19;31.6709508;33.433259628422206;43.555
20;31.6639635;33.39475086206666;45.903
21;31.6555686;33.35802491726666;48.286
22;31.6421802;33.31138312595554;50.693
23;31.6160175;33.28168679628885;53.102000000000004
24;31.5914412;33.244176354133316;55.539
25;31.5881153;33.20651428931111;58.016
26;31.5859079;33.181153369199976;60.504
27;31.5733631;33.15268424333329;63.024
28;31.571086;33.12525009306666;65.574
29;31.5152457;33.09835231891111;68.133
30;31.5061108;33.07193021871113;70.723
31;31.4823964;33.049012335244434;73.351
32;31.4810475;33.03112027613336;75.981
33;31.467012999999998;33.00262692551114;78.623
34;31.464416999999997;32.984350266622215;81.275
35;31.4551664;32.96472868217777;83.94
36;31.4499512;32.941865208;86.633
37;31.435984;32.92364545795555;89.299
38;31.4215897;32.89952964331111;91.991
39;31.4124197;32.87827817431114;94.734
40;31.4109287;32.86346812151112;97.44800000000001
41;31.4105008;32.846053359022214;100.211
42;31.4101648;32.82159809922222;102.991
43;31.3936971;32.8033920308;105.733
44;31.3761125;32.78965327166667;108.502
45;31.3761125;32.772199178000015;111.29599999999999
46;31.3760616;32.75971376673332;114.089
47;31.3710558;32.7501070862889;116.88
48;31.3637085;32.72717660933334;119.741
49;31.3613522;32.721282316555516;122.56099999999999
50;31.35942;32.70430147315554;125.379
51;31.3529606;32.69062487691109;128.226
52;31.3507709;32.676038527577795;131.067
53;31.3464529;32.66124830313331;133.89600000000002
54;31.3453904;32.64956431075553;136.799
55;31.3425839;32.6388731840222;139.699
56;31.339100000000002;32.62911075913333;142.55599999999998
57;31.339100000000002;32.62148412882223;145.473
58;31.339100000000002;32.611329882599975;148.402
59;31.3361832;32.59334626933333;151.314
60;31.3292151;32.58464224337775;154.243
61;31.3194717;32.57420853324439;157.269
62;31.317452799999998;32.56871787180001;160.269
63;31.313865;32.553474936622216;163.268
64;31.3046661;32.549421857066676;166.32
65;31.3046661;32.541662605511114;169.397
66;31.2962421;32.53110134315556;172.41
67;31.2959857;32.52289513897779;175.50300000000001
68;31.292552699999998;32.51707729557778;178.608
69;31.2834137;32.507286410755576;181.661
70;31.2834137;32.500059964244414;184.707
71;31.2755343;32.49267352291111;187.853
72;31.2745051;32.488506089666664;190.987
73;31.2718786;32.47852654444443;194.079
74;31.2686183;32.47398172097779;197.24
75;31.2673611;32.469280732644435;200.382
76;31.2624189;32.45918004631113;203.501
77;31.2622586;32.45556674319998;206.647
78;31.2565886;32.44919942800001;209.806
79;31.2537826;32.446015423911106;212.938
80;31.2517089;32.436254198155545;216.05
81;31.2455803;32.424826714911106;219.198
82;31.2455803;32.42493987859998;222.385
83;31.2444519;32.42126739373338;225.501
84;31.2444519;32.41076501915556;228.629
85;31.2427653;32.41080361940001;231.80599999999998
86;31.237813499999998;32.40246558020001;234.926
87;31.236943099999998;32.39770663622224;238.031
88;31.2353697;32.39765534931111;241.189
89;31.234322499999998;32.39001244473329;244.355
90;31.231231299999997;32.38387795726663;247.44899999999998
91;31.230522299999997;32.37828794413329;250.603
92;31.2303537;32.37627906622221;253.762
93;31.2303537;32.37163378488889;256.925
94;31.2282683;32.37327131933333;260.105
95;31.227023499999998;32.36787325304448;263.266
96;31.227023499999998;32.36002260464444;266.488
97;31.227023499999998;32.35369154833336;269.673
98;31.226749899999998;32.34810579917781;272.867
99;31.2245933;32.34778402075556;276.12
100;31.2245933;32.347151172355545;279.359
101;31.2245541;32.34569443102222;282.52
102;31.2221404;32.33146236826664;285.748
103;31.2206862;32.33596277822222;289.04
104;31.2203065;32.33161198651112;292.26099999999997
105;31.2203065;32.32730356255554;295.498
106;31.219861299999998;32.323796021199996;298.829
107;31.2180083;32.32032481782218;302.137
108;31.217526;32.32116988446663;305.372
109;31.217526;32.314545487422215;308.641
110;31.2172694;32.31091826355552;311.966
111;31.2172694;32.311760196422185;315.276
112;31.2170944;32.30580331975553;318.525
113;31.2148176;32.30739629624444;321.82800000000003
114;31.214361399999998;32.298245399266655;325.203
115;31.2114927;32.298454513911096;328.569
116;31.210783799999998;32.29527204097776;331.89
117;31.2093416;32.2912110785111;335.19100000000003
118;31.207616899999998;32.289182432644424;338.54699999999997
119;31.207616899999998;32.2867949614444;341.879
120;31.2062534;32.28490857595551;345.223
121;31.2062534;32.289360044511064;348.516
