Generation;Best;Average;ElapsedSeconds
0;10,520346;12,16688988133332;0,00
1;10,520346;11,946093384666627;2,58
2;10,501439;11,811505169777721;5,16
3;10,230105;11,735229088666665;7,62
4;10,230105;11,626350345111142;10,15
5;10,230105;11,545471061111131;12,68
6;10,230105;11,503458324666676;15,32
7;10,230105;11,451837547333326;17,98
8;10,230105;11,422623213333313;20,65
9;10,17693;11,372646263555508;23,41
10;10,076553;11,328397178;26,06
11;10,076553;11,305478112666677;28,87
12;10,076553;11,258960512666649;31,68
13;10,076553;11,20995585066667;34,54
14;10,076553;11,173739039111098;37,41
15;10,048057;11,159708500888883;40,26
16;10,041057;11,11542016066665;43,05
17;10,039287;11,08941382911114;45,97
18;10,039287;11,060551086444427;48,77
19;10,039287;11,03228625688887;51,58
20;10,039287;11,003383064000024;54,52
21;9,962651;10,983748999111175;57,37
22;9,962651;10,96050639288889;60,28
23;9,962651;10,947683262666663;63,16
24;9,962651;10,925644356444451;66,03
25;9,958467;10,903436027333335;68,97
26;9,950113;10,880814858666676;71,87
27;9,950113;10,867366966888909;74,72
28;9,950113;10,853011373777772;77,59
29;9,950113;10,83806291666672;80,61
30;9,950113;10,82142680933333;83,52
31;9,950113;10,805678054222247;86,40
32;9,950113;10,795154529111135;89,35
33;9,950113;10,791316867555594;92,27
34;9,950113;10,78692439577783;95,09
35;9,94774;10,764340169777777;97,97
36;9,942221;10,760025840666637;100,97
37;9,936868;10,749941149111072;103,77
38;9,936868;10,730982691111127;106,72
39;9,936868;10,733012651111114;109,72
40;9,936868;10,728684111999993;112,69
41;9,936868;10,718715980888863;115,61
42;9,936868;10,724602756444446;118,65
43;9,936868;10,72749146444447;121,75
44;9,936868;10,712950886444437;124,76
45;9,936868;10,711382475333313;127,82
46;9,936712;10,700609634444463;130,96
47;9,936712;10,694058412666644;133,90
48;9,936712;10,68552279933334;136,92
49;9,936712;10,67893800511107;140,08
50;9,936712;10,676853626888887;143,18
51;9,936712;10,656461662666674;146,24
52;9,936712;10,663579939777753;149,39
53;9,936712;10,66289205422221;152,57
54;9,936712;10,654782117777787;155,70
55;9,936712;10,644186903777763;158,74
56;9,936712;10,636068360666643;161,85
57;9,936712;10,640108113333312;164,99
58;9,936712;10,619357581333327;167,98
59;9,936712;10,62481990622222;171,06
60;9,935616;10,622611020000004;174,20
61;9,935616;10,627350995777741;177,40
62;9,935616;10,60491573066664;180,52
63;9,935616;10,61610914133333;183,72
64;9,935616;10,614102588222202;187,00
65;9,935616;10,600972099999982;190,33
66;9,935616;10,603407343555542;193,81
67;9,935616;10,602407327777799;197,20
68;9,935616;10,596469078666656;200,64
69;9,935616;10,60276225088892;204,01
70;9,935616;10,59972195733333;207,40
71;9,934127;10,594151105111125;210,79
72;9,934127;10,587201095777779;214,27
73;9,934127;10,595681443777838;217,70
74;9,934127;10,58912568844444;221,10
75;9,934127;10,583813115999991;224,60
76;9,934127;10,588110966222239;228,06
77;9,934127;10,592707111111118;231,53
78;9,934127;10,586485515555513;235,04
79;9,934127;10,583024852444442;238,64
80;9,934127;10,589941368222187;242,05
81;9,934127;10,586424348222206;245,48
82;9,934127;10,577652922888912;248,98
83;9,934119;10,581389300222206;252,52
84;9,934119;10,57107396333332;255,98
85;9,934119;10,566792844000002;259,45
86;9,934119;10,56017986444446;262,95
87;9,934119;10,560722542888895;266,42
88;9,933596;10,543958760444454;269,89
89;9,933596;10,558490052000009;273,32
90;9,933596;10,562297363333366;276,87
91;9,933596;10,55986611888892;280,38
92;9,933596;10,548733267777788;283,86
93;9,933596;10,55062953577778;287,33
