Generation;AverageBest;AverageAverage;AverageTime
0;21.0826042;22.97719019626666;0.0
1;20.906002;22.64583748093332;0.838
2;20.8397899;22.498671633066696;1.666
3;20.7068989;22.406617531666683;2.444
4;20.6998009;22.343095584533337;3.198
5;20.6589117;22.26976872113335;3.929
6;20.650039800000002;22.21468798203336;4.697
7;20.6327599;22.16901173246669;5.436
8;20.6042216;22.11236042313333;6.1850000000000005
9;20.5761223;22.070806993800034;6.91
10;20.5694042;22.027849389700023;7.683
11;20.5445664;21.97601807486669;8.464
12;20.52776;21.932168310566677;9.258
13;20.5211747;21.898471348733356;10.007
14;20.512317;21.869555252100007;10.765
15;20.5112979;21.833144700233326;11.534
16;20.5076584;21.8071047638;12.352
17;20.4926345;21.780334795966656;13.155
18;20.4726785;21.749437385766676;13.942
19;20.4499001;21.72785841749998;14.723
20;20.4412598;21.705496600100005;15.519
21;20.4121627;21.6772620362;16.332
22;20.4107293;21.6634855407;17.144
23;20.4017636;21.64130766000001;17.938
24;20.3951341;21.615481669366684;18.733
25;20.3850851;21.600557389866665;19.543
26;20.3848318;21.5796178362;20.364
27;20.3621375;21.55968296956669;21.188
28;20.3621375;21.539282452966678;22.009
29;20.3590574;21.52593489373333;22.823
30;20.3540998;21.51380746873333;23.639
31;20.3488456;21.489509289999994;24.47
32;20.3455066;21.480385382166673;25.317
33;20.3431483;21.462839942599988;26.149
34;20.3368843;21.44961648966668;27.008
35;20.3287588;21.435775129533337;27.855
36;20.3194303;21.4254550561;28.698
37;20.3180969;21.413126215000005;29.547
38;20.316040700000002;21.39823787093333;30.404
39;20.3121758;21.38764428933332;31.248
40;20.3121758;21.37699344806667;32.096
41;20.3077146;21.36481779189998;32.941
42;20.3007012;21.35556295459999;33.795
43;20.2976471;21.34711841556666;34.66
44;20.295113;21.33344630543332;35.531
45;20.2931474;21.324829131366656;36.406
46;20.284183;21.316530256766658;37.295
47;20.2830938;21.3070569577;38.175
48;20.2830938;21.292044565599998;39.047
49;20.2799259;21.284825718999997;39.918
50;20.2798796;21.281182456933337;40.792
51;20.2796747;21.273464403099986;41.679
52;20.2776697;21.262284193766654;42.567
53;20.2743338;21.25598704396668;43.455999999999996
54;20.273207;21.243651192566656;44.346000000000004
55;20.2722361;21.23360038183333;45.216
56;20.2662984;21.232935711333322;46.112
57;20.2627181;21.222898515266667;47.023
58;20.2618277;21.2167818941;47.919000000000004
59;20.2598226;21.210125965700016;48.817
60;20.2568537;21.200181779399998;49.708
61;20.2528028;21.196405691833323;50.596000000000004
62;20.2507382;21.189968622966664;51.507
63;20.2472259;21.179791082599987;52.451
64;20.2449309;21.17190236913331;53.374
65;20.2444903;21.167647974799994;54.289
66;20.2408988;21.160111768899984;55.198
67;20.2392963;21.149961851466664;56.104
68;20.2388032;21.146967213166647;57.019999999999996
69;20.2384009;21.142691336433323;57.963
70;20.2378788;21.135909379166666;58.908
71;20.237593;21.134906280766675;59.829
72;20.233608;21.12990187146666;60.747
73;20.2323215;21.12598036009998;61.686
74;20.2300785;21.118203334500002;62.639
75;20.2276581;21.11776266803333;63.59
76;20.227043899999998;21.120778650333335;64.538
