Generation;AverageBest;AverageAverage;AverageTime
0;8.5411383;10.030938313466674;0.001
1;8.4753343;9.808697968033341;0.955
2;8.4345467;9.717512708400008;1.889
3;8.4001313;9.634676041866669;2.765
4;8.3332136;9.560678628733342;3.627
5;8.3024768;9.5014144348;4.476
6;8.293109;9.446462753833341;5.339
7;8.2671476;9.39531353453334;6.175
8;8.248599800000001;9.35112616356667;7.0169999999999995
9;8.2320243;9.307455583300005;7.8629999999999995
10;8.2281488;9.27588348896667;8.746
11;8.2062477;9.23725769426667;9.609
12;8.1985125;9.20441268623333;10.463000000000001
13;8.1966277;9.177054299166667;11.295
14;8.1823092;9.1430300387;12.166
15;8.1736273;9.118379710266662;13.030999999999999
16;8.1731274;9.092382076399998;13.907
17;8.1707431;9.069656683700007;14.753
18;8.1600585;9.045695034999996;15.600999999999999
19;8.1591933;9.015394285933338;16.446
20;8.1538518;9.000705026533339;17.322
21;8.1521977;8.979714107866675;18.185
22;8.1509223;8.958836288666665;19.046
23;8.1509121;8.941967883899999;19.887999999999998
24;8.1505013;8.923543510866667;20.758
25;8.1490004;8.905835558299998;21.631
26;8.1478925;8.895912465600002;22.509
27;8.1472427;8.88384267926667;23.367
28;8.1467996;8.879520153733331;24.243000000000002
29;8.145284;8.861596629366662;25.118
30;8.1449634;8.85094512773333;26.022
31;8.1443242;8.845941610800006;26.906
32;8.1440485;8.841419633033338;27.789
33;8.1428577;8.830770095766672;28.658
34;8.1426358;8.822158295033335;29.555
35;8.1426138;8.813292526500005;30.451
36;8.1426138;8.805163653700005;31.348
37;8.1420135;8.800246233400003;32.235
38;8.1416661;8.7961154008;33.145
39;8.1416661;8.785705358466668;34.062
40;8.1413958;8.77752040213333;34.967
41;8.1410795;8.7764387416;35.86
42;8.1407957;8.771895401566677;36.761
43;8.1406526;8.767007938466666;37.683
44;8.1406526;8.759606235733338;38.604
45;8.1401808;8.760341039966672;39.538
46;8.1401737;8.753635917933337;40.45
47;8.1401406;8.748797116033339;41.362
48;8.140138;8.747105314200004;42.288
49;8.139626100000001;8.74238929896667;43.219
50;8.139385;8.737889536166668;44.164
51;8.1391093;8.73218066740001;45.107
52;8.1390262;8.72942816063334;46.025999999999996
53;8.1389689;8.72362825996667;46.969
54;8.1389689;8.720207189233333;47.916
55;8.1389689;8.719146531033333;48.866
56;8.1389212;8.71542267906668;49.802
57;8.1389212;8.7165174114;50.749
58;8.1388607;8.709096739833335;51.709
59;8.1386586;8.705163826933333;52.658
60;8.138605;8.706070420833338;53.612
61;8.1385232;8.703635206266672;54.561
62;8.1384948;8.695544159400004;55.513
63;8.138330400000001;8.695289042966667;56.483
64;8.1383253;8.696874499466668;57.461
65;8.1381594;8.695239695366672;58.426
66;8.1381102;8.692932765499998;59.385
67;8.1380061;8.691747193633333;60.351
68;8.1379267;8.692751093100002;61.327
69;8.1377853;8.689043808366666;62.309
70;8.1377792;8.68771904503333;63.296
71;8.1377691;8.6836204184;64.289
72;8.1377029;8.6821073227;65.286
73;8.1377029;8.684520370266666;66.263
74;8.1377029;8.681985011233339;67.237
75;8.1376914;8.671006157166662;68.23
76;8.1376858;8.676728191666667;69.232
77;8.1376858;8.671563593033339;70.239
78;8.1376637;8.671893654766663;71.23
79;8.1376637;8.669922806299997;72.219
80;8.1376637;8.667737737433331;73.222
81;8.1376413;8.66875375730001;74.231
82;8.1376206;8.668115477999992;75.255
83;8.137571;8.667899413800006;76.27199999999999
84;8.137464;8.665576246533327;77.276
85;8.1374532;8.661396616333342;78.269
86;8.137423;8.660134103799997;79.275
87;8.1373502;8.662210664766667;80.30799999999999
88;8.1373502;8.663139409366678;81.338
89;8.1373329;8.6629912839;82.371
90;8.1373329;8.661243315300004;83.399
91;8.1373104;8.65833443283333;84.424
92;8.1372653;8.661658143200002;85.438
93;8.1372653;8.657700987333337;86.467
94;8.1372503;8.658029514600004;87.482
95;8.1372224;8.657105112866667;88.536
96;8.1371763;8.654776083100002;89.577
97;8.137138;8.652995701166665;90.612
98;8.1371332;8.654823314733326;91.635
99;8.1371237;8.650964804600001;92.679
100;8.1371216;8.654988896199994;93.727
101;8.1371216;8.648934226066665;94.769
102;8.1371073;8.6470459338;95.811
103;8.1371073;8.65218434283333;96.841
104;8.1371073;8.64560703213333;97.87
105;8.1370673;8.64829738123333;98.912
106;8.1370471;8.643695350033337;99.955
107;8.1370471;8.644228426400005;101.007
108;8.1370471;8.642712959266664;102.047
109;8.1370471;8.646108307366667;103.093
110;8.1370471;8.643383819533334;104.14
111;8.1370471;8.641418662166664;105.201
112;8.1370397;8.64137596196667;106.255
113;8.137012;8.6421134882;107.306
114;8.137012;8.643336458233328;108.379
115;8.1369918;8.647027868166669;109.428
116;8.1369771;8.644415446466667;110.483
117;8.1369771;8.640655251233333;111.538
118;8.1369771;8.639589536533329;112.609
119;8.1369671;8.638013765566669;113.685
120;8.1369402;8.638437176500002;114.74600000000001
121;8.1368747;8.641216768800003;115.813
122;8.1368747;8.638121675033329;116.868
123;8.1368747;8.636770418866668;117.932
124;8.136837;8.63773448513334;119.008
125;8.1368169;8.63709583263333;120.102
126;8.1368169;8.635049088133329;121.17399999999999
127;8.1368143;8.632864260133331;122.237
128;8.1368143;8.635664413000004;123.29599999999999
129;8.1368143;8.638749723433332;124.357
130;8.1367917;8.633727995466671;125.44
131;8.1367917;8.632302548566665;126.539
132;8.136784;8.632549370500001;127.627
133;8.136784;8.632719446199996;128.72
134;8.1367609;8.633336137366665;129.782
135;8.1367481;8.630193430066674;130.852
136;8.136712;8.633575347999997;131.933
137;8.136697;8.6341245148;133.049
138;8.136697;8.633094026666662;134.153
139;8.1366632;8.634401846266664;135.266
140;8.1366632;8.631939597866673;136.356
141;8.1366632;8.632041522266668;137.447
142;8.1366504;8.629844596900003;138.54
143;8.1366504;8.630123770833334;139.642
144;8.1366239;8.631303387133334;140.75
145;8.1366239;8.629510462866666;141.875
146;8.1366239;8.627367828399999;142.99099999999999
147;8.1366239;8.628471192166662;144.095
148;8.1366239;8.627963476966674;145.185
149;8.1366239;8.626476876766674;146.291
150;8.1366239;8.623465297600006;147.411
151;8.1366239;8.628900792299996;148.52
152;8.1366001;8.628532705733331;149.633
153;8.1365943;8.627513701666668;150.76
154;8.1365943;8.626150284200003;151.874
155;8.1365943;8.62387906706667;152.975
156;8.1365943;8.628679970800002;154.075
157;8.1365943;8.631790116533333;155.192
158;8.1365943;8.623068662433333;156.309
159;8.1365943;8.625965357900006;157.445
160;8.1365934;8.623343113400002;158.578
161;8.1365934;8.62441397946667;159.704
162;8.1365934;8.62412404470001;160.833
163;8.1365934;8.6240014368;161.957
164;8.136591600000001;8.622089497033336;163.07999999999998
165;8.1365534;8.61976020760001;164.208
166;8.1365534;8.6220904983;165.334
167;8.1365534;8.623113504200008;166.465
168;8.1365509;8.623309174200001;167.591
169;8.1365438;8.625574203633331;168.713
170;8.1365438;8.622852278566663;169.844
