Generation;Best;Average;ElapsedSeconds
0;22,448205;24,23599888566661;0,00
1;22,368667;23,899268579666654;0,84
2;22,347897;23,750088116666603;1,63
3;22,335619;23,640829254333322;2,38
4;22,194488;23,58264372366662;3,12
5;22,055443;23,520341415666632;3,87
6;22,055443;23,46723007233334;4,64
7;22,055443;23,408825024999988;5,37
8;22,055443;23,363270077666655;6,09
9;22,055443;23,277903860666605;6,75
10;21,932515;23,231344937666655;7,50
11;21,932515;23,158842057666657;8,23
12;21,932515;23,112873381999943;9,02
13;21,932515;23,074461138333266;9,77
14;21,903279;23,03507633466663;10,52
15;21,903279;23,008332282333214;11,23
16;21,903279;23,008484240333292;12,04
17;21,899418;22,959442901666577;12,85
18;21,857957;22,95508274399988;13,65
19;21,857957;22,953324772666637;14,43
20;21,857957;22,932118181333287;15,15
21;21,857957;22,915575100333225;15,98
22;21,857957;22,897656155666606;16,78
23;21,857957;22,87507095199996;17,61
24;21,857957;22,856381531000036;18,43
25;21,857957;22,855182917666635;19,22
26;21,857957;22,837624985333328;20,07
27;21,857957;22,835184590666643;20,90
28;21,840477;22,831144033666636;21,72
29;21,840477;22,80641028066665;22,52
30;21,840477;22,79962498233325;23,33
31;21,840477;22,796174143333307;24,14
32;21,840477;22,801240172666663;24,95
33;21,840477;22,769397207333324;25,82
34;21,840477;22,785410317666653;26,65
35;21,840477;22,78836980099996;27,51
36;21,832128;22,77224202500006;28,37
37;21,832128;22,752748858333362;29,20
38;21,832128;22,764532441666596;30,04
39;21,803571;22,75554675333327;30,92
40;21,797567;22,74864173100001;31,77
41;21,797567;22,756233361666645;32,66
42;21,797567;22,740303083666678;33,54
43;21,797567;22,737270758666686;34,41
44;21,797567;22,726962148333264;35,23
45;21,797567;22,720619672666633;36,08
46;21,797567;22,695251229666674;36,95
47;21,797567;22,69709780433332;37,84
48;21,797567;22,685820765666655;38,75
49;21,797567;22,669165903000014;39,58
50;21,797567;22,676970198666627;40,42
51;21,797567;22,66741815499997;41,29
52;21,797567;22,668160572333324;42,16
53;21,797567;22,641848040999935;43,07
54;21,797567;22,62626821899996;43,97
55;21,797567;22,64547250933328;44,81
56;21,797567;22,639780633333288;45,69
57;21,797567;22,638259726666636;46,60
58;21,797567;22,625340571333304;47,52
59;21,778311;22,62440717833334;48,42
60;21,778311;22,62164000166671;49,31
61;21,778311;22,61504882433322;50,19
62;21,778311;22,605281643999994;51,06
63;21,778311;22,599687232666582;51,94
64;21,778311;22,580131587666653;52,80
65;21,778311;22,584566721999945;53,71
66;21,775801;22,58432231199993;54,59
67;21,775801;22,575407419999966;55,48
68;21,775801;22,573148142000004;56,35
69;21,775801;22,561510659333315;57,21
70;21,775801;22,554616595333336;58,13
71;21,772821;22,55898418366665;59,03
72;21,772821;22,544240487666702;59,93
73;21,772821;22,533919327000014;60,79
74;21,772821;22,54249616866664;61,67
75;21,772821;22,5385743053333;62,56
76;21,772821;22,520454915666622;63,46
77;21,772821;22,517827402999988;64,40
78;21,772821;22,516644977333247;65,33
79;21,772821;22,51535481499995;66,23
80;21,772821;22,52536291866661;67,15
81;21,772821;22,52050798499998;68,07
82;21,772821;22,52884481399998;68,98
83;21,772821;22,520275652333293;69,91
84;21,772821;22,527592819000017;70,83
85;21,772821;22,52014303666662;71,80
86;21,772706;22,515909117333333;72,75
87;21,76563;22,517665924666645;73,68
88;21,76563;22,522734981333294;74,57
89;21,76563;22,520470861666684;75,49
90;21,756027;22,524618220666632;76,49
91;21,756027;22,508615381999974;77,46
92;21,756027;22,50384772900001;78,44
93;21,756027;22,506831438333325;79,38
94;21,756027;22,505201675666598;80,33
95;21,756027;22,501292078666655;81,30
96;21,756027;22,49970865466667;82,30
97;21,756027;22,502253029333282;83,30
98;21,756027;22,486949072666633;84,26
99;21,756027;22,490475386333312;85,27
100;21,756027;22,497247292666593;86,26
101;21,756027;22,494188872999963;87,22
102;21,756027;22,496744923666657;88,19
103;21,756027;22,496079843666653;89,20
104;21,756027;22,48793964933335;90,23
105;21,756027;22,488440105000002;91,28
106;21,756027;22,500617584666752;92,30
107;21,756027;22,499239835333306;93,30
108;21,756027;22,48786066299996;94,40
109;21,756027;22,48967058333334;95,47
110;21,756027;22,49951218333333;96,53
111;21,756027;22,48541087333336;97,61
112;21,756027;22,484766190000006;98,74
113;21,756027;22,49960928466666;99,85
114;21,756027;22,48050825433329;100,93
115;21,756027;22,48072645333327;101,98
116;21,756027;22,486379921666686;103,09
117;21,756027;22,478595485000003;104,23
118;21,756027;22,476577435333322;105,34
119;21,756027;22,485653355333312;106,40
120;21,756027;22,48486573566667;107,44
121;21,756027;22,467587921666667;108,52
122;21,756027;22,481788822;109,61
123;21,756027;22,464127611999977;110,70
124;21,756027;22,468185734666662;111,79
125;21,756027;22,48939372399997;112,90
126;21,756027;22,479691323333324;113,96
127;21,756027;22,480403457666625;114,98
128;21,756027;22,478752598999975;116,07
129;21,756027;22,465912801999966;117,13
130;21,756027;22,471398750666705;118,15
131;21,756027;22,463028532333336;119,25
132;21,756027;22,46454074433329;120,34
133;21,756027;22,457039656333304;121,40
134;21,756027;22,457500499333328;122,55
135;21,756027;22,461224504999958;123,63
136;21,756027;22,46616036766667;124,65
137;21,756027;22,471844224333367;125,72
138;21,756027;22,476586667999932;126,82
139;21,756027;22,460791575666658;127,91
140;21,756027;22,446390778000005;129,04
141;21,756027;22,474162614333352;130,10
142;21,756027;22,480926121333336;131,19
143;21,756027;22,467834933000024;132,25
144;21,756027;22,460869377666654;133,33
145;21,756027;22,443521778666607;134,40
146;21,756027;22,44901957733331;135,45
147;21,756027;22,456536784666703;136,62
148;21,756027;22,455382331999978;137,68
149;21,756027;22,450565031333294;138,76
150;21,756027;22,45427688200002;139,84
151;21,756027;22,441241194999947;140,85
152;21,75149;22,46594431966663;141,91
153;21,75149;22,463589845666707;142,99
154;21,75149;22,463305333333295;144,02
155;21,75149;22,449869400333327;145,16
156;21,75149;22,45222768633336;146,25
157;21,75149;22,444375417999996;147,34
158;21,75149;22,452996061333277;148,47
159;21,75149;22,43901548799996;149,54
160;21,75149;22,451139156000025;150,67
161;21,75149;22,447309486999924;151,75
162;21,75149;22,437258069999977;152,86
163;21,75149;22,449124625666595;153,96
164;21,75149;22,443512161666703;155,08
165;21,749827;22,432186403999896;156,18
166;21,749827;22,453411968333302;157,28
167;21,749827;22,444810115666662;158,38
168;21,749827;22,438682024333307;159,46
169;21,749827;22,43594249633332;160,54
170;21,749827;22,45917640433326;161,66
171;21,749827;22,447412894999978;162,71
172;21,749827;22,438186585333295;163,77
173;21,749827;22,445946260000017;164,81
174;21,749827;22,44653176399996;165,90
175;21,749827;22,452085286666602;166,98
