Generation;AverageBest;AverageAverage;AverageTime
0;24.6392568;26.406481147599994;0.0
1;24.4379917;26.15750215777777;2.309
2;24.3933316;26.05616319675555;4.539
3;24.331785;25.97331063724443;6.836
4;24.3029678;25.903543559088874;9.299
5;24.2619741;25.855964426466677;12.183
6;24.2038887;25.800106448400015;14.658
7;24.1859567;25.753901129133304;17.15
8;24.1495604;25.71067059737777;19.398
9;24.1145376;25.668031202799988;21.554000000000002
10;24.0852351;25.63217555406665;23.755
11;24.0852351;25.591329617622232;25.932
12;24.0823741;25.554981222333353;28.201999999999998
13;24.054250800000002;25.517470466222207;30.423000000000002
14;24.0516244;25.48217773151111;32.637
15;24.0475828;25.453318028822217;34.888
16;24.0238668;25.423527866911108;37.213
17;24.0215307;25.389418362200004;40.016
18;23.9840936;25.362831675866666;42.885
19;23.9691407;25.333419630288887;45.674
20;23.9579515;25.3067800302222;47.989
21;23.9556088;25.28312202284444;50.328
22;23.9422523;25.25906415606665;52.664
23;23.9268767;25.235639590533335;54.99
24;23.9239859;25.206542840888865;57.347
25;23.9235671;25.18914324784442;59.836
26;23.917177;25.169103580066675;62.293
27;23.9032264;25.148871232155546;64.753
28;23.8913674;25.13362321484445;67.215
29;23.8756131;25.112990589466698;69.728
30;23.870749500000002;25.09351259528889;72.256
31;23.8524176;25.080653286999983;75.09100000000001
32;23.8521868;25.06300252855554;78.251
33;23.8407262;25.050325261311087;81.437
34;23.8242796;25.03316217924442;83.982
35;23.8242796;25.019266826133343;86.51
36;23.8177846;24.9976581650222;89.128
37;23.811776000000002;24.979304393133326;91.705
38;23.8085568;24.96655705802222;94.268
39;23.8055627;24.953952347466664;96.911
40;23.8055627;24.93656190435554;99.493
41;23.7800999;24.926695741911065;102.056
42;23.7790868;24.907757025422228;104.64
43;23.7700136;24.897256562733293;107.246
44;23.7661529;24.887186577155518;109.823
45;23.7646685;24.87448490177776;112.412
46;23.7624009;24.86850240875555;115.033
47;23.7590253;24.85450612906665;117.615
48;23.7590253;24.842596076422208;120.219
49;23.757755500000002;24.831820046622195;122.854
50;23.756705;24.821599910888864;125.464
51;23.7525099;24.81473845406666;128.145
52;23.7496588;24.802494859555576;130.85399999999998
53;23.7496588;24.79656949848888;133.55
54;23.7489372;24.791138208955548;136.31799999999998
55;23.7434771;24.781344866444435;139.01
56;23.7433388;24.770804424911123;141.69
57;23.740209999999998;24.767854637844433;144.341
58;23.74008;24.759168282577754;146.958
59;23.738289299999998;24.75286206822222;149.566
60;23.7335069;24.747278707222225;152.224
61;23.7282048;24.736908969999977;154.904
62;23.725991099999998;24.731888758422215;157.666
63;23.7209425;24.730325336066677;160.431
64;23.7145101;24.726566025133344;163.173
65;23.7140139;24.719727801466668;165.994
66;23.711597;24.71285531828887;168.744
67;23.7084933;24.701675526511114;171.489
68;23.7043818;24.7006630824889;174.322
69;23.703545300000002;24.698090396911113;177.145
70;23.7034285;24.690294310288884;179.894
71;23.702033800000002;24.68752700193333;182.712
72;23.7013458;24.68172071375556;185.59300000000002
73;23.7002429;24.677101098622217;188.476
74;23.6985169;24.676208692244437;191.348
75;23.6982824;24.67076724395555;194.259
76;23.6980568;24.664899168555557;197.204
77;23.6980568;24.654962885666656;200.267
78;23.697701300000002;24.65222264546666;203.221
79;23.6966809;24.65380366226664;206.221
80;23.6957491;24.644356214466658;209.198
