Generation;Best;Average;ElapsedSeconds
0;26,426221;28,810587316333674;0,00
1;26,426221;28,369969177000097;0,89
2;26,280548;28,198137795666955;1,75
3;25,827857;28,029057690666896;2,59
4;25,803012;27,92541306066681;3,37
5;25,784671;27,860563686666918;4,17
6;25,706923;27,805825734000177;4,98
7;25,706923;27,73797757700019;5,78
8;25,706923;27,67317697933349;6,55
9;25,706923;27,615795269333553;7,34
10;25,696031;27,580835689333558;8,21
11;25,631808;27,51931920133361;9,09
12;25,631808;27,470780371666812;9,91
13;25,624387;27,42701401566686;10,73
14;25,624387;27,3983149056668;11,56
15;25,624387;27,315718530333378;12,40
16;25,624387;27,267319059333307;13,25
17;25,580462;27,232642085666697;14,10
18;25,450257;27,16959455900003;14,90
19;25,43564;27,132149786333322;15,75
20;25,43564;27,094333470999995;16,61
21;25,43564;27,092590207333377;17,46
22;25,43564;27,051433031333378;18,27
23;25,43564;26,99504129633342;19,09
24;25,43564;26,960796360000057;19,93
25;25,408378;26,94408497466671;20,80
26;25,408378;26,906642877000085;21,65
27;25,408378;26,90790124833339;22,44
28;25,408378;26,860076636666786;23,25
29;25,408378;26,842947557333382;24,11
30;25,408378;26,80161379966672;24,98
31;25,355836;26,784848827333402;25,83
32;25,355836;26,781634813000053;26,66
33;25,355836;26,770666008666705;27,49
34;25,327419;26,756170416000174;28,36
35;25,31507;26,744672199666727;29,27
36;25,31507;26,739178404000075;30,08
37;25,31507;26,740954493333444;30,89
38;25,31507;26,712319759333404;31,76
39;25,31507;26,69273534733338;32,64
40;25,31507;26,693734470333457;33,49
41;25,31507;26,676712716666714;34,31
42;25,283022;26,694589149333424;35,18
43;25,283022;26,673898925333454;36,05
44;25,283022;26,646455522666788;36,95
45;25,278673;26,673731290000088;37,83
46;25,278673;26,65198197700009;38,69
47;25,267781;26,647960290000057;39,54
48;25,267781;26,62753064166671;40,42
49;25,267781;26,62951134900014;41,32
50;25,267781;26,61753775833343;42,20
51;25,267781;26,60102390833341;43,05
52;25,267781;26,588533467666764;43,87
53;25,267781;26,587940041666776;44,80
54;25,267781;26,559486246000123;45,72
55;25,267781;26,55482468066676;46,60
56;25,23407;26,569144528666747;47,50
57;25,23407;26,535252718666783;48,40
58;25,23407;26,54011296266677;49,31
59;25,23407;26,524208272333556;50,22
60;25,23407;26,50102572466684;51,10
61;25,195371;26,51229826000015;51,97
62;25,195371;26,48882612300017;52,86
63;25,184223;26,430091875666786;53,81
64;25,170867;26,41439044533334;54,73
65;25,170867;26,396226286999987;55,64
66;25,134952;26,376611991666646;56,53
67;25,134952;26,375079828666635;57,41
68;25,134952;26,36035219400003;58,35
69;25,134952;26,345097770999995;59,34
70;25,134952;26,348483078000033;60,30
71;25,132094;26,336683384000033;61,20
72;25,132094;26,310091812333305;62,11
73;25,132094;26,316925062999992;63,04
74;25,132094;26,30004327600004;64,03
75;25,132094;26,30315572266672;65,01
76;25,132094;26,290076600000084;65,96
77;25,132094;26,297215257666693;66,90
78;25,132094;26,26687472666665;67,81
79;25,132094;26,264627348999984;68,82
80;25,132094;26,25823206899993;69,83
81;25,116699;26,250932771333346;70,83
82;25,116699;26,243622260000034;71,77
83;25,116699;26,218179323666675;72,71
84;25,116699;26,241283868666727;73,66
85;25,111895;26,228909998666666;74,68
86;25,111895;26,22997224833334;75,68
87;25,108581;26,209779047333306;76,71
88;25,108581;26,241038714999952;77,67
89;25,108581;26,204313295333357;78,63
90;25,108581;26,21000978900003;79,62
91;25,081498;26,20257841933334;80,65
92;25,081498;26,200340041000086;81,67
93;25,081498;26,196611972333358;82,69
94;25,081498;26,201160373333376;83,67
95;25,081498;26,198092569666763;84,66
96;25,081498;26,18817841133337;85,67
97;25,081498;26,189680619333355;86,74
