Generation;AverageBest;AverageAverage;AverageTime
0;12.7915162;14.502080969088865;0.0
1;12.681959299999999;14.258038594977755;2.567
2;12.620841;14.134474458977769;5.126
3;12.5545022;14.052279884088883;7.566
4;12.5255849;13.974686365844432;10.004999999999999
5;12.4726878;13.910013621511094;12.445
6;12.4223782;13.847470275355544;14.889
7;12.396961300000001;13.785054713244433;17.442
8;12.3712015;13.73273899822222;19.939
9;12.3520173;13.685074166866656;22.412
10;12.33282;13.631228170799996;24.889
11;12.3102413;13.587022749466662;27.359
12;12.3045053;13.542315110355565;29.812
13;12.2966972;13.50298734508889;32.254
14;12.2846324;13.465115248222226;34.702
15;12.2611909;13.436078047933321;37.16
16;12.2543206;13.400971472022228;39.655
17;12.2478923;13.37003665608889;42.150999999999996
18;12.2436566;13.344279641444434;44.626999999999995
19;12.2306873;13.313860293622223;47.16
20;12.2229068;13.28916851262222;49.679
21;12.2084473;13.268995479888899;52.217
22;12.2015227;13.242610160511106;54.765
23;12.2003013;13.223357747400005;57.341
24;12.1962516;13.203176321800006;59.883
25;12.1961702;13.181505747311107;62.474000000000004
26;12.1955329;13.166436484688884;65.095
27;12.1913051;13.14639477411111;67.702
28;12.19016;13.129265755600002;70.333
29;12.1897745;13.115194391688886;72.991
30;12.1864264;13.101254128311115;75.647
31;12.1863801;13.090963238999995;78.332
32;12.1858125;13.078074135844448;81.049
33;12.1841028;13.06214042739999;83.729
34;12.1806458;13.052651048866663;86.489
35;12.1806458;13.037892894711122;89.242
36;12.1806458;13.029102689000004;91.983
37;12.179768;13.021145280777768;94.78399999999999
38;12.1786373;13.008215254644433;97.598
39;12.178405099999999;12.999186430511116;100.427
40;12.1776395;12.987408823266671;103.211
41;12.1759598;12.98096950637778;106.079
42;12.175569;12.977364763644442;108.938
43;12.174802;12.967041692555545;111.804
44;12.1742431;12.964025119311117;114.671
45;12.1742431;12.957671967911113;117.557
46;12.1735517;12.946075460911114;120.467
47;12.1729748;12.942732647088874;123.33699999999999
48;12.1727569;12.93344727868888;126.2
49;12.1727569;12.931909570533337;129.15
50;12.1719519;12.922095848333326;132.09
51;12.1714011;12.921836929733313;134.988
52;12.1714011;12.919526846177767;137.916
53;12.1704588;12.910753632266655;140.903
54;12.1702399;12.909995519422216;143.87
55;12.1698636;12.906071644333332;146.809
56;12.1698636;12.90184829468889;149.778
57;12.1696691;12.895585924355554;152.765
58;12.1689036;12.889700102644431;155.725
59;12.1687685;12.88668434346666;158.692
60;12.168040399999999;12.881478406244447;161.72299999999998
61;12.168040399999999;12.87885569642222;164.733
62;12.1678639;12.875073186800005;167.712
63;12.1677959;12.875314144400006;170.723
64;12.1677959;12.871062517755554;173.768
65;12.1674793;12.869685744088892;176.797
66;12.167441;12.86641581355555;179.822
67;12.166807499999999;12.860983296933325;182.904
68;12.1665592;12.857736472266671;185.945
69;12.1664745;12.854593610222224;189.031
70;12.166384599999999;12.84939036168889;192.06
71;12.1661521;12.847336952800005;195.121
72;12.1659881;12.845647768466682;198.175
73;12.1659128;12.842032597577788;201.22899999999998
74;12.1657653;12.837697907399997;204.316
75;12.1657223;12.837390017800004;207.437
76;12.165553599999999;12.835647494288885;210.563
77;12.165553599999999;12.831202416733332;213.685
78;12.165553599999999;12.827753840577763;216.811
79;12.1655084;12.824657353288897;219.964
80;12.165353099999999;12.82701060402223;223.115
81;12.1649342;12.821857319088876;226.263
82;12.1649342;12.819380825533338;229.428
83;12.1648003;12.815220905733343;232.575
84;12.164736699999999;12.813799722311108;235.727
85;12.164736699999999;12.815455957600008;238.904
86;12.1646267;12.811335811666675;242.169
87;12.1641678;12.808199847355562;245.376
88;12.1641678;12.807320818288892;248.549
89;12.1640357;12.808093695666667;251.727
90;12.1638778;12.806919699800002;254.987
91;12.1638533;12.798335829577782;258.231
92;12.1638533;12.799407113377773;261.483
93;12.1638135;12.800150363111102;264.754
94;12.1638135;12.798338737600002;268.073
95;12.1636267;12.800862139044455;271.353
96;12.1633821;12.792354856466666;274.639
97;12.1633821;12.79299507202222;277.935
98;12.1633821;12.790424477022222;281.286
99;12.1633821;12.791723774822227;284.624
100;12.163290100000001;12.78766641795556;287.967
101;12.1632879;12.784680376844438;291.235
102;12.1631526;12.789117229422228;294.543
103;12.1631526;12.78625463522222;297.897
104;12.1631208;12.783472945200016;301.254
105;12.1631208;12.781229808333345;304.565
106;12.1629504;12.779481458711121;307.89
107;12.1629416;12.781266319800004;311.28999999999996
