Generation;Best;Average;ElapsedSeconds
0;12,346144;13,903864554888862;0,00
1;12,295665;13,676325868666707;2,66
2;12,164208;13,53406170222224;5,31
3;12,164208;13,469311208000013;7,84
4;12,127574;13,402740231555589;10,23
5;11,919588;13,324147618222224;12,61
6;11,918128;13,272372732222266;15,03
7;11,889632;13,197480448444477;17,38
8;11,858601;13,152873134000018;19,72
9;11,829541;13,107941546000031;22,13
10;11,797973;13,045227964888923;24,47
11;11,797930000000001;13,020690038444489;26,80
12;11,771537;12,94626925866669;29,18
13;11,756305;12,90972653755559;31,51
14;11,756305;12,854852996222245;33,82
15;11,756305;12,841274454888906;36,15
16;11,754835;12,801195899333342;38,47
17;11,754835;12,77771866199998;40,85
18;11,733446;12,749432152000026;43,17
19;11,733446;12,714582825555556;45,56
20;11,732171;12,692217588444441;47,93
21;11,732171;12,690878732444462;50,30
22;11,725985;12,667839437111102;52,76
23;11,714624;12,645833723333336;55,11
24;11,714624;12,631660390444456;57,56
25;11,714624;12,628399224222242;60,06
26;11,714624;12,619055802222189;62,53
27;11,714624;12,612799204000005;65,10
28;11,714624;12,592923303999948;67,63
29;11,714624;12,575309141555614;70,11
30;11,714624;12,573049310000002;72,71
31;11,714624;12,565990895999954;75,26
32;11,714624;12,553305797555565;77,83
33;11,714624;12,5374773613333;80,50
34;11,714624;12,520914340222232;83,10
35;11,714624;12,506047737111135;85,70
36;11,714624;12,500887033555584;88,41
37;11,714624;12,498424304222214;91,05
38;11,712105;12,486849799999957;93,72
39;11,712105;12,474950666444448;96,54
40;11,710055;12,473173320444488;99,30
41;11,710055;12,456410413777771;102,05
42;11,710055;12,461949486666665;104,89
43;11,705997;12,46238880022218;107,78
44;11,705997;12,455691090666692;110,56
45;11,705997;12,433468773333354;113,39
46;11,705997;12,432251987111105;116,27
47;11,705997;12,425085177111102;119,10
48;11,705997;12,423397942888915;121,97
49;11,705997;12,423100787777745;124,87
50;11,705997;12,417298326222229;127,80
