Generation;AverageBest;AverageAverage;AverageTime
0;14.7534748000;14.7534748000;0.0000000000
1;14.7534748000;14.7534748000;0.0000000000
2;14.7534748000;14.7534748000;0.0000000000
3;14.7534748000;14.7534748000;0.0000000000
4;14.7534748000;14.7534748000;0.0000000000
5;14.7534748000;14.7534748000;0.0000000000
6;14.7534748000;14.7534748000;0.0000000000
7;14.7534748000;14.7534748000;0.0000000000
8;14.7534748000;14.7534748000;0.0000000000
9;14.7534748000;14.7534748000;0.0000000000
10;14.7534748000;14.7534748000;0.0000000000
11;14.7534748000;14.7534748000;0.0000000000
12;14.7534748000;14.7534748000;0.0000000000
13;14.7534748000;14.7534748000;0.0000000000
14;14.7534748000;14.7534748000;0.0000000000
15;14.7534748000;14.7534748000;0.0000000000
16;14.7534748000;14.7534748000;0.0000000000
17;14.7534748000;14.7534748000;0.0000000000
18;14.7534748000;14.7534748000;0.0000000000
19;14.7534748000;14.7534748000;0.0000000000
20;14.7534748000;14.7534748000;0.0000000000
21;14.7534748000;14.7534748000;0.0000000000
22;14.7534748000;14.7534748000;0.0000000000
23;14.7534748000;14.7534748000;0.0000000000
24;14.7534748000;14.7534748000;0.0000000000
25;14.7534748000;14.7534748000;0.0000000000
26;14.7534748000;14.7534748000;0.0000000000
27;14.7534748000;14.7534748000;0.0000000000
28;14.7534748000;14.7534748000;0.0000000000
29;14.7534748000;14.7534748000;0.0000000000
30;14.7534748000;14.7534748000;0.0000000000
31;14.7534748000;14.7534748000;0.0000000000
32;14.7534748000;14.7534748000;0.0000000000
33;14.7534748000;14.7534748000;0.0000000000
34;14.7534748000;14.7534748000;0.0000000000
35;14.7534748000;14.7534748000;0.0000000000
36;14.7534748000;14.7534748000;0.0000000000
37;14.7534748000;14.7534748000;0.0000000000
38;14.7534748000;14.7534748000;0.0000000000
39;14.7534748000;14.7534748000;0.0000000000
40;14.7534748000;14.7534748000;0.0000000000
41;14.7534748000;14.7534748000;0.0000000000
42;14.7534748000;14.7534748000;0.0000000000
43;14.7534748000;14.7534748000;0.0000000000
44;14.7534748000;14.7534748000;0.0000000000
45;14.7534748000;14.7534748000;0.0000000000
46;14.7534748000;14.7534748000;0.0000000000
47;14.7534748000;14.7534748000;0.0000000000
48;14.7534748000;14.7534748000;0.0000000000
49;14.7534748000;14.7534748000;0.0000000000
50;14.7534748000;14.7534748000;0.0000000000
51;14.7534748000;14.7534748000;0.0000000000
52;14.7534748000;14.7534748000;0.0000000000
53;14.7534748000;14.7534748000;0.0000000000
54;14.7534748000;14.7534748000;0.0000000000
55;14.7534748000;14.7534748000;0.0000000000
56;14.7534748000;14.7534748000;0.0000000000
57;14.7534748000;14.7534748000;0.0000000000
58;14.7534748000;14.7534748000;0.0000000000
59;14.7534748000;14.7534748000;0.0000000000
60;14.7534748000;14.7534748000;0.0000000000
61;14.7534748000;14.7534748000;0.0000000000
62;14.7534748000;14.7534748000;0.0000000000
63;14.7534748000;14.7534748000;0.0000000000
64;14.7534748000;14.7534748000;0.0000000000
65;14.7534748000;14.7534748000;0.0000000000
66;14.7534748000;14.7534748000;0.0000000000
67;14.7534748000;14.7534748000;0.0000000000
68;14.7534748000;14.7534748000;0.0000000000
69;14.7534748000;14.7534748000;0.0000000000
70;14.7534748000;14.7534748000;0.0000000000
71;14.7534748000;14.7534748000;0.0000000000
72;14.7534748000;14.7534748000;0.0000000000
73;14.7534748000;14.7534748000;0.0000000000
74;14.7534748000;14.7534748000;0.0000000000
75;14.7534748000;14.7534748000;0.0000000000
76;14.7534748000;14.7534748000;0.0000000000
77;14.7534748000;14.7534748000;0.0000000000
78;14.7534748000;14.7534748000;0.0000000000
79;14.7534748000;14.7534748000;0.0000000000
80;14.7534748000;14.7534748000;0.0000000000
81;14.7534748000;14.7534748000;0.0000000000
82;14.7534748000;14.7534748000;0.0000000000
83;14.7534748000;14.7534748000;0.0000000000
84;14.7534748000;14.7534748000;0.0000000000
85;14.7534748000;14.7534748000;0.0000000000
86;14.7534748000;14.7534748000;0.0000000000
87;14.7534748000;14.7534748000;0.0000000000
88;14.7534748000;14.7534748000;0.0000000000
89;14.7534748000;14.7534748000;0.0000000000
90;14.7534748000;14.7534748000;0.0000000000
91;14.7534748000;14.7534748000;0.0000000000
92;14.7534748000;14.7534748000;0.0000000000
93;14.7534748000;14.7534748000;0.0000000000
94;14.7534748000;14.7534748000;0.0000000000
95;14.7534748000;14.7534748000;0.0000000000
96;14.7534748000;14.7534748000;0.0000000000
97;14.7534748000;14.7534748000;0.0000000000
98;14.7534748000;14.7534748000;0.0000000000
99;14.7534748000;14.7534748000;0.0000000000
100;14.7534748000;14.7534748000;0.0000000000
101;14.7534748000;14.7534748000;0.0000000000
102;14.7534748000;14.7534748000;0.0000000000
103;14.7534748000;14.7534748000;0.0000000000
104;14.7534748000;14.7534748000;0.0000000000
105;14.7534748000;14.7534748000;0.0000000000
106;14.7534748000;14.7534748000;0.0000000000
107;14.7534748000;14.7534748000;0.0000000000
108;14.7534748000;14.7534748000;0.0000000000
109;14.7534748000;14.7534748000;0.0000000000
110;14.7534748000;14.7534748000;0.0000000000
111;14.7534748000;14.7534748000;0.0000000000
112;14.7534748000;14.7534748000;0.0000000000
113;14.7534748000;14.7534748000;0.0000000000
114;14.7534748000;14.7534748000;0.0000000000
115;14.7534748000;14.7534748000;0.0000000000
116;14.7534748000;14.7534748000;0.0000000000
117;14.7534748000;14.7534748000;0.0000000000
118;14.7534748000;14.7534748000;0.0000000000
119;14.7534748000;14.7534748000;0.0000000000
120;14.7534748000;14.7534748000;0.0000000000
121;14.7534748000;14.7534748000;0.0000000000
122;14.7534748000;14.7534748000;0.0000000000
123;14.7534748000;14.7534748000;0.0000000000
124;14.7534748000;14.7534748000;0.0000000000
125;14.7534748000;14.7534748000;0.0000000000
126;14.7534748000;14.7534748000;0.0000000000
127;14.7534748000;14.7534748000;0.0000000000
128;14.7534748000;14.7534748000;0.0000000000
129;14.7534748000;14.7534748000;0.0000000000
130;14.7534748000;14.7534748000;0.0000000000
131;14.7534748000;14.7534748000;0.0000000000
132;14.7534748000;14.7534748000;0.0000000000
133;14.7534748000;14.7534748000;0.0000000000
134;14.7534748000;14.7534748000;0.0000000000
135;14.7534748000;14.7534748000;0.0000000000
136;14.7534748000;14.7534748000;0.0000000000
137;14.7534748000;14.7534748000;0.0000000000
138;14.7534748000;14.7534748000;0.0000000000
139;14.7534748000;14.7534748000;0.0000000000
140;14.7534748000;14.7534748000;0.0000000000
141;14.7534748000;14.7534748000;0.0000000000
142;14.7534748000;14.7534748000;0.0000000000
143;14.7534748000;14.7534748000;0.0000000000
144;14.7534748000;14.7534748000;0.0000000000
145;14.7534748000;14.7534748000;0.0000000000
146;14.7534748000;14.7534748000;0.0000000000
147;14.7534748000;14.7534748000;0.0000000000
148;14.7534748000;14.7534748000;0.0000000000
149;14.7534748000;14.7534748000;0.0000000000
150;14.7534748000;14.7534748000;0.0000000000
151;14.7534748000;14.7534748000;0.0000000000
152;14.7534748000;14.7534748000;0.0000000000
153;14.7534748000;14.7534748000;0.0000000000
154;14.7534748000;14.7534748000;0.0000000000
155;14.7534748000;14.7534748000;0.0000000000
156;14.7534748000;14.7534748000;0.0000000000
157;14.7534748000;14.7534748000;0.0000000000
158;14.7534748000;14.7534748000;0.0000000000
159;14.7534748000;14.7534748000;0.0000000000
160;14.7534748000;14.7534748000;0.0000000000
161;14.7534748000;14.7534748000;0.0000000000
162;14.7534748000;14.7534748000;0.0000000000
163;14.7534748000;14.7534748000;0.0000000000
164;14.7534748000;14.7534748000;0.0000000000
165;14.7534748000;14.7534748000;0.0000000000
166;14.7534748000;14.7534748000;0.0000000000
167;14.7534748000;14.7534748000;0.0000000000
168;14.7534748000;14.7534748000;0.0000000000
169;14.7534748000;14.7534748000;0.0000000000
170;14.7534748000;14.7534748000;0.0000000000
171;14.7534748000;14.7534748000;0.0000000000
172;14.7534748000;14.7534748000;0.0000000000
173;14.7534748000;14.7534748000;0.0000000000
174;14.7534748000;14.7534748000;0.0000000000
175;14.7534748000;14.7534748000;0.0000000000
176;14.7534748000;14.7534748000;0.0000000000
177;14.7534748000;14.7534748000;0.0000000000
178;14.7534748000;14.7534748000;0.0000000000
179;14.7534748000;14.7534748000;0.0000000000
180;14.7534748000;14.7534748000;0.0000000000
181;14.7534748000;14.7534748000;0.0000000000
182;14.7534748000;14.7534748000;0.0000000000
183;14.7534748000;14.7534748000;0.0000000000
184;14.7534748000;14.7534748000;0.0000000000
185;14.7534748000;14.7534748000;0.0000000000
186;14.7534748000;14.7534748000;0.0000000000
187;14.7534748000;14.7534748000;0.0000000000
188;14.7534748000;14.7534748000;0.0000000000
189;14.7534748000;14.7534748000;0.0000000000
190;14.7534748000;14.7534748000;0.0000000000
191;14.7534748000;14.7534748000;0.0000000000
192;14.7534748000;14.7534748000;0.0000000000
193;14.7534748000;14.7534748000;0.0000000000
194;14.7534748000;14.7534748000;0.0000000000
195;14.7534748000;14.7534748000;0.0000000000
196;14.7534748000;14.7534748000;0.0000000000
197;14.7534748000;14.7534748000;0.0000000000
198;14.7534748000;14.7534748000;0.0000000000
199;14.7534748000;14.7534748000;0.0000000000
200;14.7534748000;14.7534748000;0.0000000000
201;14.7534748000;14.7534748000;0.0000000000
202;14.7534748000;14.7534748000;0.0000000000
203;14.7534748000;14.7534748000;0.0000000000
