Class;N;AverageBest;AverageAverage;AverageTime
class1;n100;15.2785988000;15.2785988000;0.0000000000
class1;n150;23.5729326000;23.5729326000;0.0000000000
class1;n50;8.9308335000;8.9308335000;0.0000000000
class2;n100;10.1990259000;10.1990259000;0.0000000000
class2;n150;14.7534748000;14.7534748000;0.0000000000
class2;n50;5.8211414000;5.8211414000;0.0000000000
class3;n100;8.1356029000;8.1356029000;0.0000000000
class3;n150;12.1587674000;12.1587674000;0.0000000000
class3;n50;4.8055148000;4.8055148000;0.0000000000
class4;n100;20.1448679000;20.1448679000;0.0000000000
class4;n150;31.0737244000;31.0737244000;0.0000000000
class4;n50;10.3129188000;10.3129188000;0.0000000000
