Class;N;AverageBest_heavy_all_heuristics_no_order;AverageBest_heavy_all_heuristics_volume;AverageBest_heavy_all_heuristics_weight;AverageTime_heavy_all_heuristics_no_order;AverageTime_heavy_all_heuristics_volume;AverageTime_heavy_all_heuristics_weight
class1;n100;15.2990776;15.2973491;15.2984055;322.371;316.326;333.661
class1;n150;23.6221161;23.6183402;23.6206429;991.527;958.209;965.464
class1;n50;8.940916699999999;8.9383598;8.9377423;46.818;52.109;45.263
class2;n100;10.2018587;10.2020742;10.2020992;326.941;332.969;334.637
class2;n150;14.7596761;14.7593796;14.7595609;954.019;1000.02;964.452
class2;n50;5.8215864;5.8215622;5.8217262;51.394999999999996;50.084;48.604
class3;n100;8.1361484;8.1361951;8.1361808;323.565;334.462;336.823
class3;n150;12.1602974;12.1601696;12.1600737;958.521;986.9390000000001;990.496
class3;n50;4.8055575;4.805615400000001;4.8056026;50.953;50.738;51.949
class4;n100;20.1725733;20.1708591;20.1720692;314.377;314.688;326.571
class4;n150;31.1462487;31.136445600000002;31.145031799999998;988.443;963.734;1066.368
class4;n50;10.3280475;10.3328369;10.3286769;45.917;46.147;55.994
