Generation;AverageBest;AverageAverage;AverageTime
0;8.7388607;10.195390081933327;0.0
1;8.5976085;9.98310585046666;0.372
2;8.547693;9.905904344933324;0.659
3;8.5190926;9.851213740199999;0.88
4;8.4900033;9.798596982133335;1.087
5;8.4184993;9.743211825866657;1.289
6;8.4036782;9.704023943266666;1.4849999999999999
7;8.3797437;9.673921682333335;1.672
8;8.3754353;9.638696044066663;1.857
9;8.3723669;9.608439512666667;2.049
10;8.3408726;9.578545638466668;2.243
11;8.3302976;9.558878889333332;2.427
12;8.3080637;9.539000018466663;2.609
13;8.276300299999999;9.521660561266666;2.795
14;8.2616884;9.493276895266664;2.979
15;8.2472949;9.472474861133328;3.167
16;8.23001;9.451007820666662;3.348
17;8.2161005;9.431229361333335;3.532
18;8.1919269;9.405100134199998;3.727
19;8.1576779;9.384689813066664;3.92
20;8.157373;9.364256206400007;4.118
21;8.151110599999999;9.357039500266664;4.316
22;8.0869151;9.339230640933337;4.513
23;8.0867686;9.322447221533334;4.71
24;8.070167099999999;9.310085354000003;4.894
25;8.070167099999999;9.289504060933332;5.077
26;8.0675139;9.277581256266666;5.256
27;8.0635095;9.273882421000003;5.443
28;8.0357013;9.255480385133335;5.625
29;8.035614;9.2425249536;5.807
30;8.034704;9.24114563693333;5.996
31;8.034704;9.229971728333334;6.192
32;8.0048878;9.207821258999996;6.383
33;7.9935644;9.205137162933333;6.573
34;7.9869169;9.18946074706667;6.76
35;7.9787463;9.176839897199994;6.947
36;7.9787463;9.175940832199998;7.137
37;7.9787463;9.156419636733334;7.329
38;7.9444771;9.14385334073334;7.519
39;7.9167451;9.133028554066662;7.721
40;7.9018676;9.126278658399997;7.926
41;7.8946627;9.102980617666669;8.115
42;7.8906893;9.107176759800002;8.301
43;7.8826315000000005;9.088601377666668;8.487
44;7.8815203;9.08302063966667;8.662
45;7.8802091;9.069657721333336;8.844999999999999
46;7.8802091;9.066649306066667;9.039
47;7.8798395;9.048020192866668;9.228
48;7.8752014;9.04015669226667;9.414
49;7.8751777;9.031922193933337;9.607
50;7.868424699999999;9.01987706993334;9.797
51;7.8627416;9.020656019599999;9.993
52;7.858659599999999;9.010687489199997;10.184
53;7.8565632999999995;9.001403606599997;10.373000000000001
54;7.8536997;8.99458736746666;10.56
55;7.8500318;8.97922646633333;10.753
56;7.8175036;8.965104197733334;10.939
57;7.8030898;8.950198219533332;11.119
58;7.8001705;8.941172493666672;11.308
59;7.7909422;8.933239344133328;11.501
60;7.7909422;8.929258408799999;11.684
61;7.775802;8.912130288866665;11.871
62;7.7649326;8.899773286066665;12.056
63;7.7649326;8.894103390066663;12.245
64;7.7584837;8.882861416733332;12.435
65;7.7521709;8.882061142866663;12.624
66;7.7459397;8.874135040466664;12.816
67;7.7459397;8.865923581266662;13.009
68;7.7361394;8.858560784399995;13.197
69;7.7210074;8.851670422666661;13.389
70;7.7165516;8.841157493666667;13.579
71;7.7148192;8.828906479266669;13.768
72;7.7138304;8.816725845733327;13.957
73;7.7070430000000005;8.811736035666666;14.151
74;7.7064998000000005;8.810749912599997;14.343
75;7.6964186;8.79479342373333;14.527
76;7.666573;8.777710863600001;14.718
77;7.6630665;8.76870043346667;14.91
78;7.6591817;8.751799737333332;15.096
79;7.6582234;8.749065894133327;15.277
80;7.6559883;8.726619180666665;15.463000000000001
81;7.6390879;8.713487307133333;15.654
82;7.6339734;8.709895332266665;15.857
83;7.6182966;8.704438054933329;16.058
84;7.613517;8.691436155533328;16.251
85;7.6127414;8.678769319000002;16.44
86;7.6097849;8.666525098266668;16.63
87;7.6080220999999995;8.657963887266668;16.815
88;7.6072194;8.648208168799995;17.003
89;7.602023;8.635633365466669;17.193
90;7.5833731;8.626705875199999;17.373
91;7.5827877;8.615695409199995;17.562
92;7.5780774;8.600163511399995;17.748
93;7.5755398;8.586954542199997;17.934
94;7.5658767000000005;8.581065398333331;18.122
95;7.5542386;8.57046977459999;18.312
96;7.5377818;8.56279835646666;18.498
97;7.533062;8.551782230266662;18.69
98;7.5256929;8.539969569533335;18.89
99;7.5208438;8.526986129533327;19.085
100;7.5183189;8.516313603000004;19.277
101;7.5183189;8.502676994866663;19.466
102;7.5157443;8.484811275266669;19.653
103;7.5145353;8.479411533666662;19.838
104;7.510228;8.456069361599996;20.026
105;7.5047652;8.453062702266664;20.217
106;7.5013977;8.445985661666661;20.4
107;7.500187;8.43426606519999;20.588
108;7.500187;8.423523272266655;20.783
109;7.4969452;8.42093839186665;20.959
110;7.4921334;8.416001020199989;21.147
111;7.4921334;8.403428296666654;21.332
112;7.4878369;8.392887966333317;21.521
113;7.4878369;8.384433447733324;21.711
114;7.4872481;8.381477501933322;21.896
115;7.4822821;8.378813703533321;22.084
116;7.4800414;8.37650576266664;22.278
117;7.477083299999999;8.351462105733312;22.47
118;7.4765121;8.338828129666647;22.654
119;7.4754469;8.326638132333317;22.843
120;7.4723627;8.322075520999984;23.026
121;7.4641993;8.306797458866653;23.206
122;7.4637071;8.30135170993331;23.387
123;7.4628684;8.304169197266647;23.563
124;7.4627372;8.295317791599977;23.744
125;7.461502;8.279713389199967;23.929
126;7.4603052;8.285272195933313;24.119
127;7.4597502;8.272893133599982;24.306
128;7.4560054;8.28290737666665;24.499000000000002
129;7.4544874;8.269510848666648;24.697
130;7.4543048999999995;8.262289991733315;24.9
131;7.451679599999999;8.265292578266648;25.09
132;7.4513957;8.264150623066639;25.275
133;7.4502115;8.26566355939997;25.459
134;7.4502115;8.25613335426663;25.651
135;7.4498342;8.252895642266632;25.829
136;7.4495781;8.253756817133295;26.012999999999998
137;7.4491491;8.26089200079996;26.205
138;7.4491491;8.24691466886662;26.387999999999998
139;7.448907;8.25095477433329;26.575
140;7.448907;8.249874759133288;26.767
141;7.4487438;8.237697007999952;26.958
142;7.4487438;8.239738581199948;27.145
143;7.4487438;8.238826561199957;27.33
144;7.448669;8.238714839666622;27.512
145;7.4485114999999995;8.239719750733288;27.698
146;7.4483147999999995;8.22818062026662;27.883
147;7.4483147999999995;8.224485117866621;28.078
148;7.4483147999999995;8.225560658799946;28.261
149;7.4483147999999995;8.225004249466615;28.455
150;7.4483147999999995;8.241286675533273;28.652
151;7.4483147999999995;8.238885402266606;28.841
152;7.4483147999999995;8.228946368733268;29.034
153;7.4483147999999995;8.227470038133271;29.233
154;7.4483147999999995;8.232559980066602;29.417
155;7.4483147999999995;8.23210270999994;29.601
156;7.4483147999999995;8.233880211933272;29.789
157;7.4483147999999995;8.231695815066601;29.983999999999998
158;7.4483147999999995;8.2355860480666;30.175
159;7.4483147999999995;8.231785596399938;30.362000000000002
160;7.4483147999999995;8.2275518224666;30.555
161;7.4483147999999995;8.224419204333268;30.752000000000002
162;7.4467569;8.230854666999933;30.947
163;7.4467569;8.233074998733272;31.141
164;7.4467569;8.227990867999935;31.338
165;7.4467569;8.235710863933267;31.527
166;7.4467569;8.229567935666601;31.715
167;7.4467569;8.23511135633327;31.904999999999998
168;7.4467569;8.238837833133271;32.091
169;7.4467569;8.24081931726661;32.283
170;7.4467569;8.229771022199946;32.483
171;7.4467569;8.238385509533288;32.682
172;7.4467569;8.233898109866624;32.877
173;7.4467569;8.247187160466625;33.074
174;7.4467569;8.236927067399957;33.271
175;7.4467569;8.237087490666621;33.471000000000004
176;7.4467569;8.22912535259996;33.672
177;7.4467569;8.236086997799958;33.87
178;7.4467569;8.245882116399962;34.06
179;7.4467569;8.24092693666663;34.261
180;7.4467569;8.235788186599958;34.454
181;7.4467569;8.24085785459996;34.653
182;7.4467569;8.235209489599955;34.857
183;7.4467569;8.23746693073329;35.062
184;7.4467569;8.243113326399959;35.262
185;7.4467569;8.236521670333296;35.469
186;7.4467569;8.226544785199959;35.665
187;7.4464600999999995;8.241015079133296;35.861
188;7.4464600999999995;8.23834237993329;36.056
189;7.4464600999999995;8.236131320533293;36.249
190;7.4464600999999995;8.224535042466623;36.438
191;7.4464600999999995;8.236825432466617;36.625
192;7.4464600999999995;8.22868973273328;36.818
193;7.4464600999999995;8.228723019266605;37.015
194;7.4464600999999995;8.23662362306661;37.204
195;7.4464600999999995;8.234740096666606;37.400999999999996
196;7.4464600999999995;8.235466531399936;37.605000000000004
197;7.4464600999999995;8.227698697799937;37.809
198;7.4464600999999995;8.226629244933267;38.01
199;7.4464600999999995;8.233056340999937;38.207
200;7.4464600999999995;8.231162791266604;38.403
201;7.4464600999999995;8.234152663999941;38.597
202;7.4464600999999995;8.247148325799945;38.793
203;7.4464600999999995;8.249740285799938;38.989
204;7.4464600999999995;8.239701353133269;39.181
205;7.4464600999999995;8.241613451666598;39.376
206;7.4464600999999995;8.242331788999936;39.57
207;7.4464600999999995;8.231688264799937;39.769999999999996
208;7.4464600999999995;8.231192546866605;39.966
209;7.4464600999999995;8.235632140933271;40.17
210;7.4464600999999995;8.228565435266605;40.371
211;7.4464600999999995;8.224879310333272;40.57
212;7.4464600999999995;8.227078969933267;40.775999999999996
213;7.4464600999999995;8.224021705266605;40.981
214;7.4464600999999995;8.234053500466603;41.186
215;7.4464600999999995;8.240315417333273;41.395
216;7.4464600999999995;8.239933157066606;41.616
217;7.4464600999999995;8.233733218933276;41.846000000000004
218;7.4464600999999995;8.226746213933268;42.056
219;7.4464600999999995;8.231576559399937;42.285
220;7.4464600999999995;8.232664341199936;42.514
221;7.4464600999999995;8.233908861466603;42.727000000000004
222;7.4464600999999995;8.230348200399938;42.926
223;7.4464600999999995;8.243863731799939;43.133
224;7.4464600999999995;8.238197025733268;43.334
225;7.4464600999999995;8.240609003933274;43.534
226;7.4464600999999995;8.241194470799936;43.74
227;7.4464600999999995;8.238961179933273;43.946
228;7.4464600999999995;8.232138806266605;44.156
229;7.4464600999999995;8.23896434846661;44.371
230;7.4464600999999995;8.240051906066604;44.593
231;7.4464600999999995;8.239451042466607;44.803
232;7.4464600999999995;8.24167154786661;45.012
233;7.4464600999999995;8.234947236199941;45.217
234;7.4464600999999995;8.232222805866606;45.415
235;7.4464600999999995;8.237601500666607;45.622
236;7.4464600999999995;8.24310627353327;45.818
237;7.4464600999999995;8.236750003066605;46.018
238;7.4464600999999995;8.244995327466606;46.221000000000004
239;7.4464600999999995;8.244067984666605;46.425
240;7.4464600999999995;8.241149920733275;46.629999999999995
241;7.4464600999999995;8.240386061999935;46.835
242;7.4464600999999995;8.240128793066608;47.045
243;7.4464600999999995;8.230214411466601;47.252
244;7.4464600999999995;8.232168120733272;47.461
245;7.4464600999999995;8.225573788466603;47.67
246;7.4464600999999995;8.244326596066607;47.878
247;7.4464600999999995;8.242565691866602;48.084
248;7.4464600999999995;8.238774046599941;48.282000000000004
249;7.4464600999999995;8.242723130533275;48.483
250;7.4464600999999995;8.238397841666604;48.684
251;7.4464600999999995;8.247325264933274;48.893
252;7.4464600999999995;8.246616309733279;49.095
253;7.4464600999999995;8.248133573666601;49.31
254;7.4464600999999995;8.236470001333274;49.528
255;7.4464600999999995;8.238986484999936;49.741
256;7.4464600999999995;8.248503271666605;49.949
257;7.4464600999999995;8.252656433599942;50.171
258;7.4464600999999995;8.24750883846661;50.372
259;7.4464600999999995;8.255503975933276;50.586
260;7.4464600999999995;8.249713753666612;50.784
261;7.4464600999999995;8.24295314199994;50.995
262;7.4464600999999995;8.243376506133275;51.211
263;7.4464600999999995;8.239991275333274;51.418
264;7.4464600999999995;8.233058860866604;51.623
265;7.4464600999999995;8.23632368373327;51.833
266;7.4464600999999995;8.23948955493327;52.047
267;7.4464600999999995;8.240000178199937;52.257
268;7.4464600999999995;8.243585543533273;52.462
269;7.4459818;8.239589947799939;52.679
270;7.4459818;8.242770673066605;52.88
271;7.4459818;8.235997347399937;53.084
272;7.4459818;8.247169314466607;53.286
273;7.4459818;8.243127858799935;53.483
274;7.4459818;8.249095245466606;53.7
275;7.4459818;8.256347522533273;53.913
276;7.4459818;8.254863669599944;54.12
277;7.4459818;8.241424872199941;54.323
278;7.4459818;8.235768486933267;54.536
279;7.4459818;8.236586218133272;54.748
280;7.4459818;8.244676135733272;54.955999999999996
281;7.4459818;8.252634507466608;55.162
282;7.4459818;8.242388544799939;55.369
283;7.4459818;8.249413377799934;55.572
284;7.4439069;8.247475483133273;55.775999999999996
285;7.4439069;8.234739010399935;55.978
286;7.4439069;8.245309893799933;56.193
287;7.4439069;8.247834337666594;56.407
288;7.4439069;8.244573719799924;56.609
289;7.4439069;8.239519453199925;56.806
290;7.4439069;8.235769739399926;57.013
291;7.4439069;8.245057173399928;57.22
292;7.4439069;8.246076425999927;57.439
293;7.4438587;8.247552310733264;57.646
294;7.4437619999999995;8.249531021999935;57.862
295;7.4437619999999995;8.240330630866605;58.074
296;7.4435652999999995;8.249163581266602;58.284
297;7.4435652999999995;8.256879222533266;58.497
298;7.4435652999999995;8.242781460333264;58.704
299;7.4435652999999995;8.240875461799934;58.902
300;7.4435652999999995;8.230843003466594;59.105
