Generation;Best;Average;ElapsedSeconds
0;5,528808;6,8474554573333295;0,00
1;5,466505;6,658674373333326;0,37
2;5,466505;6,571701849333335;0,63
3;5,466505;6,51106333733334;0,82
4;5,378595;6,440648328666666;1,00
5;5,31942;6,4036614913333345;1,18
6;5,31942;6,3723535986666695;1,35
7;5,31942;6,33607880933333;1,51
8;5,31942;6,333100850666662;1,67
9;5,286698;6,303015255333337;1,84
10;5,286698;6,271279984000003;2,01
11;5,231794;6,2575279053333315;2,18
12;5,231794;6,225981393333334;2,35
13;5,231794;6,189043211333324;2,53
14;5,231794;6,17773705666666;2,69
15;5,231794;6,138314351333335;2,85
16;5,201874;6,142127825333331;3,01
17;5,201874;6,099926596666664;3,19
18;5,201874;6,076642172000002;3,35
19;5,201874;6,057510465333334;3,53
20;5,201874;6,01152877533333;3,70
21;5,201874;5,999032076666652;3,89
22;5,201874;5,98766900866667;4,07
23;5,16481;5,97639878799999;4,25
24;5,127104;5,959356797999992;4,43
25;5,127104;5,97167195066666;4,59
26;5,127104;5,956015239333314;4,75
27;5,1113669999999995;5,942495159333335;4,91
28;5,1113669999999995;5,932181104000001;5,08
29;5,1113669999999995;5,935742095333333;5,26
30;5,1113669999999995;5,926985853999999;5,43
31;5,1113669999999995;5,903014816;5,61
32;5,1113669999999995;5,9053761140000045;5,80
33;5,1113669999999995;5,93432176866666;5,97
34;5,1113669999999995;5,886269440000002;6,14
35;5,1113669999999995;5,884403147999998;6,28
36;5,1113669999999995;5,867796914666659;6,45
37;5,1113669999999995;5,858563277333338;6,62
38;5,068039;5,867343050666673;6,79
39;5,068039;5,84561493533333;6,97
40;5,068039;5,852785802666675;7,15
41;5,068039;5,8345770946666695;7,32
42;5,028655;5,836507561333337;7,49
43;5,028655;5,843543157999994;7,67
44;5,028655;5,801780656666666;7,84
45;5,028655;5,80397500866666;8,01
46;5,013376;5,810861273333325;8,16
47;5,013376;5,797904736666664;8,33
48;5,013376;5,796550758666665;8,50
49;4,90778;5,799671719333334;8,67
50;4,90778;5,782014640000007;8,84
51;4,90778;5,771787790000009;9,03
52;4,90778;5,777702520000005;9,21
53;4,889045;5,7695123780000035;9,38
54;4,889045;5,760866270000018;9,52
