Generation;AverageBest;AverageAverage;AverageTime
0;22.7517146;25.262225100866665;0.002
1;22.6661482;24.95967238666671;3.295
2;22.5557953;24.820556835355568;6.598
3;22.463182800000002;24.70878280324445;9.764
4;22.4051579;24.619490288688883;12.945
5;22.324239;24.55658166593334;16.080000000000002
6;22.1914259;24.489732908622223;19.264
7;22.1864432;24.428684148044443;22.468
8;22.1844541;24.370460393688855;25.705
9;22.1194448;24.30897263984444;28.980999999999998
10;22.0569069;24.247526294555566;32.254
11;21.97815;24.196567766977772;35.52
12;21.836706500000002;24.140261971022255;38.782
13;21.789321700000002;24.07950378593332;42.153
14;21.7325727;24.037090441288868;45.414
15;21.7294667;23.9837042268;48.754999999999995
16;21.6548245;23.93948185662222;52.156
17;21.5914286;23.893591214800022;55.567
18;21.5709781;23.854184974822203;58.989
19;21.5605392;23.812405171955547;62.417
20;21.5394547;23.76834137371108;65.941
21;21.532172;23.730525349444438;69.5
22;21.5250324;23.68895569828889;73.072
23;21.490924800000002;23.64661965595557;76.795
24;21.4547358;23.615957851155542;80.45
25;21.4092241;23.56541606002219;84.078
26;21.3625892;23.518370799711107;87.639
27;21.297028;23.489652474511107;91.444
28;21.2636855;23.44575901437776;95.102
29;21.1468327;23.410197269022262;98.752
30;21.1433932;23.371155209999984;102.476
31;21.1433932;23.34334838757778;106.121
32;21.1247637;23.29947021806668;109.801
33;21.117318;23.261156817400014;113.394
34;21.0425858;23.229437220488894;116.959
35;21.0425858;23.19142847162222;120.71000000000001
36;21.0042277;23.166335683022215;124.455
37;20.985515200000002;23.133983862244435;128.051
38;20.9737844;23.10301318373335;131.891
39;20.9620139;23.071947577777763;135.711
40;20.9239404;23.04363991224442;139.554
41;20.8545992;23.021431818933323;143.394
42;20.8437936;22.99123219886667;147.175
43;20.802143100000002;22.96529547215553;150.989
44;20.7880079;22.92972725946668;154.825
45;20.779784;22.906203174511113;158.671
46;20.774318100000002;22.885899725355554;162.544
47;20.7677153;22.864346174400016;166.528
48;20.7051607;22.835869030355532;170.392
49;20.6839399;22.817425528977772;174.289
50;20.656611;22.78743929528887;178.10500000000002
51;20.6524362;22.771610429999974;181.92
52;20.6020953;22.746917912644406;185.744
53;20.5728796;22.728357469311117;189.637
54;20.5702546;22.71102200937777;193.385
55;20.5501442;22.687696675088898;197.239
56;20.533482499999998;22.677059707466675;201.224
57;20.5331056;22.65358153535556;205.255
58;20.4995426;22.64234655622222;209.207
59;20.4946561;22.62070084353335;213.075
60;20.4778111;22.613362606777788;216.96699999999998
61;20.4654055;22.594434010777785;221.0
62;20.4647717;22.572328513155554;225.04
63;20.4444449;22.557903865577785;229.054
64;20.4420309;22.5475926960889;233.29399999999998
65;20.4368232;22.534321318488892;237.357
66;20.4169718;22.516532403177816;241.537
67;20.4169718;22.507284833777778;245.789
68;20.4169718;22.48723844082222;250.108
69;20.4165363;22.477807690288895;254.396
70;20.404978200000002;22.466179624155536;258.634
71;20.3898178;22.458020820022224;262.913
72;20.3898178;22.439937216999997;267.236
73;20.3842295;22.42409214411111;271.486
74;20.3744848;22.409834951488886;275.838
75;20.3734705;22.393113456022224;280.252
76;20.365561200000002;22.383031405733323;284.479
77;20.334721299999998;22.36831197148892;288.819
78;20.334721299999998;22.358660569733345;293.238
79;20.3250961;22.343945365977802;297.653
80;20.3191521;22.337884653933344;302.12
81;20.3158693;22.32753463131113;306.772
82;20.3127789;22.317956059155577;311.31
83;20.3127789;22.300671353800013;316.026
84;20.2963075;22.294694770955555;320.529
85;20.2850821;22.28058643522224;325.142
86;20.2698511;22.270576697266684;329.808
87;20.2645879;22.257795887022198;334.468
88;20.2482002;22.246943176644443;339.176
89;20.238681200000002;22.236283230711102;343.831
90;20.2348244;22.230212989622224;348.653
91;20.2296142;22.214994284044465;353.199
92;20.2111111;22.205283232622218;358.02
93;20.2111111;22.19980748544446;362.914
94;20.2033211;22.187256393933318;367.715
95;20.2033211;22.173576692377782;372.578
96;20.1971128;22.163713441044486;377.342
97;20.1667431;22.156418368066674;381.891
98;20.1628444;22.149635118733347;386.636
99;20.1508494;22.138676090466678;391.546
100;20.1211203;22.13210597199999;396.135
101;20.1166599;22.122354443044458;400.804
102;20.1028601;22.116473657822233;405.544
103;20.0813748;22.10691221997779;410.439
104;20.0813748;22.101345412488904;415.331
105;20.0813748;22.088390598400018;420.057
106;20.0749818;22.086013974422244;425.034
107;20.066959699999998;22.07302813924442;429.787
108;20.066959699999998;22.06681653437777;434.693
109;20.0620597;22.058624708822215;439.777
110;20.0581337;22.053485585088865;444.74199999999996
111;20.051397899999998;22.047184584200007;449.419
112;20.051397899999998;22.036183578444447;454.25600000000003
113;20.0465727;22.031828365311103;459.45
114;20.0454591;22.024811978933347;464.449
115;20.0296079;22.013054086866667;469.445
116;20.0280427;22.004986011466645;474.278
117;20.0031048;21.998019806111085;479.188
118;20.0020911;21.995307363288877;484.257
119;19.9965077;21.987521723222212;489.124
120;19.9958828;21.982586872955558;494.14
121;19.9932123;21.970293318399992;499.1
122;19.9932123;21.974710449533315;504.06399999999996
123;19.9928862;21.959183444377746;509.45099999999996
124;19.9845675;21.95292027502219;514.328
125;19.9813077;21.949527173977753;519.358
126;19.9793539;21.949015070288866;524.3389999999999
127;19.9692973;21.94486300251109;529.322
128;19.9675621;21.931658081155543;534.274
129;19.9649416;21.93654972304441;539.563
130;19.9649416;21.923091466266637;544.796
131;19.9582379;21.91883226868889;549.836
132;19.9270731;21.91349013777777;554.968
133;19.9270731;21.904018344288886;559.989
134;19.9165032;21.899494692466654;565.018
135;19.9142183;21.897084918866685;570.01
136;19.9142183;21.886458320777763;574.97
137;19.9142183;21.88277962633334;579.874
138;19.9068343;21.87877874746666;584.978
139;19.9046821;21.87439282115557;590.115
140;19.9010519;21.87471778162223;595.129
141;19.9010519;21.864310634599995;600.236
142;19.9010519;21.8564459058;605.149
143;19.9010519;21.850000776555554;609.986
144;19.9010519;21.850524422822218;615.04
145;19.8946558;21.83980357355557;620.082
146;19.8895804;21.84384535175556;625.1
147;19.8797358;21.8425048510889;629.941
148;19.8797358;21.837344833155573;634.842
149;19.86089;21.82695123757778;639.846
150;19.8552949;21.82294909008892;644.872
151;19.8552949;21.81655031384446;649.744
152;19.8552949;21.81604663084446;654.635
153;19.8396419;21.809469536311113;659.597
154;19.8345639;21.808537517333342;664.3720000000001
155;19.8345639;21.798600677955555;669.255
156;19.8300016;21.79964259033334;674.006
157;19.8300016;21.7907560422889;678.707
158;19.8157079;21.788745715022245;683.587
159;19.8157079;21.781913904044455;688.508
160;19.791249999999998;21.7732643356;693.481
161;19.7861947;21.77033746382224;698.518
162;19.7861947;21.769118385088884;703.508
163;19.7861947;21.769658145866707;708.511
164;19.7861947;21.760452817577796;713.417
165;19.7861947;21.752860348444464;718.146
166;19.7861947;21.75825308480002;722.944
167;19.760087;21.743077174044448;727.879
168;19.760087;21.743923625622227;732.779
169;19.7473165;21.736475085244454;737.389
170;19.7456505;21.73172686253333;742.1320000000001
171;19.745625;21.726765311844467;746.875
172;19.745625;21.72764227891112;751.637
173;19.745625;21.726120252111116;756.356
174;19.7223079;21.72647919495557;761.114
175;19.7223079;21.717686780955567;765.7959999999999
