Generation;Best;Average;ElapsedSeconds
0;10,424507;12,075533161000001;0,00
1;10,318301;11,862559555999967;1,02
2;10,272918;11,758601520666673;2,07
3;10,107501;11,665618575333339;3,06
4;9,741662;11,599752352999953;3,99
5;9,741662;11,537521777333303;4,97
6;9,741662;11,482546270666639;5,94
7;9,741662;11,444660918666676;6,86
8;9,741662;11,397273363666665;7,81
9;9,741662;11,37617591766666;8,75
10;9,653547;11,32202467233332;9,74
11;9,589498;11,273348400999996;10,74
12;9,589498;11,241140873000004;11,71
13;9,487309;11,182996597999995;12,72
14;9,487309;11,147921315333297;13,69
15;9,487309;11,109526499333324;14,72
16;9,487309;11,056021100666678;15,73
17;9,487309;11,0050978413333;16,71
18;9,487309;10,949663088666652;17,85
19;9,487309;10,90239908266667;18,95
20;9,487309;10,85632391166665;20,00
21;9,432864;10,796603355333348;21,06
22;9,431303;10,753995820999998;22,25
23;9,238846;10,716317177333345;23,77
24;9,238846;10,69239472266666;25,01
25;9,238846;10,671778467000015;26,11
26;9,238846;10,622899181999996;27,32
27;9,238846;10,623755118999991;28,54
28;9,238846;10,59919927399999;29,63
29;9,238846;10,575551266333328;30,77
30;9,238846;10,558189227333346;31,90
31;9,212491;10,548491919999988;33,08
32;9,212491;10,518129210666665;34,19
33;9,212491;10,499214201000019;35,43
34;9,144101;10,485935584000014;36,55
35;9,03509;10,468717922333324;37,62
36;9,03509;10,452376015999997;38,72
37;9,03509;10,42906287333334;39,89
38;9,03509;10,415296373000023;40,99
39;9,03509;10,393927689666695;42,17
40;9,03509;10,377454153666672;43,27
41;9,03509;10,355992618999991;44,37
42;9,03509;10,360137027666678;45,51
43;9,03509;10,341608678333357;46,66
44;9,03509;10,309822851000003;47,82
45;8,852684;10,299694795333322;48,96
46;8,852684;10,279175023000008;50,00
47;8,852684;10,283463615666687;51,27
48;8,852684;10,272734784666683;52,54
49;8,852684;10,272755565666678;53,67
50;8,852684;10,252365021666662;54,80
51;8,852684;10,232526553000028;56,15
52;8,852684;10,230103068333316;57,47
53;8,852684;10,223770887333346;58,65
54;8,852684;10,211071011000001;60,13
55;8,852684;10,187641526666683;61,30
56;8,84932;10,186023626666671;62,56
57;8,84932;10,172001940666675;63,86
58;8,829711;10,163270412666657;65,03
59;8,829711;10,146071469666678;66,23
60;8,829711;10,146299795666677;67,56
61;8,823592;10,136087437000008;68,76
62;8,823592;10,126246530999985;70,04
63;8,823592;10,127216781666673;71,34
64;8,789757;10,11359959600001;72,61
65;8,77318;10,094974282333315;73,82
66;8,77318;10,079978501333343;74,98
67;8,747871;10,07932367433334;76,31
68;8,747871;10,082032232666679;77,60
69;8,747871;10,07116393200001;78,87
70;8,747871;10,061828655333333;80,06
71;8,747871;10,073506985000014;81,23
72;8,747871;10,064728952000005;82,48
73;8,747871;10,062620285000033;83,74
74;8,747871;10,057092102000004;84,97
75;8,747871;10,05055717266667;86,14
76;8,747871;10,06884017066668;87,42
77;8,747871;10,043487856333357;88,62
78;8,739829;10,066477962000015;89,89
79;8,739829;10,033297305333358;91,04
80;8,739829;10,027518817333311;92,14
81;8,739829;10,032362551666672;93,39
82;8,739829;10,027571373;94,71
83;8,739829;10,02142411766665;95,87
84;8,739829;10,01797747166666;97,01
85;8,739829;10,020626777666662;98,21
86;8,739829;10,012528059999992;99,39
87;8,739829;9,990917934999981;100,78
88;8,739829;10,002285280333346;101,95
89;8,724607;10,004324254000004;103,13
90;8,724607;9,992801753000007;104,30
91;8,724607;10,004420017666668;105,59
92;8,724607;9,988815369;106,94
93;8,679712;9,981210193333315;108,28
94;8,679712;9,983856451999992;109,55
95;8,679712;9,991584627000018;110,79
96;8,679712;9,98415978900001;111,94
97;8,679712;9,969252686666643;113,15
98;8,679712;9,96434062766665;114,46
99;8,679712;9,958751700666673;116,05
100;8,679712;9,964362860333333;117,47
101;8,679712;9,952125341333327;118,83
102;8,679712;9,974376058666655;120,19
103;8,679712;9,973854277333306;121,46
104;8,679712;9,961984904666666;122,70
105;8,679712;9,958548355333319;123,95
106;8,679712;9,953824967000006;125,22
107;8,679712;9,938150820666657;126,42
108;8,645875;9,931932153999998;127,60
109;8,645875;9,930435834666675;128,75
110;8,645875;9,90997840866667;129,99
111;8,645875;9,93716256166669;131,17
112;8,645875;9,954531581666672;132,38
113;8,645875;9,931774131666659;133,67
114;8,645875;9,951100018666654;134,85
115;8,645875;9,93607212566666;136,03
116;8,645875;9,927698367666673;137,31
117;8,645875;9,932506365666669;138,54
118;8,645875;9,920309257999994;139,75
119;8,645875;9,905257346666657;140,96
120;8,645875;9,911486933666675;142,16
121;8,645875;9,901796466333323;143,33
122;8,645875;9,923337482333324;144,58
123;8,645875;9,898856346666658;145,79
124;8,645875;9,900917366999991;147,01
125;8,645875;9,913798333999994;148,22
126;8,63143;9,923246158999984;149,50
127;8,63143;9,902333740666656;150,72
128;8,63143;9,901957511333336;152,02
129;8,63143;9,919428187666664;153,29
130;8,63143;9,900817929;154,57
131;8,63143;9,893887700333345;155,87
132;8,63143;9,897518046666658;157,18
133;8,63143;9,875257029666649;158,53
134;8,63143;9,883513451333316;159,87
135;8,63143;9,86908843566667;161,22
136;8,63143;9,885131758000004;162,58
137;8,63143;9,882262676333328;163,91
138;8,629463;9,858850060666667;165,27
139;8,629463;9,858297196666665;166,70
140;8,629463;9,873821379999987;168,03
141;8,629463;9,88339065599999;169,45
142;8,622082;9,86993311933331;170,88
143;8,58114;9,857785259999996;172,28
144;8,58114;9,861503235333327;173,78
145;8,58114;9,856268153333346;175,25
146;8,58114;9,846135884333348;176,73
147;8,58114;9,840390535666637;178,23
148;8,58114;9,848813765666675;179,69
149;8,58114;9,844851915999984;181,12
150;8,58114;9,838594429999981;182,54
151;8,58114;9,85208536499999;184,02
152;8,58114;9,841590396000003;185,49
153;8,58114;9,828687272000002;186,99
154;8,58114;9,836004624666648;188,48
155;8,58114;9,825959474333315;189,96
156;8,58114;9,828962290333338;191,44
157;8,58114;9,822240448666637;192,92
158;8,58114;9,81912976866665;194,40
159;8,58114;9,815172519333329;196,07
160;8,559963;9,824726438999985;197,59
161;8,559963;9,808695747333337;199,03
162;8,559963;9,786328942666687;200,48
163;8,559963;9,795333399999981;201,97
