Generation;Best;Average;ElapsedSeconds
0;20,410185;22,311344663333283;0,01
1;20,273268;22,044565483777706;3,48
2;20,106551;21,920674370888854;6,90
3;19,557762;21,82556467199998;10,29
4;19,367268;21,752102496666712;13,53
5;19,367268;21,674802173555626;16,63
6;19,367268;21,60253013533334;20,45
7;19,367268;21,551158434444453;23,95
8;19,210999;21,511113058222154;27,13
9;19,210999;21,4573877657778;30,30
10;19,210999;21,412729752666685;34,15
11;19,210999;21,357511874000018;37,45
12;19,210999;21,306077311555566;40,84
13;19,210999;21,26154766955566;44,31
14;19,210999;21,222971284888885;47,58
15;19,210999;21,174578723111104;50,83
16;19,210999;21,1450393744444;54,18
17;19,210999;21,089657732222253;57,52
18;19,210999;21,028897423777796;60,61
19;19,210999;20,9861971328889;64,03
20;19,210999;20,947362412444377;67,41
21;19,068522;20,934153159999966;70,79
22;18,748023;20,872789682000068;74,00
23;18,701099;20,858283599333326;77,34
24;18,701099;20,82020661999995;80,65
25;18,701099;20,801698645333254;83,96
26;18,701099;20,761465239111097;87,20
27;18,701099;20,727649749999998;90,66
28;18,687243;20,70022428533334;94,33
29;18,687243;20,676283235999943;98,12
30;18,572025;20,624786155333318;102,03
31;18,522941;20,597958085333367;105,75
32;18,522941;20,55402355088886;109,61
33;18,522941;20,53845958177785;113,09
34;18,507441;20,510633357333408;116,85
35;18,507441;20,498561567777763;120,61
36;18,507441;20,451010389777785;124,23
37;18,310806;20,41590066022229;128,09
38;18,310806;20,40706787222222;131,63
39;18,274978;20,361084059111157;135,27
40;18,274978;20,324948413111112;138,90
41;18,274978;20,318471812666722;142,42
42;18,274978;20,298178280888994;146,26
43;18,274978;20,257829753999967;150,11
44;18,24387;20,23147432688896;153,73
45;18,24387;20,193520338444426;157,57
46;18,24387;20,16104782355553;161,41
47;18,24387;20,126006958888937;165,25
48;18,24387;20,100707046444477;169,14
49;18,24387;20,08788604111107;172,81
50;18,24387;20,063300699777834;176,66
51;18,231707;20,039626247999994;180,53
52;18,231707;20,012646319555518;184,28
53;18,231707;20,00122693622218;188,23
54;18,231707;19,97737807644439;192,04
55;18,198895;19,960065947555588;195,73
56;18,198895;19,95195240644443;199,62
57;18,198895;19,924671423777788;203,44
58;18,198895;19,91262104244447;207,17
59;18,198895;19,88558264488893;211,52
60;18,198895;19,870831036666683;215,78
61;18,198895;19,869043431111177;220,03
62;18,198895;19,858010591555637;224,50
63;17,857696;19,85737816377775;228,61
64;17,857696;19,83533106733337;232,52
65;17,857696;19,8415027108889;236,71
66;17,857696;19,80711201133335;240,58
67;17,857696;19,799774758000023;244,75
68;17,857696;19,80917666377775;248,77
69;17,857696;19,789734863777767;252,66
70;17,857696;19,779253877111117;256,63
71;17,857696;19,767410162222234;260,65
72;17,857696;19,74607621644446;264,59
73;17,839989;19,75698687333332;269,38
74;17,839989;19,72757828111109;274,29
75;17,74759;19,71719151733338;280,05
76;17,74759;19,721514528000096;285,02
77;17,74759;19,705005243333353;289,92
78;17,74759;19,669951444222225;293,88
79;17,74759;19,68040559777784;298,46
80;17,74759;19,666948952888937;302,77
81;17,74759;19,652765339333417;306,92
82;17,74759;19,658358774000032;310,97
83;17,665572;19,652612738666722;315,11
84;17,665572;19,645007451111123;319,30
85;17,665572;19,623030227333338;323,14
86;17,665572;19,630443848444486;326,91
87;17,665572;19,61123603755558;330,60
88;17,665572;19,609645234444464;334,46
89;17,665572;19,590871750000048;338,33
90;17,665572;19,592545273777823;342,16
91;17,665572;19,606109844888877;346,15
92;17,665572;19,58620335044444;350,53
93;17,665572;19,580344636444504;355,56
94;17,665572;19,574421525555614;360,70
95;17,665572;19,566206903555546;364,55
96;17,665572;19,564917115777828;368,40
97;17,665572;19,552113762444502;372,44
98;17,598336;19,53502376288889;376,50
99;17,598336;19,538651314666694;380,84
100;17,598336;19,542632170222216;384,88
101;17,598336;19,52065653311113;388,76
102;17,598336;19,521277143555558;392,71
103;17,598336;19,53658130644447;396,64
104;17,553798;19,51634215777782;400,26
105;17,553798;19,501110896444537;404,23
106;17,553798;19,490247153555586;408,31
107;17,553798;19,4909594555556;412,12
108;17,553798;19,504052320666677;416,21
109;17,553798;19,47963731155562;420,45
110;17,553798;19,490510625111124;424,36
111;17,553798;19,470472213333398;428,44
112;17,553798;19,467599891111107;432,54
113;17,553798;19,46462552866675;436,41
114;17,553798;19,46140215777782;440,44
115;17,553798;19,458430508222268;444,68
116;17,553798;19,453037798666728;448,61
117;17,553798;19,45290527666675;452,61
118;17,553798;19,458264747999998;456,69
119;17,553798;19,442320297111205;460,53
120;17,553798;19,42228074200007;464,64
121;17,553798;19,43187460044444;468,73
122;17,553798;19,43241174955555;472,57
123;17,553798;19,445215708444522;476,70
124;17,553798;19,427445014000096;480,80
125;17,553798;19,42083335488899;484,64
126;17,553798;19,409449982888997;488,75
127;17,553798;19,41379899488899;492,81
128;17,553798;19,411272418444593;496,71
129;17,553798;19,405844492889013;500,72
130;17,553798;19,414291689555654;504,72
131;17,553798;19,39959299600012;508,55
132;17,553798;19,406995152444523;512,53
133;17,553798;19,382294620666777;516,62
134;17,553798;19,386769600000125;520,51
135;17,553798;19,387727335333416;524,45
136;17,553798;19,379997289555604;528,45
137;17,553798;19,38246934066666;532,62
138;17,553798;19,37937591377785;537,25
139;17,553798;19,36601588866665;541,24
140;17,553798;19,354006349777798;545,11
141;17,553798;19,354041012222254;549,13
142;17,553798;19,359075814666678;553,11
143;17,553798;19,3595419791111;556,90
144;17,543289;19,344558255111153;560,87
145;17,543289;19,333360501555582;565,11
146;17,493612;19,30865724244447;569,12
