Generation;AverageBest;AverageAverage;AverageTime
0;4.740857;5.940152719333336;0.0
1;4.7073325;5.739554183666667;0.40900000000000003
2;4.6535052;5.650938620133338;0.681
3;4.5978784;5.586300587;0.896
4;4.5657325;5.543589726533333;1.094
5;4.5307137;5.491386587800003;1.283
6;4.5104026;5.453369249133333;1.456
7;4.480544;5.410971888733329;1.634
8;4.4425745;5.376051220066662;1.803
9;4.438468;5.348607684266665;1.981
10;4.4014858;5.3076419104;2.156
11;4.3618544;5.277264202999999;2.326
12;4.3474945;5.249108076199996;2.503
13;4.3223938;5.2126846415333326;2.678
14;4.3040107;5.184205977933335;2.855
15;4.2823179;5.155608328666667;3.026
16;4.277184;5.137960511466667;3.198
17;4.2471136000000005;5.121995384933334;3.368
18;4.2408928;5.096388118866662;3.537
19;4.2377547;5.081184649933329;3.717
20;4.232442;5.0635684454000005;3.895
21;4.2238045;5.048085242066668;4.073
22;4.2223655;5.041894553133334;4.248
23;4.2207596;5.023651536533332;4.419
24;4.216972;5.012943378799998;4.592
25;4.191641;5.000715203733333;4.766
26;4.191641;4.994467339933334;4.93
27;4.1874764;4.986895402400001;5.096
28;4.1798302000000005;4.977007985333332;5.266
29;4.1704358;4.959418176399997;5.442
30;4.1698421;4.951073089199999;5.614
31;4.1638584000000005;4.950142860533334;5.787
32;4.1578872;4.931540858266666;5.956
33;4.1468596;4.927936306133334;6.123
34;4.1468596;4.915080580333335;6.297
35;4.1468596;4.901377742866665;6.46
36;4.1411856;4.891091069399997;6.633
37;4.139262;4.885330691266665;6.813
38;4.1380425;4.8742957812000025;6.997
39;4.1359886;4.864032331799996;7.187
40;4.1334691;4.859062201466667;7.375
41;4.1263172;4.842397727733335;7.552
42;4.1187721;4.839726982199998;7.734
43;4.1098698;4.828040631333333;7.913
44;4.1086449;4.819776707;8.087
45;4.1079355;4.8160240464;8.261
46;4.1078938;4.810708548666669;8.429
47;4.1028032;4.795181830400003;8.605
48;4.1020708;4.7946622042666664;8.784
49;4.0994962;4.788311844266668;8.96
50;4.0939571;4.778731850533333;9.152000000000001
51;4.0854248;4.772415639600001;9.329
52;4.0795249;4.773100319733329;9.501
53;4.0788818;4.762195235066667;9.678
54;4.0762883;4.758787612466665;9.866
55;4.074111;4.751789805533332;10.059
56;4.0736795;4.74669630033333;10.246
57;4.0734304;4.746487551666664;10.429
58;4.0726811;4.735915501799996;10.616
59;4.0704967;4.731668958333326;10.797
60;4.0690307;4.733580094866665;10.98
61;4.0675324999999996;4.730184757600004;11.161
62;4.0654456;4.722349383866664;11.342
63;4.0646949;4.722912984666665;11.521
64;4.0620189;4.7221332678;11.696
65;4.0599198;4.714444759466667;11.913
66;4.0599193;4.710936149266666;12.109
67;4.0593915;4.705683763333333;12.293
68;4.0593915;4.705279530266666;12.48
69;4.0589485;4.704373187799998;12.67
70;4.0586838;4.699829281399997;12.847
71;4.0563249;4.6931837434;13.036
72;4.0557902;4.693350094800001;13.233
73;4.0550844;4.690039285533332;13.415
74;4.0533594;4.689067593466667;13.596
75;4.0533244999999996;4.677675242333333;13.777
76;4.0524322;4.679087486533332;13.957
77;4.0510474;4.668526323399999;14.14
78;4.0508502;4.665132260799998;14.36
79;4.0506585;4.6703100548666665;14.565999999999999
80;4.0505156;4.670035207333335;14.789
81;4.050396;4.665925297466666;15.038
82;4.0503467;4.655997455533333;15.232
83;4.0502386999999995;4.653112190933334;15.414
84;4.0493274;4.653271155333336;15.606
85;4.0488202;4.655114718733334;15.809
86;4.0487325;4.644419922199999;16.014
87;4.0480213;4.643624447333332;16.21
88;4.048021;4.6292803422;16.396
89;4.047964;4.627724158266669;16.582
90;4.047945;4.62828857066667;16.768
91;4.047787;4.634377010733334;16.95
92;4.0461153;4.630296260399999;17.131
93;4.0461032999999995;4.624078172466661;17.31
94;4.0461028;4.6216096622666605;17.494
95;4.0461028;4.615801161599992;17.672
96;4.0461012;4.614312873933325;17.871
97;4.0461012;4.613814984399993;18.075
98;4.0461001;4.608698753199992;18.264
99;4.0461001;4.610397619399992;18.445
100;4.0460997;4.6124192788666605;18.641
101;4.0460778;4.6042829329333275;18.824
102;4.0455243;4.601536462666657;19.018
103;4.0455243;4.588085197333325;19.21
104;4.0454664;4.591241888333325;19.396
105;4.0453894;4.588366475799993;19.587
106;4.045388;4.581496665133326;19.777
107;4.0453425;4.577937850933327;19.96
108;4.0452238;4.579920153666659;20.148
109;4.0452238;4.57606392306666;20.334
110;4.0452137;4.574541502333326;20.52
111;4.045131;4.575425410333319;20.703
112;4.0449985999999996;4.570866142799987;20.884999999999998
113;4.0449728;4.5730555853333215;21.07
114;4.044939;4.575767152733325;21.253
115;4.0447898;4.568981747599988;21.433
116;4.0447789;4.562396250333323;21.615000000000002
117;4.0446811;4.570863716733323;21.801
118;4.0446811;4.569368979933328;21.985
119;4.0446614;4.564082798133323;22.164
120;4.0446614;4.564546963933328;22.343
121;4.0446614;4.556600089199991;22.527
122;4.0446614;4.55288860946666;22.712
123;4.0446614;4.552370324733329;22.895
124;4.0446614;4.554497355133324;23.079
125;4.0446598;4.550502449266659;23.256999999999998
126;4.0446598;4.550660230599989;23.435
127;4.0446598;4.551063027399993;23.613
128;4.0446598;4.561876453399995;23.794
129;4.0446598;4.562049012666663;23.968
130;4.0446598;4.5534896189999925;24.151
131;4.0446598;4.549491380333326;24.33
132;4.0446598;4.55253667946666;24.517
133;4.0446598;4.55486698686666;24.695
134;4.0446598;4.557980157466661;24.879
135;4.0446598;4.556456305933328;25.063
136;4.0446598;4.550112239333326;25.25
137;4.0446598;4.552496869666661;25.43
138;4.0446168;4.555184925133327;25.616
139;4.0446089;4.560926910733326;25.803
140;4.0446089;4.558550459999993;25.985
141;4.0446089;4.557469958666658;26.166
142;4.0446089;4.555544842733325;26.347
143;4.0446089;4.559303836133324;26.536
144;4.0446089;4.554168897466656;26.736
145;4.0446089;4.554740654733323;26.927
146;4.0446089;4.555656501266654;27.123
147;4.0446089;4.5550087495999865;27.317
148;4.0446089;4.552231274799989;27.508
149;4.0446089;4.557492007733323;27.703
