Generation;AverageBest;AverageAverage;AverageTime
0;9.9269983000;9.9269983000;0.0000000000
1;9.9269983000;9.9269983000;0.0000000000
2;9.9269983000;9.9269983000;0.0000000000
3;9.9269983000;9.9269983000;0.0000000000
4;9.9269983000;9.9269983000;0.0000000000
5;9.9269983000;9.9269983000;0.0000000000
6;9.9269983000;9.9269983000;0.0000000000
7;9.9269983000;9.9269983000;0.0000000000
8;9.9269983000;9.9269983000;0.0000000000
9;9.9269983000;9.9269983000;0.0000000000
10;9.9269983000;9.9269983000;0.0000000000
11;9.9269983000;9.9269983000;0.0000000000
12;9.9269983000;9.9269983000;0.0000000000
13;9.9269983000;9.9269983000;0.0000000000
14;9.9269983000;9.9269983000;0.0000000000
15;9.9269983000;9.9269983000;0.0000000000
16;9.9269983000;9.9269983000;0.0000000000
17;9.9269983000;9.9269983000;0.0000000000
18;9.9269983000;9.9269983000;0.0000000000
19;9.9269983000;9.9269983000;0.0000000000
20;9.9269983000;9.9269983000;0.0000000000
21;9.9269983000;9.9269983000;0.0000000000
22;9.9269983000;9.9269983000;0.0000000000
23;9.9269983000;9.9269983000;0.0000000000
24;9.9269983000;9.9269983000;0.0000000000
25;9.9269983000;9.9269983000;0.0000000000
26;9.9269983000;9.9269983000;0.0000000000
27;9.9269983000;9.9269983000;0.0000000000
28;9.9269983000;9.9269983000;0.0000000000
29;9.9269983000;9.9269983000;0.0000000000
30;9.9269983000;9.9269983000;0.0000000000
31;9.9269983000;9.9269983000;0.0000000000
32;9.9269983000;9.9269983000;0.0000000000
33;9.9269983000;9.9269983000;0.0000000000
34;9.9269983000;9.9269983000;0.0000000000
35;9.9269983000;9.9269983000;0.0000000000
36;9.9269983000;9.9269983000;0.0000000000
37;9.9269983000;9.9269983000;0.0000000000
38;9.9269983000;9.9269983000;0.0000000000
39;9.9269983000;9.9269983000;0.0000000000
40;9.9269983000;9.9269983000;0.0000000000
41;9.9269983000;9.9269983000;0.0000000000
42;9.9269983000;9.9269983000;0.0000000000
43;9.9269983000;9.9269983000;0.0000000000
44;9.9269983000;9.9269983000;0.0000000000
45;9.9269983000;9.9269983000;0.0000000000
46;9.9269983000;9.9269983000;0.0000000000
47;9.9269983000;9.9269983000;0.0000000000
48;9.9269983000;9.9269983000;0.0000000000
