Class;N;AverageBest;AverageAverage;AverageTime
class1;n100;12.4228703000;12.4228703000;0.0000000000
class1;n150;19.0583291000;19.0583291000;0.0000000000
class1;n50;7.3446607000;7.3446607000;0.0000000000
class2;n100;8.3592108000;8.3592108000;0.0000000000
class2;n150;12.0027641000;12.0027641000;0.0000000000
class2;n50;4.8569058000;4.8569058000;0.0000000000
class3;n100;6.7084701000;6.7084701000;0.0000000000
class3;n150;9.9269983000;9.9269983000;0.0000000000
class3;n50;4.0444063000;4.0444063000;0.0000000000
class4;n100;16.4585388000;16.4585388000;0.0000000000
class4;n150;25.2318326000;25.2318326000;0.0000000000
class4;n50;8.4713880000;8.4713880000;0.0000000000
