Generation;AverageBest;AverageAverage;AverageTime
0;5.7037256;6.9009001014666635;0.0
1;5.5638235;6.707617761866664;0.336
2;5.5429648;6.626049907599997;0.599
3;5.5314018;6.5639585895999994;0.7999999999999999
4;5.4625216;6.510830148799994;0.995
5;5.4253274000000005;6.468474559133334;1.18
6;5.4066813;6.420904923133333;1.357
7;5.3573204;6.391109473533334;1.529
8;5.3499361;6.359541208133336;1.698
9;5.341261;6.325187604000002;1.869
10;5.2974367;6.298798772933331;2.044
11;5.2608608;6.266263865733328;2.212
12;5.2547468;6.248075441933333;2.386
13;5.2375050000000005;6.21960577473333;2.555
14;5.2369207;6.197309723133332;2.721
15;5.2356236;6.177312034399997;2.891
16;5.2120587;6.1592680661333326;3.056
17;5.2103123;6.150292492266667;3.223
18;5.2062729;6.1287650198;3.3890000000000002
19;5.2062729;6.111812295200001;3.565
20;5.1915507;6.097569482599996;3.7439999999999998
21;5.1889971;6.07803295753333;3.926
22;5.1682042;6.057100759;4.106
23;5.1635518;6.0486024199333315;4.289
24;5.1486627;6.036939618999998;4.4719999999999995
25;5.1402871;6.021479966066666;4.641
26;5.1395242;6.009471533066663;4.811
27;5.1374327;5.999824245;4.982
28;5.1332791;5.987515087866667;5.151
29;5.1332791;5.9768383255333335;5.328
30;5.1238299;5.970164612466666;5.505
31;5.1217414;5.960255042866665;5.686
32;5.1059394000000005;5.947626654133332;5.869
33;5.0834796;5.9453318658;6.043
34;5.0620743;5.935587350466665;6.2139999999999995
35;5.0542017;5.927506921333331;6.378
36;5.0532688;5.915212868999999;6.549
37;5.0484477;5.909354524400003;6.719
38;5.0384194;5.903369941266666;6.892
39;5.0350280000000005;5.889990356266665;7.068
40;5.0334099;5.886453514466666;7.247
41;5.024569;5.876852554666664;7.422
42;5.0175044;5.863882709866665;7.6
43;5.0129215;5.864847425599999;7.771
44;5.0119101;5.850683561533333;7.943
45;5.0047135;5.842564747933329;8.11
46;4.9974443;5.835279849199994;8.279
47;4.9973935;5.831925779266663;8.453
48;4.9958275;5.82234792293333;8.624
49;4.982173599999999;5.812798283200001;8.798
50;4.982173599999999;5.811053012866666;8.969
51;4.9725063;5.802886461866668;9.146
52;4.9725063;5.79894349913333;9.318
53;4.9678738;5.793935080666666;9.484
54;4.9630085;5.7870637966;9.65
55;4.9583613;5.783023768799998;9.819
56;4.9539724;5.777303427533331;9.985
57;4.9539724;5.770804226599997;10.156
58;4.9536622;5.758276037333327;10.338000000000001
59;4.9483647;5.759730249133334;10.516
60;4.9471272;5.749133397599996;10.692
61;4.9469761;5.737604586533335;10.871
62;4.944317;5.733369237933328;11.046
63;4.9430653;5.720793356599997;11.217
