Generation;AverageBest;AverageAverage;AverageTime
0;8.670439;10.186090244399999;0.0
1;8.5889657;9.986060139399996;0.443
2;8.5885738;9.915452036533328;0.751
3;8.5109821;9.851493099399994;0.977
4;8.4807872;9.79804397819999;1.18
5;8.4622045;9.763160214666662;1.372
6;8.3992333;9.722535853933334;1.569
7;8.3523;9.690267574266665;1.763
8;8.3362554;9.657393911266666;1.952
9;8.3244943;9.631800292200003;2.136
10;8.2836562;9.598860877066667;2.321
11;8.2665773;9.583140636399996;2.505
12;8.2665773;9.562299362200003;2.695
13;8.2140101;9.540744643133335;2.882
14;8.205366;9.509394778466666;3.072
15;8.205366;9.489796778799994;3.251
16;8.2041218;9.47191673973333;3.434
17;8.1974957;9.444978664933336;3.609
18;8.1974957;9.430525343333334;3.787
19;8.1910513;9.40931770506667;3.977
20;8.1740462;9.392911623133335;4.167
21;8.1599982;9.371038254333332;4.366
22;8.146786800000001;9.358358719333333;4.554
23;8.1465224;9.339087191;4.741
24;8.1319247;9.32696318553333;4.931
25;8.1278979;9.3107152108;5.104
26;8.1169796;9.298686538599997;5.281
27;8.1169796;9.288877733200007;5.455
28;8.1169362;9.286702154200004;5.633
29;8.1088529;9.262675390333332;5.813
30;8.0969458;9.256233347466669;6.002
31;8.0969458;9.238937543466665;6.199
32;8.0936988;9.224493980333332;6.39
33;8.0378946;9.213103977933331;6.5809999999999995
34;8.0233884;9.200537874266665;6.759
35;7.985181;9.181211716800002;6.938
36;7.9720987999999995;9.174479383933328;7.111
37;7.971455499999999;9.163094945466662;7.291
38;7.9693812;9.1535439072;7.48
39;7.9039663000000004;9.139757042266666;7.665
40;7.8998543;9.13109861173333;7.849
41;7.8914366000000005;9.118404028000002;8.037
42;7.8914366000000005;9.120266921399999;8.222999999999999
43;7.8913844;9.100385313599999;8.406
44;7.8835405;9.084840195533335;8.589
45;7.8775479;9.06912243173333;8.768
46;7.8699899;9.067063783799997;8.948
47;7.8575047;9.051841242199998;9.127
48;7.8384106;9.040773366533335;9.318999999999999
49;7.8384106;9.022063136066663;9.512
50;7.8286896;9.018206100733329;9.703
51;7.8253483;9.015704560866668;9.887
52;7.8209658;8.99845894953333;10.08
53;7.8080231;9.001703937466662;10.266
54;7.8080231;8.9763235794;10.449
55;7.8053487;8.972788591133332;10.632
56;7.8053487;8.973568565599995;10.827
57;7.8008426;8.959926705199997;11.026
58;7.7880018;8.953118600133331;11.219
59;7.7852167;8.946150719466663;11.458
60;7.7715263;8.938712208466658;11.731
61;7.7570909;8.923854875066663;11.967
62;7.7570909;8.916828588133328;12.191
63;7.755293;8.908763637533335;12.413
64;7.7529654;8.903352886533334;12.649
65;7.748901;8.89028048693333;12.917
66;7.7194366;8.887511396533332;13.168
67;7.7167988;8.872525137533339;13.407
68;7.712029;8.8566648918;13.614
69;7.712029;8.855238863133335;13.859
70;7.7110863;8.834760862066663;14.117
71;7.7110863;8.829700993;14.373
72;7.7042642;8.822309670733334;14.661
73;7.699537100000001;8.814330641333328;14.940999999999999
74;7.687463800000001;8.799339461199997;15.16
75;7.687463800000001;8.793639127266669;15.423
76;7.687463800000001;8.77342731233333;15.654
77;7.687463800000001;8.770705931800002;15.847
78;7.684730200000001;8.769788772066672;16.051000000000002
79;7.6806856;8.762311919;16.321
80;7.6804120000000005;8.753956731533338;16.587
81;7.680079800000001;8.741508984333334;16.883
82;7.6712276;8.734641266266667;17.124000000000002
83;7.6712276;8.72961609286667;17.327
84;7.6654343;8.718109317200007;17.572
85;7.6654343;8.710236343466667;17.847
86;7.6627091;8.705739938533332;18.082
87;7.6429793;8.687304441866667;18.271
88;7.6398164;8.669113817200001;18.455
89;7.629938;8.66023189993333;18.641000000000002
90;7.6279984;8.658913049199999;18.819
91;7.624708;8.652413560266659;19.006
92;7.6210329;8.63448605813333;19.191000000000003
93;7.6210329;8.616734602799992;19.381
94;7.6178574999999995;8.605291747599995;19.568
95;7.613977;8.60028458546666;19.754
96;7.6047503;8.587196772199995;19.939
97;7.6002704;8.581152104733325;20.124
98;7.5963527;8.564605962000003;20.313
99;7.596263;8.556436398000004;20.499
100;7.5926089;8.546148349266675;20.674
101;7.5854038;8.543002319466675;20.848
102;7.5830867;8.54052317066668;21.024
103;7.5795799;8.52574909800001;21.206
