Generation;Best;Average;ElapsedSeconds
0;4,237433;5,396803261333329;0,00
1;4,237433;5,189283923333332;0,30
2;4,171548;5,128526923333335;0,53
3;4,126849;5,073166760000003;0,77
4;4,126849;5,033269864000004;0,98
5;4,126849;4,963937935999995;1,18
6;4,126849;4,921454801333334;1,39
7;4,126849;4,871167582666669;1,57
8;4,043229;4,853231351999995;1,73
9;3,870784;4,8216725866666605;1,90
10;3,823714;4,79523957133333;2,08
11;3,823714;4,76086227466667;2,27
12;3,823714;4,726190105333333;2,46
13;3,823714;4,7124265466666735;2,63
14;3,823714;4,685961203999998;2,80
15;3,8189450000000003;4,692206256666667;2,97
16;3,8189450000000003;4,657580038666671;3,14
17;3,8189450000000003;4,627287980000001;3,30
18;3,7574959999999997;4,60032917133334;3,46
19;3,731457;4,617014157333333;3,64
20;3,731457;4,564599946000006;3,83
21;3,731457;4,539221075333322;4,03
22;3,718604;4,5247342060000015;4,21
23;3,718604;4,544648005333338;4,40
24;3,718604;4,5280022366666755;4,58
25;3,718604;4,514958029333327;4,78
26;3,718604;4,511616918666668;4,97
27;3,706565;4,496681468666666;5,13
28;3,693418;4,489505416666669;5,34
29;3,693418;4,494366559333333;5,52
30;3,693418;4,480927510666672;5,72
31;3,693418;4,459654852666666;5,91
32;3,693418;4,439353071999992;6,09
33;3,693418;4,418586711333332;6,27
34;3,693418;4,4168580646666635;6,44
35;3,693418;4,407034669333336;6,60
36;3,693418;4,401861926666666;6,76
37;3,693418;4,384665007333334;6,95
38;3,692746;4,3794023373333335;7,14
39;3,692746;4,360220969333339;7,33
40;3,692746;4,362858841333333;7,52
41;3,69237;4,350634433333331;7,71
42;3,691944;4,36877060066667;7,89
43;3,691377;4,351739320000003;8,07
44;3,691377;4,325569287333327;8,26
45;3,691377;4,318128966666664;8,44
46;3,691377;4,31903127333333;8,63
47;3,691185;4,3096611760000005;8,83
48;3,691185;4,315323016000001;9,01
49;3,691185;4,307151928;9,18
50;3,691185;4,300002499999997;9,35
51;3,691185;4,3169920773333255;9,53
52;3,691185;4,2920534060000035;9,70
53;3,691185;4,3127534893333355;9,85
54;3,691185;4,308054639333329;10,02
55;3,691185;4,300619769999996;10,22
56;3,691185;4,303320086;10,41
57;3,691185;4,296940176000002;10,59
58;3,691185;4,274098839999998;10,77
59;3,691185;4,266658384666673;10,96
60;3,691185;4,277461063333332;11,14
61;3,691185;4,290972905333338;11,31
62;3,691185;4,277972967333339;11,49
63;3,691185;4,263236925999991;11,67
64;3,691185;4,264542021333331;11,84
65;3,691185;4,265927622666657;12,04
66;3,691185;4,261326190666675;12,22
67;3,691185;4,270897895333333;12,39
68;3,691185;4,25507818666666;12,56
69;3,691177;4,268637406666677;12,73
70;3,691177;4,261861538666661;12,90
71;3,691177;4,255905964000004;13,07
72;3,691177;4,257216255999998;13,21
73;3,691177;4,2610565460000025;13,39
74;3,691177;4,242484185333335;13,57
75;3,691177;4,262271914666662;13,76
76;3,691177;4,257362062666665;13,94
77;3,691177;4,251371569999999;14,13
78;3,691177;4,249541529999997;14,29
79;3,691177;4,25714081666667;14,47
80;3,691177;4,237227079333337;14,64
81;3,691177;4,229139942000002;14,81
82;3,691177;4,2234629199999985;14,99
83;3,691177;4,240815703333334;15,17
84;3,691177;4,238338978000004;15,36
85;3,691177;4,233162547999998;15,55
86;3,691177;4,243942398666672;15,72
87;3,691177;4,238889193999998;15,89
88;3,691177;4,242614573333335;16,05
89;3,691177;4,256979412000003;16,23
90;3,691177;4,234206769999999;16,41
91;3,691177;4,226941506000002;16,57
92;3,691177;4,239520146666664;16,75
93;3,691177;4,240769212666662;16,94
94;3,691177;4,222929011333328;17,13
95;3,691177;4,240970326666671;17,32
96;3,691177;4,229571990666669;17,50
97;3,691177;4,225815010000011;17,66
98;3,691177;4,227308341999993;17,85
99;3,691177;4,214792554;18,03
100;3,691177;4,204868195333329;18,21
101;3,691177;4,221784867333324;18,40
102;3,691177;4,213064716666663;18,58
103;3,691177;4,228822554000004;18,76
104;3,691177;4,210045984666667;18,93
105;3,691177;4,201458201999999;19,11
106;3,691177;4,208582677999996;19,29
107;3,691177;4,18571996466666;19,47
108;3,691177;4,179387851333339;19,65
109;3,691169;4,166044088000001;19,80
110;3,691169;4,173436173333323;19,99
111;3,691169;4,166224848000002;20,17
112;3,691169;4,172712702666669;20,36
113;3,691166;4,171720468000002;20,55
114;3,691166;4,19117142399999;20,72
115;3,691166;4,193078220666662;20,90
116;3,691166;4,168505360666662;21,08
117;3,691166;4,159517321333328;21,26
118;3,691166;4,1463830586666575;21,44
119;3,691166;4,152954594666663;21,63
120;3,691166;4,167528987333339;21,79
121;3,691166;4,144093236666687;21,98
122;3,691166;4,162420692666674;22,17
123;3,691166;4,151740274000028;22,34
124;3,691166;4,150132679333361;22,51
125;3,691166;4,152609467333348;22,69
126;3,691166;4,139261560666691;22,86
127;3,691166;4,149633511333353;23,04
128;3,691166;4,163488058000027;23,19
129;3,691166;4,147187347333349;23,37
130;3,691166;4,1522250100000235;23,56
131;3,691166;4,151591916666689;23,76
132;3,691166;4,157234740000031;23,94
133;3,691166;4,1464150100000365;24,11
134;3,691166;4,163744722666695;24,30
135;3,691166;4,1534354173333545;24,48
136;3,691166;4,137408570666694;24,67
137;3,691166;4,153017968000024;24,85
138;3,691166;4,128727914666697;25,05
139;3,691166;4,137720653333359;25,23
140;3,691166;4,126930376666704;25,44
141;3,691166;4,138099779333367;25,63
142;3,691166;4,1512809633333685;25,83
143;3,691166;4,157982196000029;26,01
144;3,691166;4,150153343333364;26,20
145;3,691166;4,166009337333359;26,40
146;3,691166;4,133284284666695;26,56
147;3,691166;4,136063481333366;26,75
148;3,691166;4,142516364666701;26,94
149;3,691166;4,138272736666689;27,14
150;3,691166;4,141792086000031;27,34
151;3,691166;4,147630327333363;27,54
152;3,691166;4,146574713333356;27,74
153;3,691166;4,148050245333352;27,94
154;3,691166;4,142486630000017;28,14
155;3,691166;4,13316264733335;28,32
156;3,691166;4,1388893020000035;28,50
157;3,691166;4,132273981333322;28,69
158;3,691166;4,144266332666639;28,88
159;3,691166;4,141591919333299;29,06
160;3,691166;4,138201463999964;29,24
161;3,691166;4,128280934666625;29,44
162;3,691166;4,130777074666625;29,63
163;3,691166;4,134200145999957;29,82
164;3,691166;4,133547214666625;29,98
165;3,691166;4,1344054813332916;30,16
166;3,691166;4,146338965999955;30,34
167;3,691166;4,143301382666643;30,52
168;3,691166;4,130090172666641;30,70
169;3,691166;4,141658757333324;30,90
170;3,691166;4,129790701333334;31,09
171;3,691166;4,122802362000006;31,28
172;3,691166;4,130971842000002;31,48
173;3,691166;4,149857759333312;31,67
174;3,691166;4,1320853633332915;31,86
175;3,691166;4,141096189333285;32,08
176;3,691166;4,1522450146666126;32,25
177;3,691166;4,15852759266661;32,44
178;3,691166;4,136515429999947;32,61
179;3,691166;4,151597065333282;32,80
180;3,691166;4,146854881999945;32,99
181;3,691166;4,163061693333285;33,18
182;3,691166;4,168291441333289;33,37
183;3,691166;4,15336170199995;33,57
184;3,691166;4,157418283999949;33,78
185;3,691166;4,160232950666626;33,99
186;3,691166;4,1524543539999526;34,20
187;3,691166;4,165029742666619;34,40
188;3,691166;4,135809667333282;34,61
189;3,691166;4,141225158666613;34,80
190;3,691166;4,143005406666614;34,99
191;3,691166;4,147323613999955;35,18
192;3,691166;4,1493198153332855;35,38
193;3,691166;4,152648618666622;35,58
194;3,691166;4,168335504666626;35,76
195;3,691166;4,138490095333286;35,94
196;3,691166;4,1725360686666155;36,13
197;3,691166;4,148136008666615;36,32
198;3,691166;4,147193835333286;36,50
199;3,691166;4,149504962666617;36,69
200;3,691166;4,16382326666662;36,88
201;3,691166;4,15690160466663;37,07
202;3,691166;4,1561115733332965;37,27
203;3,691166;4,153232811333287;37,44
204;3,691166;4,158257676666624;37,61
205;3,691166;4,147980631999965;37,81
206;3,691166;4,165491517333299;38,02
207;3,691166;4,15470014399996;38,22
