Generation;Best;Average;ElapsedSeconds
0;6,694915;8,288668221333339;0,00
1;6,694915;8,09093024799998;0,44
2;6,694915;8,014279720666652;0,73
3;6,694915;7,970628109999989;0,94
4;6,694915;7,914428668666648;1,13
5;6,686558;7,857156774666664;1,31
6;6,624816;7,7901582739999835;1,51
7;6,546393;7,729517711999998;1,68
8;6,546393;7,700429482666657;1,86
9;6,546393;7,675448344666653;2,02
10;6,546393;7,623240483333327;2,21
11;6,546393;7,590920266666663;2,39
12;6,535579;7,550450861999995;2,57
13;6,535579;7,520979250666672;2,75
14;6,526755;7,539412561333326;2,91
15;6,526755;7,520154657333322;3,07
16;6,526755;7,515280874666668;3,24
17;6,526755;7,5085762006666545;3,41
18;6,49348;7,4690537673333175;3,59
19;6,477104;7,466002815333331;3,77
20;6,462294;7,46597260466667;3,95
21;6,436866;7,45956777400001;4,13
22;6,436866;7,434913725999996;4,30
23;6,436866;7,425804474666669;4,47
24;6,436866;7,399434316;4,63
25;6,41418;7,391099970000002;4,80
26;6,41418;7,3851967866666755;4,95
27;6,41418;7,360173591333334;5,12
28;6,41418;7,33496452200001;5,30
29;6,285614;7,340794193333341;5,49
30;6,285614;7,333893855333326;5,66
31;6,285614;7,30925837266667;5,84
32;6,285614;7,312781423333335;6,01
33;6,285614;7,2928898800000095;6,18
34;6,285614;7,291183634000008;6,36
35;6,285614;7,275540004666657;6,52
36;6,285614;7,27584450199999;6,69
37;6,285614;7,281173692666661;6,87
38;6,285614;7,271361664000002;7,05
39;6,285614;7,246857459333344;7,23
40;6,277181;7,2357418846666635;7,41
41;6,277181;7,215610086666667;7,59
42;6,277181;7,222517715999999;7,73
43;6,277181;7,219200851999987;7,91
44;6,277181;7,213352048000011;8,08
45;6,277181;7,202341401333335;8,26
46;6,277181;7,203436219333329;8,44
47;6,277181;7,1911165940000075;8,62
48;6,277181;7,189162444666682;8,79
49;6,277181;7,178356611333331;8,97
50;6,277181;7,172457930000003;9,14
51;6,277181;7,171596820000018;9,31
52;6,277181;7,180662747333342;9,49
53;6,277181;7,163813227333345;9,66
54;6,277181;7,130490872666675;9,84
55;6,271559;7,157265994666666;10,00
56;6,271559;7,14668524133334;10,17
57;6,271559;7,129230356000007;10,35
58;6,271559;7,120018498666655;10,51
59;6,271559;7,126795390000007;10,69
60;6,271559;7,12032380466667;10,86
61;6,253641;7,125843385333327;11,03
62;6,253641;7,1129386620000155;11,20
63;6,253641;7,080984735333332;11,36
