Class;N;AverageBest_medium_all_heuristics_no_order;AverageBest_medium_all_heuristics_volume;AverageBest_medium_all_heuristics_weight;AverageTime_medium_all_heuristics_no_order;AverageTime_medium_all_heuristics_volume;AverageTime_medium_all_heuristics_weight
class1;n100;12.5689854;12.569890299999999;12.5838451;442.198;438.985;431.627
class1;n150;19.5491999;19.4867585;19.4769956;1364.764;1361.314;1366.542
class1;n50;7.4435652999999995;7.4791173;7.4625651;59.105;64.786;51.605000000000004
class2;n100;8.3763257;8.380494800000001;8.3881171;388.403;406.503;390.176
class2;n150;12.1295351;12.1210874;12.1185238;1266.608;1336.345;1219.309
class2;n50;4.8587663;4.8592044;4.858909;54.89;59.397;56.808
class3;n100;6.7092466;6.7097758;6.7092873;381.157;390.61;378.539
class3;n150;9.9639848;9.9489037;9.9550897;1223.278;1214.533;1190.8319999999999
class3;n50;4.0446044;4.0445561;4.0445595999999995;54.3;59.178;57.641999999999996
class4;n100;16.7035966;16.6469548;16.667231400000002;357.926;406.124;408.248
class4;n150;25.7372611;25.7158758;25.7395024;1331.453;1242.336;1132.876
class4;n50;8.7720419;8.7520454;8.756288999999999;57.829;39.264;38.997
