Generation;Best;Average;ElapsedSeconds
0;13,495443999999999;15,622537726888895;0,00
1;13,456264000000001;15,339577271555514;3,37
2;13,394545;15,229563919555567;6,69
3;13,31648;15,137790803777772;9,87
4;13,31648;15,074921544222239;13,11
5;13,31648;15,004928217777788;16,43
6;13,203716;14,957151175111095;19,66
7;13,203716;14,887380011111123;22,93
8;13,106504;14,830475169999932;26,36
9;13,106504;14,771009290222228;29,79
10;13,106504;14,722980413111111;33,27
11;13,106504;14,662086464666645;36,78
12;13,06318;14,610487532444441;40,28
13;12,616884;14,575353857777786;43,91
14;12,616884;14,518305864444443;47,50
15;12,544862;14,475040704222236;51,06
16;12,544862;14,42599805177777;54,69
17;12,525312;14,370163509999973;58,28
18;12,525312;14,330325500444403;61,91
19;12,509374;14,295928113111106;65,59
20;12,509374;14,267013461333333;69,20
21;12,509374;14,208784484666667;72,86
22;12,402332;14,209201866888927;76,59
23;12,402332;14,170928212222233;80,31
24;12,402332;14,13860477644442;84,03
25;12,402332;14,104129323777775;87,81
26;12,402332;14,055683115999976;91,54
27;12,364611;14,018858215999972;95,27
28;12,364611;13,978410095777727;99,12
29;12,364611;13,917492452444424;102,94
30;12,364611;13,890384800666661;106,73
31;12,293134;13,837699597333355;110,70
32;12,269067;13,805006913111104;114,67
33;12,254793;13,778445224888868;118,51
34;12,254793;13,736255126444433;122,51
35;12,194727;13,730479364222235;126,53
36;12,194727;13,697848402222263;130,38
37;12,194727;13,682816995555537;134,34
38;12,194727;13,654537829777768;138,37
39;12,150512;13,633516643777801;142,31
40;12,134553;13,605449821777786;146,22
41;12,080748;13,584921157111125;150,29
42;12,080748;13,570018156888919;154,41
43;12,080748;13,55994684377777;158,34
44;12,080748;13,542165431999965;162,29
45;12,080748;13,513381554222223;166,32
46;12,080748;13,510096249777776;170,29
47;11,69086;13,483629400222203;174,23
48;11,663084;13,466230195111134;178,27
49;11,663084;13,468818201555539;182,30
50;11,663084;13,464483295333343;186,22
51;11,663084;13,438585009555576;190,18
52;11,663084;13,427735942444434;194,24
53;11,603102;13,402470838444476;198,22
54;11,603102;13,385244050222225;202,08
55;11,603102;13,375221558222238;206,09
56;11,602505;13,364872693777734;210,10
57;11,594136;13,359709011333292;214,03
58;11,594136;13,347229124444457;217,89
59;11,594136;13,333508289999976;221,91
60;11,584902;13,31961421244443;225,93
61;11,584902;13,312125647555554;229,83
62;11,584902;13,3055850191111;233,85
63;11,584902;13,301754537777803;237,99
64;11,584902;13,271707887111116;241,99
65;11,550849;13,27531584111109;245,94
66;11,550849;13,266816566000049;250,05
67;11,550849;13,254706193777768;254,16
68;11,550849;13,238552385111095;258,15
69;11,550849;13,245246715333307;262,23
70;11,550849;13,207184742888881;266,47
71;11,550849;13,20404421133332;270,58
72;11,550849;13,192177052666613;274,64
73;11,550849;13,167976269111087;278,87
74;11,547681;13,16717163311108;283,04
75;11,535438;13,14908026511109;287,12
76;11,529354;13,119827619555508;291,22
77;11,529354;13,107488899111097;295,49
78;11,529354;13,091044828444462;299,76
79;11,523509;13,075519643555578;303,91
80;11,460864;13,063082797999986;308,03
81;11,460864;13,040656512888884;312,35
82;11,460864;13,025233967777778;316,68
83;11,460864;13,026746917777752;320,82
84;11,460864;13,01563252288887;325,01
85;11,370385;12,982211075555549;329,34
86;11,370385;12,974215204444429;333,62
87;11,370385;12,972594378888902;337,80
88;11,370385;12,984372905555553;341,94
89;11,370385;12,970550146666694;346,13
