Generation;AverageBest;AverageAverage;AverageTime
0;8.1099363;9.871831814133351;0.001
1;8.0492723;9.642497701466676;1.1640000000000001
2;8.0156299;9.542524337200009;2.315
3;7.990729;9.44705680466668;3.401
4;7.8953443;9.362646369466674;4.419
5;7.8548812;9.29340459313334;5.416
6;7.7296795000000005;9.215573236500008;6.429
7;7.7184402;9.162817117400012;7.432
8;7.6930751;9.111391019000006;8.486
9;7.6353302;9.05689963446668;9.503
10;7.5679069;9.010751922833336;10.508
11;7.5441306;8.965619949300006;11.524000000000001
12;7.4904543;8.92411360336667;12.54
13;7.4342154;8.883030108833335;13.552
14;7.4289886;8.842011861499996;14.546
15;7.3881008;8.798293918366669;15.549
16;7.3622958;8.766406306433334;16.58
17;7.3557686;8.726505568200006;17.619
18;7.3474253;8.690359221066675;18.672
19;7.3281625;8.655881808200002;19.747
20;7.3229053;8.619996080100004;20.841
21;7.2589159;8.585118919199997;21.914
22;7.2146635;8.552015947933326;23.044
23;7.1329023;8.528381555133334;24.174
24;7.1328393000000005;8.500624539233334;25.289
25;7.1286897;8.4707809277;26.367
26;7.1226795;8.43990179623334;27.433
27;7.1113321;8.4172083313;28.502
28;7.111022;8.388778662633339;29.603
29;7.0965898;8.370378581866676;30.711
30;7.095767;8.350159182066678;31.801
31;7.0833089000000005;8.32819805636667;32.894
32;7.0707278;8.308525934200004;33.986
33;7.0579248;8.294813472633342;35.088
34;7.0403249;8.279342415666676;36.19
35;7.0395043;8.258206459166672;37.314
36;7.0245184;8.241658887733339;38.487
37;7.0154969;8.228561391000008;39.622
38;7.00776;8.20936334330001;40.755
39;7.0013374;8.195690083233337;41.900999999999996
40;6.9934645;8.182900878300003;43.068
41;6.9934645;8.1667188599;44.188
42;6.9901187;8.15477077553334;45.331
43;6.9804799;8.142815081833334;46.472
44;6.9766054;8.128458639933335;47.627
45;6.9752443;8.121194633433333;48.783
46;6.9625147;8.110335132466668;49.951
47;6.9558426;8.098782520433344;51.138
48;6.9474374;8.083440260933338;52.308
49;6.942445;8.079760932533336;53.480999999999995
50;6.9375795;8.068605252733343;54.687
51;6.9303256;8.064663847800004;55.913
52;6.9273641999999995;8.050828668033338;57.108000000000004
53;6.9253014;8.04043289240001;58.306
54;6.9214649999999995;8.033238024066666;59.507
55;6.8915484;8.030395858366667;60.719
56;6.8850927;8.022984190833336;61.916000000000004
57;6.8821887;8.010530580233343;63.127
58;6.8799994;8.000980658066666;64.388
59;6.8692979;7.997003969533339;65.626
60;6.8661909;7.987128243200004;66.866
61;6.8661909;7.97695402323334;68.08
62;6.86548;7.973957342433341;69.30799999999999
63;6.8615003;7.974384945866676;70.561
64;6.8528061000000005;7.959527134966672;71.823
65;6.821176;7.949451416133338;73.099
66;6.8195092;7.94772353293334;74.348
67;6.7766508;7.940485251400004;75.598
68;6.7737367;7.935107695766684;76.855
69;6.7639615;7.92958786150001;78.138
70;6.7630043;7.921454005733343;79.411
71;6.7624351;7.915108809366677;80.706
72;6.7596968;7.910856536333341;81.979
73;6.7311241;7.896076501000006;83.244
74;6.6954851;7.894662544433341;84.5
75;6.6929853999999995;7.888613382133346;85.755
76;6.6888516;7.8783494788666655;87.029
77;6.6874252;7.874433252600004;88.305
78;6.6874252;7.8708111370000005;89.592
79;6.6859732;7.866233706533335;90.872
80;6.6801612;7.860779958400008;92.191
81;6.6735208;7.857013097333335;93.498
82;6.6679984;7.851469424600004;94.809
83;6.6634308;7.845132131666668;96.127
84;6.6272885;7.835134679566676;97.458
85;6.6225858;7.833837394633343;98.877
86;6.6188273;7.832277998733343;100.22200000000001
87;6.6188273;7.826769098900007;101.58
88;6.6151844;7.823844589833343;102.911
89;6.6151844;7.819859765033342;104.266
90;6.6135261;7.812003902533336;105.594
91;6.6135261;7.803041761333338;106.92699999999999
92;6.6110337;7.805139452233335;108.279
93;6.6051755;7.803942389866669;109.639
94;6.6023905;7.792016179666675;110.991
95;6.5992053;7.786167534266669;112.332
96;6.5992053;7.785551418433343;113.662
97;6.5964568;7.780798201800007;115.014
98;6.5929306;7.774623625633343;116.395
99;6.5929306;7.770116984266673;117.761
100;6.5895913;7.764802345166673;119.149
101;6.5871982;7.761916980033334;120.53399999999999
102;6.5854193;7.755399923166678;121.892
103;6.5853505;7.753458470433345;123.241
104;6.5779397;7.751462822166677;124.598
105;6.5766311;7.747908877766677;125.945
106;6.5732858;7.739184425200003;127.32
107;6.5696672;7.7294800300333435;128.687
108;6.5683552;7.725499638066674;130.093
109;6.5683323;7.729363471233342;131.478
110;6.5656956;7.715040800000008;132.836
111;6.562822;7.714532016900001;134.213
112;6.5595216;7.712659380666675;135.559
113;6.5564125;7.7076010287666765;136.924
114;6.5564125;7.701793624366675;138.312
115;6.5521744;7.703734830266674;139.676
116;6.5521744;7.692054075466672;141.066
117;6.5489469;7.696191776500014;142.453
118;6.5460092;7.684740185733337;143.819
119;6.5458981000000005;7.681281474133337;145.186
120;6.5438773;7.679171190600004;146.584
121;6.5432092;7.678348311800008;147.968
122;6.5396459;7.675140573033341;149.363
123;6.5396459;7.673074030266672;150.76500000000001
124;6.5369422;7.666733433466671;152.148
125;6.5367309;7.663945817299999;153.538
126;6.5325583;7.658429612900002;154.911
127;6.5272886;7.661069137466673;156.283
128;6.5257315;7.655502508200007;157.683
129;6.5238329;7.651676131166671;159.078
130;6.5226372999999995;7.642838182666668;160.496
131;6.5226372999999995;7.6440143355;161.898
132;6.5188786;7.64642510533333;163.326
133;6.5155902;7.6356372631;164.74
134;6.513656;7.625332523966663;166.163
135;6.5132096;7.625069349900003;167.573
136;6.5084261;7.615141714499998;168.983
137;6.5040844;7.617431106200003;170.40800000000002
138;6.5031002;7.606942867433329;171.833
139;6.5006615;7.605812452866672;173.28199999999998
140;6.497451;7.606130609833334;174.752
141;6.4938402;7.601112366266669;176.19
142;6.4880174;7.596360464900005;177.619
143;6.4877781;7.593729943566666;179.042
144;6.4872484;7.592300707600003;180.457
145;6.4834914;7.585235302333343;181.888
146;6.4834914;7.589617470333339;183.349
147;6.478553;7.579223243900007;184.81300000000002
148;6.4780829;7.575760598933337;186.303
149;6.4660101;7.56895629726667;187.747
150;6.4641099;7.5714518229333345;189.189
151;6.4616924000000004;7.560855134433336;190.62800000000001
152;6.4537808;7.557767434266673;192.056
153;6.4537808;7.554713390666673;193.495
154;6.4537808;7.5536943665333345;194.95
155;6.4478767;7.553168383133337;196.402
156;6.4478311;7.543982583799993;197.852
157;6.446775;7.540228916933334;199.279
158;6.4418266;7.535269383566667;200.713
159;6.4406094;7.533105883233339;202.126
160;6.4396441;7.523939348633337;203.581
161;6.4380382;7.524477030533342;205.019
162;6.4362829;7.518896072166668;206.452
163;6.4294553;7.520405200200006;207.901
164;6.4263426;7.510985896600002;209.322
165;6.4234685;7.510060685333338;210.747
166;6.4211436;7.506239268633339;212.204
167;6.4171747;7.4995118005000005;213.727
168;6.4162066;7.493238537133341;215.199
169;6.410281400000001;7.486064597566664;216.625
170;6.4086121;7.476843369866669;218.085
171;6.4081534;7.476672812600007;219.535
172;6.4026172;7.47298971516667;220.983
173;6.3983541;7.469362870333332;222.417
174;6.3970902;7.455469256133333;223.846
175;6.3970902;7.46382061606667;225.316
176;6.3947029;7.455832525233338;226.8
177;6.3945307;7.4507272923;228.25400000000002
178;6.3926554;7.440991397733336;229.736
179;6.3897232;7.434394902466665;231.221
180;6.3862603;7.422475026699999;232.683
181;6.3821104;7.4144212262000035;234.167
182;6.3796516;7.408722296300006;235.64600000000002
183;6.3783205;7.407382805500005;237.1
184;6.3730528;7.4066497475;238.567
185;6.3721388;7.398779007033333;240.03
186;6.3720249;7.3924793168;241.492
187;6.3716523;7.390227355399997;242.97899999999998
188;6.3686161;7.387081607600002;244.449
189;6.3669999;7.380479048533339;245.904
190;6.3641964;7.376157821999998;247.338
191;6.3632713;7.376859438933328;248.772
192;6.3578371;7.365665310166665;250.244
193;6.3559622000000005;7.369887674500003;251.68200000000002
194;6.3553206;7.367053713733338;253.108
195;6.3543195;7.358192086166675;254.528
196;6.3319395;7.352786287300005;255.99
197;6.3274195;7.346627947833339;257.428
198;6.325257000000001;7.345584022933334;258.873
199;6.3223915;7.343703965166665;260.328
200;6.3060249;7.335350595833334;261.80400000000003
201;6.3015171;7.333421193700005;263.306
202;6.299556;7.3366795805333425;264.817
203;6.2971328;7.327848367566672;266.262
204;6.296229;7.326384736566668;267.724
205;6.2946522;7.320554439700006;269.159
206;6.2940286;7.31855548986667;270.578
207;6.2905511;7.310084091866672;272.03700000000003
208;6.2900862;7.311222315633338;273.5
209;6.2894137;7.304039480500006;274.971
210;6.2879621;7.298136178333344;276.45799999999997
211;6.2833698;7.296282280633337;277.943
212;6.2809513;7.28564016616668;279.415
213;6.2804381;7.289847748266666;280.915
214;6.2792455;7.282821323666668;282.392
215;6.2769031;7.278058715399999;283.916
216;6.2758237;7.283492995166671;285.38
217;6.2752858;7.2751727969;286.879
218;6.2709966999999995;7.269575234066674;288.372
219;6.2707831;7.267460791533338;289.844
220;6.268193;7.254670927766667;291.314
221;6.2667923;7.259699076533332;292.79
222;6.2637536;7.255951779233336;294.265
223;6.2627917;7.2493992505666665;295.755
224;6.2621727;7.248028166900002;297.22
225;6.2615506;7.246978695199999;298.701
226;6.2371805;7.244728048866669;300.183
227;6.2368525;7.239675733533343;301.673
228;6.2149597;7.243185858533349;303.194
229;6.2139368;7.243435593733342;304.682
230;6.2133239;7.232259456266674;306.15
231;6.212306;7.2369692251000135;307.627
232;6.2117122;7.229580063933331;309.117
233;6.2109733;7.234992023799985;310.584
234;6.2094104;7.232967594966658;312.069
235;6.2092494;7.233119157099982;313.547
236;6.2061805;7.23227403653332;315.08299999999997
237;6.2061781;7.2296564911999885;316.609
238;6.2036214;7.225830759833318;318.163
239;6.2033218;7.228275025599982;319.663
240;6.2032461;7.2225489098999756;321.192
241;6.2017596;7.221165195866629;322.706
242;6.2005709;7.2130823587999675;324.21999999999997
243;6.2005377;7.214225339166634;325.766
244;6.2003618;7.215050703666643;327.3
245;6.2003354;7.216791566333313;328.855
246;6.200303;7.220228859266668;330.40500000000003
247;6.1987051;7.211989126533338;331.918
248;6.198003;7.214229755400008;333.432
249;6.1972156;7.217660316633348;334.948
250;6.197183;7.209167637966676;336.478
251;6.1964283;7.213493720333336;337.996
252;6.1958915;7.209505042366674;339.522
253;6.1958133;7.214313696733347;341.021
254;6.1957744;7.210871623266689;342.581
255;6.1950958;7.205558394633364;344.123
256;6.1945954;7.2053327923333645;345.709
257;6.1940605;7.2028203182333606;347.279
258;6.1937033;7.199464235366689;348.86
259;6.1937033;7.201372006233346;350.406
260;6.1936142;7.196488392566683;351.968
261;6.1936142;7.191979476033359;353.502
262;6.1929745;7.201518923300032;355.051
263;6.1929745;7.197387285066698;356.596
264;6.1924778;7.194625800166699;358.124
265;6.1914064;7.1906524543667025;359.7
266;6.1914064;7.199667090866709;361.3
267;6.1910727;7.206104622100047;362.882
268;6.1890653;7.196895605833379;364.437
269;6.1887075;7.193806060000046;366.027
270;6.1887075;7.188661703866717;367.621
271;6.1887075;7.188127942900051;369.229
272;6.1883573;7.200805231733357;370.79
273;6.184996;7.19261165533335;372.383
274;6.1845765;7.188331537966673;374.031
275;6.1845765;7.183894389499998;375.651
276;6.1845765;7.186095944766669;377.235
277;6.184120500000001;7.181035902600008;378.818
278;6.1839667;7.185713188300022;380.41700000000003
279;6.1831076;7.18272999803335;381.996
280;6.1825943;7.192099341833353;383.552
281;6.1813937;7.189895431466688;385.157
282;6.1811857;7.180940564800029;386.758
283;6.1811857;7.175351929333368;388.415
284;6.1809108;7.176747212633376;390.029
285;6.1801603;7.178867638733377;391.69100000000003
286;6.1796584;7.183514996833369;393.332
287;6.1791497;7.177642601300025;394.93
288;6.1786894;7.175410231100023;396.527
289;6.1777798;7.16239099160002;398.118
290;6.1772772;7.1654354540000185;399.724
291;6.1772772;7.171410916566679;401.334
292;6.1766626;7.164930601;402.993
293;6.1762586;7.164360442566676;404.631
294;6.1756646;7.153327716133336;406.238
295;6.1756646;7.15483986616667;407.824
296;6.1750295;7.16025623856667;409.42
297;6.1748783;7.158237695766661;410.993
298;6.17454;7.159835472866665;412.589
299;6.17421;7.165505385899997;414.207
300;6.17421;7.164210057900001;415.811
