Generation;AverageBest;AverageAverage;AverageTime
0;30.3019281;33.48479319555554;0.0
1;29.8822862;32.98742535857774;4.161
2;29.7781076;32.7576201147333;8.239
3;29.6663073;32.57543587839995;12.24
4;29.526125099999998;32.443751059066635;16.366
5;29.4013872;32.32312686197774;20.338
6;29.0245216;32.23245522624438;24.589
7;28.8926438;32.145920285222225;29.082
8;28.8761831;32.06322251802221;33.269
9;28.817508;31.980253111688857;37.675
10;28.7863611;31.904342346244455;42.277
11;28.6791343;31.822294904666652;46.603
12;28.6643597;31.741528654422204;51.155
13;28.661638500000002;31.674065002688863;55.724000000000004
14;28.6143999;31.604562330044427;60.222
15;28.5746987;31.535403620933295;64.878
16;28.5480282;31.482714705955534;69.431
17;28.5342618;31.422953852644447;74.026
18;28.399463400000002;31.360730566755525;78.769
19;28.2666295;31.292851738555502;83.505
20;28.2622377;31.2369565830444;88.479
21;28.2414091;31.170465367177762;93.194
22;28.2308087;31.11412315086665;98.095
23;28.1019547;31.049285647711127;102.927
24;28.0597831;30.999088040999972;107.311
25;28.000774;30.94190953366666;111.885
26;27.9569313;30.87823966384441;116.516
27;27.8590387;30.830132853666647;121.068
28;27.841579199999998;30.780069472911133;125.785
29;27.7140128;30.71981805219999;130.234
30;27.6275323;30.66973788795554;134.684
31;27.619951399999998;30.618072562533325;139.392
32;27.6138512;30.577920732577738;143.757
33;27.591346;30.5308127511333;148.382
34;27.5658432;30.480707679911117;152.96800000000002
35;27.5396533;30.439747144466665;157.597
36;27.5197862;30.39619773884442;162.116
37;27.5149682;30.35200355737779;166.896
38;27.4528028;30.299488097066682;171.403
39;27.4445929;30.26176904164445;176.086
40;27.429999;30.209931156155516;180.926
41;27.4119172;30.1677040780444;185.503
42;27.3317035;30.13937897093332;190.307
43;27.2787178;30.097903688488874;195.496
44;27.2026292;30.071949480177732;200.292
45;27.1851001;30.039224121355527;205.081
46;27.1590807;30.00505600442216;210.114
47;27.1520877;29.975109631688863;214.973
48;27.0785473;29.93249924302224;219.803
49;27.0645028;29.901659744888917;224.661
50;27.062691;29.86879702902222;229.365
51;27.047902399999998;29.831700474800005;234.352
52;27.0447625;29.793031763222213;239.374
53;26.9298784;29.757648234844467;244.284
54;26.8819405;29.731191438911118;249.286
55;26.8287238;29.706583034866657;254.398
56;26.7730568;29.684443562444415;259.274
57;26.7468978;29.642926485488864;264.279
58;26.6982803;29.61498456426664;269.473
59;26.6918859;29.586988666599982;274.467
60;26.6918859;29.564889136088844;279.588
61;26.626569;29.53302783884442;284.617
62;26.6253532;29.505151950044425;289.641
63;26.6253532;29.480637250022202;294.735
64;26.6091155;29.458156032511074;299.878
65;26.5893772;29.428584245399996;305.015
66;26.5832577;29.404502615222217;310.4
67;26.5580659;29.387119345200002;315.604
68;26.5333835;29.355840174888883;320.76800000000003
69;26.5333835;29.338828343955555;326.095
70;26.5236892;29.324667120155546;331.322
71;26.521403199999998;29.2990058618;336.315
72;26.4780736;29.281950048222193;341.578
73;26.4780736;29.263896673644435;346.747
74;26.4180304;29.24715027175555;351.782
75;26.4080809;29.223110182133297;356.95
76;26.4006161;29.204059037311097;362.062
77;26.3965321;29.175347956955534;367.572
78;26.3634423;29.16389302099997;372.815
79;26.3510986;29.139224322711073;377.841
80;26.3346034;29.114987992022222;382.96999999999997
81;26.2343838;29.094956913244452;388.28
82;26.2245438;29.076677954622244;393.655
83;26.1739254;29.06349022786669;398.808
84;26.1666065;29.03529229415559;403.929
85;26.1026418;29.021905147133374;408.85
86;26.1016325;28.994365881200068;414.218
87;26.0847013;28.978801857133348;419.615
88;26.0798527;28.96029171288894;424.682
89;26.0684622;28.943950615800027;429.91499999999996
90;26.0665771;28.923117259222252;434.967
91;26.0665771;28.89637983391112;440.06600000000003
92;26.0589521;28.87684767597777;445.242
93;26.0568074;28.864964996222216;450.248
94;26.0557747;28.83885183262223;455.32
95;26.0509453;28.823305183866665;460.463
96;26.0476486;28.810864697088867;465.536
97;26.0434219;28.796716576866682;470.548
98;26.0434219;28.78064508264444;475.665
99;26.0431759;28.76463160597775;480.659
100;25.9756629;28.74409437828888;485.493
101;25.975509;28.735171816355546;490.542
102;25.9263526;28.7193247072222;495.411
103;25.8953099;28.71194179746667;500.353
104;25.8953099;28.699455212133323;505.35699999999997
105;25.8820396;28.679068010177783;510.373
106;25.8618914;28.670547281866664;515.183
107;25.8435704;28.659396720222215;520.214
108;25.843015;28.640182548333307;525.191
109;25.8337875;28.620370851733345;530.203
110;25.8337875;28.617541972111116;535.079
111;25.8337875;28.599477711399988;539.894
112;25.8174168;28.575330312777766;544.925
113;25.8089946;28.576539853644427;549.841
114;25.7691443;28.56142009262221;554.657
115;25.766643300000002;28.54138180664442;559.5029999999999
116;25.766643300000002;28.532787557222225;564.555
117;25.7660114;28.519022563199986;569.3969999999999
118;25.7660114;28.50098210908889;574.232
119;25.7660114;28.5012382642889;579.083
120;25.757867700000002;28.48802404671112;584.037
121;25.7331619;28.471343847511125;588.883
122;25.7321301;28.46143962855558;593.893
123;25.7188229;28.446572857533354;598.742
124;25.7124832;28.438823716733392;603.815
125;25.705431400000002;28.435269438266726;608.78
126;25.6511566;28.41253837088898;613.876
127;25.6511566;28.409177306422336;618.904
128;25.6461833;28.39202086931122;624.297
129;25.6461833;28.386188272000126;629.492
130;25.6461833;28.37581464688904;634.693
131;25.6379747;28.368383067644572;639.678
132;25.6210543;28.364075748089036;644.6700000000001
133;25.6210543;28.346113446111268;649.814
134;25.6156794;28.344074657177917;654.885
135;25.6156794;28.336675092311285;659.802
136;25.6156794;28.32316644093347;664.99
137;25.6156794;28.314721485422368;670.094
138;25.5945603;28.309019499466807;675.227
139;25.5846505;28.30129552684462;680.362
140;25.5846505;28.29857824697794;685.267
141;25.5827496;28.285570608777928;690.297
142;25.577766099999998;28.284114182777923;695.294
143;25.577766099999998;28.273693850866817;700.341
144;25.577766099999998;28.26705256560015;705.329
145;25.5762231;28.256622864133476;710.392
146;25.5676695;28.258188438489046;715.484
147;25.5581297;28.24942984571129;720.4549999999999
148;25.539832699999998;28.23634983515571;725.381
149;25.533457;28.23263513151128;730.318
150;25.4858707;28.22232202111125;735.544
151;25.4854332;28.221860195777943;740.652
152;25.4854332;28.222983336511255;745.852
153;25.4854332;28.209428045711267;750.948
154;25.4763279;28.20250473586683;755.884
155;25.4763279;28.197663589666817;761.2280000000001
156;25.4754261;28.188976219889017;766.256
157;25.4754261;28.184113540133474;771.533
158;25.4685841;28.17570951411127;776.847
159;25.4281457;28.16382855037792;781.969
160;25.4189198;28.1544339533779;787.191
161;25.3791899;28.151510463289057;792.249
162;25.3747683;28.14969297335571;797.38
163;25.3747683;28.137060697889048;802.678
164;25.3747683;28.134791319355706;807.741
165;25.3747683;28.12656458406685;813.122
166;25.3747683;28.11502578104457;818.486
167;25.3747683;28.117012523533486;823.721
168;25.3747683;28.10747773877795;829.125
169;25.3712027;28.106405377422384;834.482
170;25.3653719;28.094048600333473;839.892
171;25.3626057;28.094241056333498;845.269
172;25.3626057;28.08521816764459;850.569
173;25.3616708;28.07644077322235;855.814
174;25.3616708;28.078087683644586;861.106
175;25.3550728;28.06606844248903;866.461
176;25.354425;28.065795341244595;871.813
177;25.354425;28.06955884364459;877.053
178;25.3138109;28.0601745706446;882.446
179;25.3133677;28.04941789162236;887.672
180;25.3133677;28.052327624644587;893.098
181;25.3126267;28.04463411684461;898.28
182;25.3126267;28.03636778120017;903.577
183;25.3126267;28.026406510044605;908.872
