Generation;Best;Average;ElapsedSeconds
0;15,350963;17,51795984633331;0,00
1;15,248583;17,21255417166666;1,35
2;15,248583;17,13285717066667;2,61
3;15,163423;17,04578876266669;3,72
4;15,163423;16,983944870666612;4,93
5;15,15463;16,912609963666654;6,09
6;15,15294;16,888223834666643;7,27
7;15,15294;16,81841732600005;8,35
8;15,15294;16,788437609333364;9,54
9;14,591093;16,735705811666655;10,69
10;14,591093;16,69809855766668;11,90
11;14,591093;16,659933338333385;13,11
12;14,591093;16,62423044866669;14,34
13;14,591093;16,610354719333337;15,51
14;14,591093;16,565103670333333;16,77
15;14,591093;16,532682394333314;18,03
16;14,591093;16,468975523666657;19,30
17;14,540863;16,44602961466665;20,60
18;14,467801;16,39026309933335;21,84
19;14,437633;16,347978403666676;23,15
20;14,437633;16,330454875333338;24,42
21;14,40994;16,30197527933333;25,71
22;14,40994;16,27918946300001;26,97
23;14,287109;16,216169228000012;28,21
24;14,287109;16,208360015000043;29,44
25;14,287109;16,14863532266667;30,86
26;14,253311;16,14220530666667;32,40
27;14,253311;16,085413946333333;33,79
28;14,253311;16,049254796666656;35,20
29;14,253311;16,010603919666664;36,64
30;14,253311;15,989340485333308;38,07
31;14,078568;15,96372163233334;39,52
32;14,078568;15,931675293666645;40,94
33;14,078568;15,915072253333351;42,33
34;14,078568;15,878549739333325;43,79
35;14,078568;15,855647591999984;45,26
36;14,078568;15,831997542333319;46,74
37;14,078568;15,815894743666659;48,16
38;14,078568;15,772265217999996;49,56
39;14,078568;15,764000829333302;51,01
40;14,078568;15,713120458666634;52,52
41;14,078568;15,710401976999963;54,00
42;14,078568;15,687226220666684;55,46
43;13,480238;15,671004343666663;56,93
44;13,480238;15,65037873466666;58,39
45;13,480238;15,623245476999978;59,88
46;13,480238;15,610740162333347;61,39
47;13,480238;15,582255515999988;62,92
48;13,480238;15,564875449333318;64,38
49;13,480238;15,555546832666645;65,84
50;13,480238;15,535116833000009;67,34
51;13,480238;15,522594943666663;68,90
52;13,480238;15,511627375333344;70,45
53;13,480238;15,47912362833331;71,97
54;13,480238;15,470165594333317;73,48
55;13,480238;15,468412190999981;74,98
56;13,480238;15,440967675000003;76,56
57;13,480238;15,43161812799997;78,14
58;13,480238;15,437989714999965;79,73
