Generation;AverageBest;AverageAverage;AverageTime
0;21.2233258000;21.2233258000;0.0000000000
1;21.2233258000;21.2233258000;0.0000000000
2;21.2233258000;21.2233258000;0.0000000000
3;21.2233258000;21.2233258000;0.0000000000
4;21.2233258000;21.2233258000;0.0000000000
5;21.2233258000;21.2233258000;0.0000000000
6;21.2233258000;21.2233258000;0.0000000000
7;21.2233258000;21.2233258000;0.0000000000
8;21.2233258000;21.2233258000;0.0000000000
9;21.2233258000;21.2233258000;0.0000000000
10;21.2233258000;21.2233258000;0.0000000000
11;21.2233258000;21.2233258000;0.0000000000
12;21.2233258000;21.2233258000;0.0000000000
13;21.2233258000;21.2233258000;0.0000000000
14;21.2233258000;21.2233258000;0.0000000000
15;21.2233258000;21.2233258000;0.0000000000
16;21.2233258000;21.2233258000;0.0000000000
17;21.2233258000;21.2233258000;0.0000000000
18;21.2233258000;21.2233258000;0.0000000000
19;21.2233258000;21.2233258000;0.0000000000
20;21.2233258000;21.2233258000;0.0000000000
21;21.2233258000;21.2233258000;0.0000000000
22;21.2233258000;21.2233258000;0.0000000000
23;21.2233258000;21.2233258000;0.0000000000
24;21.2233258000;21.2233258000;0.0000000000
25;21.2233258000;21.2233258000;0.0000000000
26;21.2233258000;21.2233258000;0.0000000000
27;21.2233258000;21.2233258000;0.0000000000
28;21.2233258000;21.2233258000;0.0000000000
29;21.2233258000;21.2233258000;0.0000000000
30;21.2233258000;21.2233258000;0.0000000000
31;21.2233258000;21.2233258000;0.0000000000
32;21.2233258000;21.2233258000;0.0000000000
33;21.2233258000;21.2233258000;0.0000000000
34;21.2233258000;21.2233258000;0.0000000000
35;21.2233258000;21.2233258000;0.0000000000
36;21.2233258000;21.2233258000;0.0000000000
37;21.2233258000;21.2233258000;0.0000000000
38;21.2233258000;21.2233258000;0.0000000000
39;21.2233258000;21.2233258000;0.0000000000
40;21.2233258000;21.2233258000;0.0000000000
41;21.2233258000;21.2233258000;0.0000000000
42;21.2233258000;21.2233258000;0.0000000000
43;21.2233258000;21.2233258000;0.0000000000
44;21.2233258000;21.2233258000;0.0000000000
45;21.2233258000;21.2233258000;0.0000000000
46;21.2233258000;21.2233258000;0.0000000000
47;21.2233258000;21.2233258000;0.0000000000
48;21.2233258000;21.2233258000;0.0000000000
49;21.2233258000;21.2233258000;0.0000000000
50;21.2233258000;21.2233258000;0.0000000000
51;21.2233258000;21.2233258000;0.0000000000
52;21.2233258000;21.2233258000;0.0000000000
53;21.2233258000;21.2233258000;0.0000000000
54;21.2233258000;21.2233258000;0.0000000000
55;21.2233258000;21.2233258000;0.0000000000
56;21.2233258000;21.2233258000;0.0000000000
57;21.2233258000;21.2233258000;0.0000000000
58;21.2233258000;21.2233258000;0.0000000000
59;21.2233258000;21.2233258000;0.0000000000
60;21.2233258000;21.2233258000;0.0000000000
61;21.2233258000;21.2233258000;0.0000000000
62;21.2233258000;21.2233258000;0.0000000000
63;21.2233258000;21.2233258000;0.0000000000
64;21.2233258000;21.2233258000;0.0000000000
65;21.2233258000;21.2233258000;0.0000000000
66;21.2233258000;21.2233258000;0.0000000000
67;21.2233258000;21.2233258000;0.0000000000
68;21.2233258000;21.2233258000;0.0000000000
69;21.2233258000;21.2233258000;0.0000000000
70;21.2233258000;21.2233258000;0.0000000000
71;21.2233258000;21.2233258000;0.0000000000
72;21.2233258000;21.2233258000;0.0000000000
73;21.2233258000;21.2233258000;0.0000000000
74;21.2233258000;21.2233258000;0.0000000000
75;21.2233258000;21.2233258000;0.0000000000
76;21.2233258000;21.2233258000;0.0000000000
77;21.2233258000;21.2233258000;0.0000000000
78;21.2233258000;21.2233258000;0.0000000000
79;21.2233258000;21.2233258000;0.0000000000
80;21.2233258000;21.2233258000;0.0000000000
81;21.2233258000;21.2233258000;0.0000000000
82;21.2233258000;21.2233258000;0.0000000000
83;21.2233258000;21.2233258000;0.0000000000
84;21.2233258000;21.2233258000;0.0000000000
85;21.2233258000;21.2233258000;0.0000000000
86;21.2233258000;21.2233258000;0.0000000000
87;21.2233258000;21.2233258000;0.0000000000
88;21.2233258000;21.2233258000;0.0000000000
89;21.2233258000;21.2233258000;0.0000000000
90;21.2233258000;21.2233258000;0.0000000000
91;21.2233258000;21.2233258000;0.0000000000
92;21.2233258000;21.2233258000;0.0000000000
93;21.2233258000;21.2233258000;0.0000000000
94;21.2233258000;21.2233258000;0.0000000000
95;21.2233258000;21.2233258000;0.0000000000
96;21.2233258000;21.2233258000;0.0000000000
97;21.2233258000;21.2233258000;0.0000000000
98;21.2233258000;21.2233258000;0.0000000000
99;21.2233258000;21.2233258000;0.0000000000
100;21.2233258000;21.2233258000;0.0000000000
101;21.2233258000;21.2233258000;0.0000000000
102;21.2233258000;21.2233258000;0.0000000000
103;21.2233258000;21.2233258000;0.0000000000
104;21.2233258000;21.2233258000;0.0000000000
105;21.2233258000;21.2233258000;0.0000000000
106;21.2233258000;21.2233258000;0.0000000000
107;21.2233258000;21.2233258000;0.0000000000
108;21.2233258000;21.2233258000;0.0000000000
109;21.2233258000;21.2233258000;0.0000000000
110;21.2233258000;21.2233258000;0.0000000000
111;21.2233258000;21.2233258000;0.0000000000
112;21.2233258000;21.2233258000;0.0000000000
113;21.2233258000;21.2233258000;0.0000000000
114;21.2233258000;21.2233258000;0.0000000000
115;21.2233258000;21.2233258000;0.0000000000
116;21.2233258000;21.2233258000;0.0000000000
117;21.2233258000;21.2233258000;0.0000000000
118;21.2233258000;21.2233258000;0.0000000000
119;21.2233258000;21.2233258000;0.0000000000
120;21.2233258000;21.2233258000;0.0000000000
121;21.2233258000;21.2233258000;0.0000000000
122;21.2233258000;21.2233258000;0.0000000000
123;21.2233258000;21.2233258000;0.0000000000
124;21.2233258000;21.2233258000;0.0000000000
125;21.2233258000;21.2233258000;0.0000000000
126;21.2233258000;21.2233258000;0.0000000000
127;21.2233258000;21.2233258000;0.0000000000
128;21.2233258000;21.2233258000;0.0000000000
129;21.2233258000;21.2233258000;0.0000000000
130;21.2233258000;21.2233258000;0.0000000000
131;21.2233258000;21.2233258000;0.0000000000
132;21.2233258000;21.2233258000;0.0000000000
133;21.2233258000;21.2233258000;0.0000000000
134;21.2233258000;21.2233258000;0.0000000000
135;21.2233258000;21.2233258000;0.0000000000
136;21.2233258000;21.2233258000;0.0000000000
137;21.2233258000;21.2233258000;0.0000000000
138;21.2233258000;21.2233258000;0.0000000000
139;21.2233258000;21.2233258000;0.0000000000
140;21.2233258000;21.2233258000;0.0000000000
141;21.2233258000;21.2233258000;0.0000000000
142;21.2233258000;21.2233258000;0.0000000000
143;21.2233258000;21.2233258000;0.0000000000
144;21.2233258000;21.2233258000;0.0000000000
145;21.2233258000;21.2233258000;0.0000000000
146;21.2233258000;21.2233258000;0.0000000000
147;21.2233258000;21.2233258000;0.0000000000
148;21.2233258000;21.2233258000;0.0000000000
149;21.2233258000;21.2233258000;0.0000000000
150;21.2233258000;21.2233258000;0.0000000000
151;21.2233258000;21.2233258000;0.0000000000
152;21.2233258000;21.2233258000;0.0000000000
153;21.2233258000;21.2233258000;0.0000000000
154;21.2233258000;21.2233258000;0.0000000000
155;21.2233258000;21.2233258000;0.0000000000
156;21.2233258000;21.2233258000;0.0000000000
157;21.2233258000;21.2233258000;0.0000000000
158;21.2233258000;21.2233258000;0.0000000000
159;21.2233258000;21.2233258000;0.0000000000
160;21.2233258000;21.2233258000;0.0000000000
161;21.2233258000;21.2233258000;0.0000000000
162;21.2233258000;21.2233258000;0.0000000000
163;21.2233258000;21.2233258000;0.0000000000
164;21.2233258000;21.2233258000;0.0000000000
165;21.2233258000;21.2233258000;0.0000000000
166;21.2233258000;21.2233258000;0.0000000000
167;21.2233258000;21.2233258000;0.0000000000
168;21.2233258000;21.2233258000;0.0000000000
169;21.2233258000;21.2233258000;0.0000000000
170;21.2233258000;21.2233258000;0.0000000000
171;21.2233258000;21.2233258000;0.0000000000
172;21.2233258000;21.2233258000;0.0000000000
173;21.2233258000;21.2233258000;0.0000000000
174;21.2233258000;21.2233258000;0.0000000000
175;21.2233258000;21.2233258000;0.0000000000
176;21.2233258000;21.2233258000;0.0000000000
177;21.2233258000;21.2233258000;0.0000000000
178;21.2233258000;21.2233258000;0.0000000000
179;21.2233258000;21.2233258000;0.0000000000
180;21.2233258000;21.2233258000;0.0000000000
181;21.2233258000;21.2233258000;0.0000000000
182;21.2233258000;21.2233258000;0.0000000000
183;21.2233258000;21.2233258000;0.0000000000
184;21.2233258000;21.2233258000;0.0000000000
185;21.2233258000;21.2233258000;0.0000000000
186;21.2233258000;21.2233258000;0.0000000000
187;21.2233258000;21.2233258000;0.0000000000
188;21.2233258000;21.2233258000;0.0000000000
189;21.2233258000;21.2233258000;0.0000000000
190;21.2233258000;21.2233258000;0.0000000000
191;21.2233258000;21.2233258000;0.0000000000
192;21.2233258000;21.2233258000;0.0000000000
193;21.2233258000;21.2233258000;0.0000000000
194;21.2233258000;21.2233258000;0.0000000000
195;21.2233258000;21.2233258000;0.0000000000
196;21.2233258000;21.2233258000;0.0000000000
197;21.2233258000;21.2233258000;0.0000000000
198;21.2233258000;21.2233258000;0.0000000000
199;21.2233258000;21.2233258000;0.0000000000
200;21.2233258000;21.2233258000;0.0000000000
201;21.2233258000;21.2233258000;0.0000000000
202;21.2233258000;21.2233258000;0.0000000000
203;21.2233258000;21.2233258000;0.0000000000
204;21.2233258000;21.2233258000;0.0000000000
205;21.2233258000;21.2233258000;0.0000000000
206;21.2233258000;21.2233258000;0.0000000000
207;21.2233258000;21.2233258000;0.0000000000
208;21.2233258000;21.2233258000;0.0000000000
209;21.2233258000;21.2233258000;0.0000000000
210;21.2233258000;21.2233258000;0.0000000000
211;21.2233258000;21.2233258000;0.0000000000
212;21.2233258000;21.2233258000;0.0000000000
213;21.2233258000;21.2233258000;0.0000000000
214;21.2233258000;21.2233258000;0.0000000000
215;21.2233258000;21.2233258000;0.0000000000
216;21.2233258000;21.2233258000;0.0000000000
217;21.2233258000;21.2233258000;0.0000000000
218;21.2233258000;21.2233258000;0.0000000000
219;21.2233258000;21.2233258000;0.0000000000
220;21.2233258000;21.2233258000;0.0000000000
221;21.2233258000;21.2233258000;0.0000000000
222;21.2233258000;21.2233258000;0.0000000000
223;21.2233258000;21.2233258000;0.0000000000
224;21.2233258000;21.2233258000;0.0000000000
225;21.2233258000;21.2233258000;0.0000000000
226;21.2233258000;21.2233258000;0.0000000000
227;21.2233258000;21.2233258000;0.0000000000
228;21.2233258000;21.2233258000;0.0000000000
229;21.2233258000;21.2233258000;0.0000000000
230;21.2233258000;21.2233258000;0.0000000000
231;21.2233258000;21.2233258000;0.0000000000
232;21.2233258000;21.2233258000;0.0000000000
233;21.2233258000;21.2233258000;0.0000000000
234;21.2233258000;21.2233258000;0.0000000000
235;21.2233258000;21.2233258000;0.0000000000
236;21.2233258000;21.2233258000;0.0000000000
237;21.2233258000;21.2233258000;0.0000000000
238;21.2233258000;21.2233258000;0.0000000000
239;21.2233258000;21.2233258000;0.0000000000
240;21.2233258000;21.2233258000;0.0000000000
241;21.2233258000;21.2233258000;0.0000000000
242;21.2233258000;21.2233258000;0.0000000000
243;21.2233258000;21.2233258000;0.0000000000
244;21.2233258000;21.2233258000;0.0000000000
245;21.2233258000;21.2233258000;0.0000000000
246;21.2233258000;21.2233258000;0.0000000000
247;21.2233258000;21.2233258000;0.0000000000
248;21.2233258000;21.2233258000;0.0000000000
249;21.2233258000;21.2233258000;0.0000000000
250;21.2233258000;21.2233258000;0.0000000000
251;21.2233258000;21.2233258000;0.0000000000
252;21.2233258000;21.2233258000;0.0000000000
253;21.2233258000;21.2233258000;0.0000000000
254;21.2233258000;21.2233258000;0.0000000000
255;21.2233258000;21.2233258000;0.0000000000
256;21.2233258000;21.2233258000;0.0000000000
257;21.2233258000;21.2233258000;0.0000000000
258;21.2233258000;21.2233258000;0.0000000000
259;21.2233258000;21.2233258000;0.0000000000
260;21.2233258000;21.2233258000;0.0000000000
261;21.2233258000;21.2233258000;0.0000000000
262;21.2233258000;21.2233258000;0.0000000000
263;21.2233258000;21.2233258000;0.0000000000
264;21.2233258000;21.2233258000;0.0000000000
265;21.2233258000;21.2233258000;0.0000000000
266;21.2233258000;21.2233258000;0.0000000000
267;21.2233258000;21.2233258000;0.0000000000
268;21.2233258000;21.2233258000;0.0000000000
269;21.2233258000;21.2233258000;0.0000000000
270;21.2233258000;21.2233258000;0.0000000000
271;21.2233258000;21.2233258000;0.0000000000
272;21.2233258000;21.2233258000;0.0000000000
273;21.2233258000;21.2233258000;0.0000000000
274;21.2233258000;21.2233258000;0.0000000000
275;21.2233258000;21.2233258000;0.0000000000
276;21.2233258000;21.2233258000;0.0000000000
277;21.2233258000;21.2233258000;0.0000000000
278;21.2233258000;21.2233258000;0.0000000000
279;21.2233258000;21.2233258000;0.0000000000
280;21.2233258000;21.2233258000;0.0000000000
281;21.2233258000;21.2233258000;0.0000000000
282;21.2233258000;21.2233258000;0.0000000000
283;21.2233258000;21.2233258000;0.0000000000
284;21.2233258000;21.2233258000;0.0000000000
285;21.2233258000;21.2233258000;0.0000000000
286;21.2233258000;21.2233258000;0.0000000000
287;21.2233258000;21.2233258000;0.0000000000
288;21.2233258000;21.2233258000;0.0000000000
289;21.2233258000;21.2233258000;0.0000000000
290;21.2233258000;21.2233258000;0.0000000000
291;21.2233258000;21.2233258000;0.0000000000
292;21.2233258000;21.2233258000;0.0000000000
293;21.2233258000;21.2233258000;0.0000000000
294;21.2233258000;21.2233258000;0.0000000000
295;21.2233258000;21.2233258000;0.0000000000
296;21.2233258000;21.2233258000;0.0000000000
297;21.2233258000;21.2233258000;0.0000000000
298;21.2233258000;21.2233258000;0.0000000000
299;21.2233258000;21.2233258000;0.0000000000
300;21.2233258000;21.2233258000;0.0000000000
