Class;N;AverageBest;AverageAverage;AverageTime
class1;n100;10.5269486000;10.5269486000;0.0000000000
class1;n150;15.9884078000;15.9884078000;0.0000000000
class1;n50;6.3134180000;6.3134180000;0.0000000000
class2;n100;7.1359556000;7.1359556000;0.0000000000
class2;n150;10.1580028000;10.1580028000;0.0000000000
class2;n50;4.2293694000;4.2293694000;0.0000000000
class3;n100;5.7552679000;5.7552679000;0.0000000000
class3;n150;8.4278435000;8.4278435000;0.0000000000
class3;n50;3.5709172000;3.5709172000;0.0000000000
class4;n100;13.7839171000;13.7839171000;0.0000000000
class4;n150;21.2233258000;21.2233258000;0.0000000000
class4;n50;7.3235555000;7.3235555000;0.0000000000
