Generation;Best;Average;ElapsedSeconds
0;26,437025;29,63544268844456;0,00
1;26,437025;29,32241175044447;5,03
2;26,419342;29,215200303777767;9,18
3;26,293252;29,083437052444534;13,41
4;26,293252;29,036048579777834;17,50
5;26,293252;28,995371822666694;22,03
6;26,293252;28,960376124000074;26,71
7;26,293252;28,87910065088898;31,44
8;26,293252;28,864152288222247;36,96
9;26,130174;28,830730373777808;42,48
10;26,130174;28,78265702000008;48,75
11;26,130174;28,747332645333387;54,26
12;26,130174;28,706246367333346;59,31
13;25,460971;28,674372342444563;64,93
14;25,460971;28,65857424666678;69,87
15;25,445681;28,61769711511109;74,69
16;25,445681;28,57207436644453;79,58
17;25,445681;28,5275390037778;84,35
18;25,445681;28,50038595933338;89,38
19;25,445681;28,47747552555554;94,21
20;25,443331;28,469721074666722;99,05
21;25,443331;28,43580800844439;104,06
22;25,429619;28,44160128266665;108,92
23;25,429619;28,420289054444478;114,00
24;25,429619;28,39396733777774;118,90
25;25,429619;28,372880194444488;123,88
26;25,364414;28,353518601111155;128,77
27;25,364414;28,344303639111093;133,83
28;25,364414;28,29826504466662;138,68
29;25,364414;28,3064247266667;143,62
30;25,364414;28,28063925777775;148,48
31;25,364414;28,26946086;153,36
32;25,364414;28,261754055555585;158,20
33;25,364414;28,23003760688894;163,00
34;25,364414;28,192343341777796;167,93
35;25,364414;28,166505571555533;172,58
36;25,364414;28,14213880888893;177,68
37;25,364414;28,128556354222248;182,52
38;25,204188;28,09774745933328;187,88
39;25,204188;28,033172183111052;194,10
40;25,204188;28,021200408889033;199,01
41;25,204188;27,97342364311104;203,99
42;25,204188;27,976197040222225;208,70
43;25,204188;27,917664876444473;213,52
44;25,141385;27,856227963999892;220,24
45;25,141385;27,83489196755541;226,34
46;25,141385;27,769665707111105;231,56
47;25,141385;27,73585297355544;236,81
48;25,133568;27,69720382466658;241,70
49;25,133568;27,60776662022225;246,83
50;24,586799;27,571111939777705;252,06
51;24,586799;27,55149858288889;256,91
52;24,551681;27,490949610444403;261,99
53;24,397542;27,48480376444442;267,02
54;24,397542;27,48497593466665;272,10
55;24,31898;27,430345100888907;277,28
56;24,31898;27,427575752666648;282,21
57;24,31898;27,41225484555553;287,41
58;24,31898;27,36796459311118;293,41
59;24,31898;27,331319366000034;300,03
60;24,31898;27,347067671555568;305,45
61;24,31898;27,27743320222228;310,34
62;24,31898;27,259038783333303;315,38
63;24,191811;27,216316757111045;320,63
64;24,191811;27,173992723777825;325,72
65;24,191811;27,13988925355552;331,19
66;24,191811;27,107751711555554;336,76
67;24,191811;27,06644567599999;341,57
68;24,191811;27,008771761555533;346,41
69;24,11178;27,027118395333346;351,26
70;24,11178;26,973777196222237;356,21
71;24,11178;26,933503546888893;361,15
72;24,11178;26,890681922666694;366,12
73;24,11178;26,823430623555545;371,50
74;24,11178;26,771347586888854;377,32
75;24,10915;26,723752973111186;382,57
76;24,10915;26,67811586222222;387,68
77;23,604937;26,644348399111024;392,75
78;23,604937;26,672360302444407;398,36
79;23,604937;26,64270705888888;403,82
80;23,604937;26,59934656644449;409,10
81;23,560412;26,55470823333332;414,30
82;23,555042;26,564383134444505;419,28
83;23,555042;26,54960029977777;424,40
84;23,544603;26,536419794444527;429,45
