Generation;AverageBest;AverageAverage;AverageTime
0;12.8563584;15.166238422444444;0.001
1;12.5701844;14.873038423222194;3.05
2;12.5632147;14.738418749199985;6.1
3;12.4406608;14.641654943888872;9.001
4;12.2881806;14.542498822266658;11.939
5;12.267111;14.45259500686666;14.868
6;12.1986544;14.376042280955554;17.861
7;12.1092567;14.30077569513333;20.833
8;12.0316419;14.236529297888886;23.847
9;11.9274561;14.164702670044438;26.88
10;11.855645899999999;14.085406100333325;29.907
11;11.7090462;14.002711610088879;32.915
12;11.6847654;13.935582088377771;35.966
13;11.6053812;13.865742326466666;39.032
14;11.5475676;13.781884740399997;42.122
15;11.5425019;13.714107705577764;45.233000000000004
16;11.5156822;13.65546928308889;48.302
17;11.5031999;13.598615432066667;51.453
18;11.4837734;13.544710304866653;54.613
19;11.369646;13.488410224755553;57.793
20;11.3468071;13.432889825111108;60.982
21;11.3052867;13.377558940866658;64.229
22;11.2895296;13.325573251711106;67.456
23;11.2326011;13.273184471711104;70.73100000000001
24;11.1734777;13.226014749933322;74.044
25;11.1700228;13.173323966222213;77.372
26;11.1468088;13.12200838384445;80.694
27;11.134079;13.072944204911114;84.045
28;11.1251296;13.035647937844448;87.415
29;11.1173602;13.002620427355561;90.825
30;11.0956674;12.959284183511112;94.239
31;11.0681674;12.93049251315556;97.693
32;11.0116745;12.894936884288894;101.14699999999999
33;10.9556501;12.86991681962223;104.604
34;10.9351896;12.841748520911114;108.114
35;10.8801818;12.8086960866;111.603
36;10.830738199999999;12.783326233333343;115.133
37;10.7796233;12.75999928004446;118.714
38;10.7763683;12.735191763800001;122.29
39;10.7661156;12.70295243622223;125.822
40;10.7311615;12.683081054977785;129.424
41;10.7177694;12.653951863644448;133.04
42;10.6990817;12.633778818311118;136.65200000000002
43;10.6923925;12.613506697133337;140.28300000000002
44;10.6785876;12.605480776822208;143.94400000000002
45;10.6727237;12.573478310711105;147.603
46;10.6727237;12.556151632555551;151.301
47;10.6713566;12.543848752177773;154.97199999999998
48;10.6676568;12.523795743399992;158.647
49;10.665511500000001;12.508967331155553;162.344
50;10.652371800000001;12.49230412577778;166.048
51;10.6422349;12.471325608422223;169.753
52;10.6422349;12.462827163422231;173.477
53;10.6006864;12.448708251488881;177.212
54;10.5548704;12.432541709800002;180.972
55;10.5473681;12.420558176666669;184.726
56;10.5466881;12.403046338377782;188.469
57;10.5042119;12.384194162644437;192.255
58;10.5042119;12.37532962293334;196.03900000000002
59;10.5031344;12.358811553666673;199.815
60;10.493873;12.35465161682222;203.576
61;10.4805872;12.335027220288886;207.349
62;10.4660725;12.327852649199993;211.26600000000002
63;10.4660725;12.313531212955557;215.157
64;10.4615322;12.305899397555551;219.022
65;10.4536012;12.295019921622218;222.891
66;10.4260579;12.28209690684445;226.81
67;10.4260579;12.273565664422224;230.69400000000002
68;10.4117673;12.261689329111118;234.533
69;10.3731891;12.24930442993332;238.448
70;10.3728192;12.240050260288887;242.364
71;10.3707555;12.23369075597778;246.276
72;10.3596755;12.231766227444442;250.186
73;10.3570444;12.215960704222217;254.164
74;10.3504561;12.21098496537778;258.10699999999997
75;10.3478202;12.200119601688886;262.037
76;10.3478202;12.187682800311107;266.065
77;10.3466795;12.183401652155561;270.082
78;10.3466795;12.166791605177782;274.065
79;10.342402;12.156827136111113;278.062
80;10.341359;12.149601352600012;282.132
81;10.341359;12.145952195266661;286.241
82;10.341359;12.137708537155564;290.293
83;10.3331374;12.132113154533338;294.381
84;10.3331374;12.123221963733348;298.53
85;10.3155974;12.112889396577785;302.694
86;10.3155974;12.115821166866668;306.856
87;10.3085123;12.106146461866668;311.053
88;10.2765484;12.10183794928889;315.278
89;10.2721758;12.0854641536;319.5
90;10.2721758;12.08773912913333;323.716
91;10.2685805;12.079961282355564;327.901
92;10.2675354;12.072966365222216;332.161
93;10.2675354;12.067229073622213;336.385
94;10.26433;12.064081841044445;340.654
95;10.2458891;12.054323795133335;344.902
96;10.2458803;12.040787898533331;349.192
97;10.2458803;12.038749028577783;353.503
98;10.2434434;12.028116609422225;357.82
99;10.2434434;12.027719171977763;362.163
100;10.242344899999999;12.018821800444448;366.56
101;10.2291062;12.017117702911104;370.876
102;10.2282637;12.005923097044437;375.252
103;10.206754;11.99933921217778;379.647
104;10.1728336;11.995644155311112;384.092
105;10.1728336;11.988113726755559;388.521
106;10.1728336;11.986654905488901;392.934
107;10.1688081;11.97864874591112;397.366
108;10.1239657;11.979082420488881;401.776
109;10.1239657;11.96516426193333;406.171
110;10.1239657;11.96636038077779;410.603
111;10.1086925;11.965150306911106;415.001
112;10.1062706;11.960048631333333;419.417
113;10.101659100000001;11.953930240777776;423.875
114;10.097229500000001;11.947245024488891;428.315
115;10.096161;11.944055941244434;432.75600000000003
116;10.0944182;11.935830678888893;437.189
117;10.0944182;11.936874925533331;441.662
118;10.0909881;11.924788212155558;446.125
119;10.0909881;11.932270730999992;450.603
120;10.0909881;11.923031631999997;455.04200000000003
121;10.0861801;11.917434897066672;459.495
122;10.0861801;11.912488916666675;463.943
123;10.0861801;11.907034439244445;468.448
124;10.0803102;11.904346013066673;472.978
125;10.076961;11.89766493662223;477.467
126;10.076961;11.894045107244455;481.953
127;10.076961;11.893967896933342;486.397
128;10.0734716;11.899402269133331;490.885
129;10.0734716;11.884713298422229;495.431
130;10.0734716;11.885505353866666;499.94
131;10.0734716;11.873641465955545;504.515
132;10.0712787;11.869875586911116;509.003
133;10.0712787;11.867620421422219;513.497
134;10.0692628;11.87246985260002;517.98
135;10.0675242;11.861574444866665;522.549
136;10.0675242;11.860751920888884;527.185
137;10.0675242;11.861511882555565;531.75
138;10.0648169;11.85220957511112;536.332
139;10.0648169;11.857100418044457;540.912
140;10.0648169;11.846251231866674;545.511
141;10.0400022;11.845835822155557;550.106
142;10.0400022;11.843833002111113;554.685
143;10.0379977;11.843802076222216;559.287
144;10.0379977;11.837035661177783;563.897
145;10.0376364;11.838950740444453;568.506
146;10.0308132;11.83175847955557;573.125
147;10.0308132;11.828413234599997;577.79
148;10.0187602;11.827040196977784;582.455
149;10.0187602;11.822717506955563;587.125
150;10.0178746;11.819008055533335;591.848
151;10.0157979;11.815389143022228;596.643
152;10.008696;11.80817002148889;601.403
153;10.008696;11.811913981133337;606.1469999999999
154;10.008696;11.807004112555553;610.903
155;10.008671;11.805924135955562;615.737
156;10.0041042;11.808772529000011;620.5550000000001
157;10.0021375;11.797248691799995;625.4060000000001
158;10.0021375;11.792888143466673;630.245
159;9.9985413;11.785271897866672;635.152
160;9.9985413;11.78220716617778;640.005
161;9.995667000000001;11.787158488066671;644.923
162;9.995667000000001;11.775384806022231;649.831
163;9.9953314;11.777963884866674;654.796
164;9.994466000000001;11.775654135311115;659.726
165;9.994466000000001;11.76649121626667;664.61
166;9.9900985;11.75920619424446;669.598
167;9.9900985;11.764837614866686;674.581
168;9.9900985;11.757471932955582;679.547
169;9.9900226;11.758506802933349;684.52
170;9.9548843;11.755722891711128;689.396
171;9.9548843;11.751681297355567;694.361
172;9.9548843;11.753825384177796;699.338
173;9.9533286;11.751297336444456;704.271
174;9.9523826;11.744456293688907;709.201
175;9.9483338;11.743880260822232;714.128
176;9.9483338;11.737622123422232;719.0219999999999
177;9.9479458;11.734656015177801;724.003
178;9.9479458;11.72909114288891;729.024
179;9.9479458;11.722572192133354;734.011
180;9.9479458;11.729039134666687;739.005
181;9.9479458;11.728498844022237;744.001
182;9.942515;11.716292163777783;749.035
183;9.9349843;11.728518680955558;754.034
184;9.9349843;11.727316831733345;758.979
185;9.9349843;11.716758867466671;763.947
186;9.9316957;11.71306614486668;768.97
187;9.9284166;11.71667308197778;773.994
188;9.9284166;11.711192499866673;778.984
189;9.9268711;11.70877459364446;783.997
190;9.902287900000001;11.697982958422239;788.925
191;9.902287900000001;11.702547389000024;793.901
192;9.902287900000001;11.69890856720002;798.872
193;9.902287900000001;11.698809282733356;803.818
194;9.8972687;11.700337133577804;808.818
195;9.8972687;11.69020229340001;813.719
196;9.8972687;11.690248570266693;818.625
197;9.8972687;11.691541764422233;823.58
198;9.8972687;11.6912597516889;828.581
199;9.8902235;11.686919659311126;833.609
200;9.8870664;11.680931003022234;838.579
201;9.8838676;11.670621604711116;843.5
202;9.8810692;11.676419784866678;848.489
203;9.8810692;11.672323952422222;853.502
204;9.8810692;11.671744189600018;858.499
205;9.8810692;11.667874311533348;863.535
206;9.8802698;11.665806476466672;868.507
207;9.879045;11.66095144748889;873.524
208;9.8751385;11.66059865708889;878.568
209;9.8751385;11.654155296666664;883.605
210;9.8677664;11.653429846600009;888.655
211;9.8677664;11.65747194215556;893.677
212;9.8634157;11.65293775926667;898.662
213;9.860031;11.656412091377783;903.681
214;9.860031;11.651752357311112;908.751
215;9.860031;11.651395541266675;913.873
216;9.860031;11.646154001400005;918.89
217;9.860031;11.643270403844452;923.87
218;9.8539126;11.64387001455556;928.88
219;9.8539126;11.636894593844442;933.994
220;9.8539126;11.639790099111112;939.112
221;9.8539126;11.63236212159999;944.285
222;9.8539126;11.6301315332;949.361
223;9.8479219;11.63628091442222;954.467
224;9.8479219;11.630491434044451;959.567
225;9.8479219;11.62856419922222;964.68
226;9.8479219;11.616983784599995;969.847
227;9.847121999999999;11.623442244066657;974.968
228;9.847121999999999;11.62324473435556;980.029
229;9.8460663;11.630116757533331;985.179
230;9.8454644;11.62561296773334;990.291
231;9.840702799999999;11.612465739488883;995.414
232;9.8379082;11.611591269133331;1000.552
233;9.8379082;11.606684488044449;1005.702
234;9.8379082;11.608403287133326;1010.868
