Generation;AverageBest;AverageAverage;AverageTime
0;10.4329083;12.511402077800007;0.002
1;10.3439902;12.2615524338;1.2
2;10.314918500000001;12.155293412066673;2.372
3;10.1533742;12.076596775833343;3.533
4;10.1336782;12.013856773033329;4.649
5;10.0452909;11.954726266700007;5.759
6;10.023847400000001;11.899817176900005;6.873
7;10.0199318;11.847138334333327;7.953
8;9.914011;11.795603441266671;9.009
9;9.8607116;11.750573806899993;10.113
10;9.8187552;11.7018544292;11.199
11;9.8126193;11.653866633333331;12.290000000000001
12;9.8107732;11.607200744400007;13.409
13;9.7914018;11.564787544833337;14.53
14;9.7318605;11.526779492966662;15.655
15;9.7090221;11.47955920993334;16.852
16;9.6417775;11.43630669533335;18.061
17;9.6366335;11.395272382266672;19.213
18;9.57722;11.354000947300015;20.423000000000002
19;9.5013289;11.310515504800012;21.636
20;9.4850796;11.27329274473334;22.847
21;9.484683;11.223379619466678;24.053
22;9.4028692;11.178685400166671;25.249
23;9.3837612;11.133708191466667;26.458
24;9.376553600000001;11.09168530936667;27.659
25;9.3204498;11.05706684676667;28.871
26;9.3046615;11.01836412733333;30.128
27;9.2793623;10.985350696433333;31.375
28;9.2766048;10.951117205133333;32.672000000000004
29;9.222910800000001;10.918410553366662;33.946
30;9.1569561;10.89035257943333;35.219
31;9.1503796;10.853247382466664;36.515
32;9.1503142;10.823684062100005;37.797
33;9.1423562;10.80119132626667;39.07
34;9.1294519;10.774627640366667;40.305
35;9.0601492;10.745216577233336;41.565
36;9.0490094;10.729272647733328;42.838
37;9.0404469;10.708051326999993;44.173
38;9.0345595;10.6978913013;45.5
39;9.0253883;10.672702864166666;46.802
40;9.0236874;10.655733344233328;48.123
41;9.0122047;10.637271790866661;49.45
42;8.9797515;10.621332087433332;50.797
43;8.974791;10.60645579946666;52.167
44;8.9670795;10.592373837;53.533
45;8.958455;10.57560861726667;54.899
46;8.9559601;10.55405007416667;56.25
47;8.8699984;10.548468420066664;57.61
48;8.8690234;10.525585796566665;59.017
49;8.8690234;10.521657000366663;60.412
50;8.8277358;10.496307370700007;61.799
51;8.8220844;10.48924492296667;63.173
52;8.7921568;10.466428770633339;64.578
53;8.790834;10.463394713733328;65.998
54;8.782223;10.447364976433327;67.393
55;8.782223;10.43158388756667;68.788
56;8.7752625;10.429036470600002;70.186
57;8.7729187;10.413119013066668;71.578
58;8.7710314;10.395968183900003;72.992
59;8.766053600000001;10.390428778866667;74.435
60;8.759521900000001;10.378937952566675;75.88499999999999
61;8.759521900000001;10.370904810433338;77.359
62;8.757310200000001;10.355406951900008;78.785
63;8.757310200000001;10.3492918663;80.244
