Generation;Best;Average;ElapsedSeconds
0;5,433508;6,846105626000009;0,00
1;5,433508;6,686933071333345;0,32
2;5,398363;6,619965228666677;0,52
3;5,398363;6,540899654666662;0,72
4;5,346158;6,478180758666669;0,93
5;5,284917;6,401109968666676;1,10
6;5,284917;6,3493893393333405;1,27
7;5,284917;6,325574277333332;1,44
8;5,212495;6,291496560000006;1,61
9;5,212495;6,266891710666657;1,78
10;5,212495;6,252675129333339;1,96
11;5,212495;6,215739142000006;2,13
12;5,212495;6,21763574266667;2,30
13;5,212495;6,195777664000001;2,46
14;5,212495;6,167637780000009;2,62
15;5,185283;6,126850698666664;2,79
16;5,185283;6,136294850666666;2,95
17;5,185283;6,123690801999996;3,13
18;5,185283;6,102683122666677;3,29
19;5,185283;6,082704086000002;3,45
20;5,185283;6,077049722000001;3,61
21;5,151402;6,081676165333342;3,79
22;5,151402;6,056345637333332;3,95
23;5,151402;6,04706322733334;4,12
24;5,111148;6,039673490666661;4,28
25;5,090721;6,019991188000003;4,45
26;5,090721;6,0215156320000105;4,61
27;5,090721;6,012323526666667;4,78
28;5,090721;6,02503288266667;4,95
29;5,090721;6,017112913333337;5,11
30;5,090721;6,002760713333333;5,27
31;5,090721;5,989160008666665;5,43
32;5,074192;6,013518234000006;5,59
33;5,074192;5,984016718666663;5,75
34;5,074192;5,978707256000005;5,91
35;5,074192;5,977162185333323;6,08
36;5,074192;5,984001641999992;6,24
37;5,074192;5,971192776666663;6,40
38;5,074192;5,978239232666676;6,56
39;5,074192;5,9641793673333385;6,74
40;5,074192;5,956027351999999;6,91
41;5,074192;5,976476820666678;7,09
42;5,073872;5,952828710666672;7,27
43;5,073872;5,959841258666666;7,43
44;5,03888;5,9483980766666695;7,61
45;5,03888;5,9305901986666685;7,78
46;5,03888;5,942038387333342;7,96
47;5,03888;5,904446032000006;8,11
48;5,03888;5,923412475333331;8,28
49;5,03888;5,912735358666657;8,45
50;5,03888;5,918489030666661;8,62
51;5,03888;5,899336094666663;8,78
52;5,03888;5,878002321999995;8,95
53;5,03888;5,891390519999996;9,12
54;5,03888;5,867514099999994;9,29
55;5,03888;5,887205239333325;9,45
56;5,03888;5,8566941266666666;9,62
57;5,035312;5,882309165999995;9,78
58;5,035312;5,858115193333329;9,96
