Generation;Best;Average;ElapsedSeconds
0;9,314907;11,29104513800004;0,00
1;9,314907;11,06143140100003;3,26
2;9,314907;10,965393108666678;6,58
3;9,223187;10,871470719000008;9,93
4;9,0828;10,76916760833335;13,23
5;9,0828;10,710851932333354;16,28
6;9,0828;10,648236488666676;19,32
7;9,0828;10,594300031333356;22,22
8;9,0828;10,560267548000004;25,15
9;9,0828;10,53490026899998;28,15
10;9,0828;10,506872162666685;31,23
11;9,0828;10,490645145000023;34,58
12;9,0828;10,445559855999981;37,81
13;9,07192;10,424913140999983;41,07
14;9,07192;10,393345575666656;44,42
15;8,622399;10,387122671666647;47,69
16;8,622399;10,370320036999994;51,03
17;8,622399;10,365535900666679;54,37
18;8,622399;10,334475069666683;57,70
19;8,622399;10,312412433666669;60,96
20;8,622399;10,291517714000015;64,55
21;8,622399;10,264413772333329;68,08
22;8,548069;10,253782996333326;71,62
23;8,548069;10,234946581666653;75,17
24;8,522527;10,223966089333326;78,59
25;8,513187;10,18536898066666;82,09
26;8,513187;10,16714114066668;85,64
27;8,513187;10,138385409333319;89,22
28;8,513187;10,122426987333329;92,96
29;8,447857;10,116459385333341;97,40
30;8,447857;10,084704169333344;101,53
31;8,439411;10,073079197666678;105,63
32;8,439411;10,043403000000014;109,84
33;8,439411;10,028213887666695;114,35
34;8,439411;10,020835458666681;118,77
35;8,439411;9,98159905333334;124,52
36;8,439411;9,978219810333327;129,24
37;8,439411;9,957783320333318;133,58
38;8,439411;9,940187727333292;137,73
39;8,439411;9,904392801999965;141,84
40;8,434266;9,900373926666669;146,22
41;8,434266;9,90777019099999;150,24
42;8,434266;9,898550053666655;154,41
43;8,434266;9,849040967999974;158,53
44;8,434266;9,835366900999983;162,46
45;8,336268;9,837040608999985;166,26
46;8,336268;9,809701431666669;170,17
47;8,336268;9,820444814333337;174,19
48;8,336268;9,795413853000015;178,08
49;8,336268;9,791441056666665;182,07
50;8,336268;9,78322854433335;186,12
51;8,336268;9,787727309333334;190,02
52;8,336268;9,772375530333344;193,77
53;8,336268;9,753935486333326;197,84
54;8,336268;9,754446062333331;201,68
55;8,336268;9,761840410666677;205,43
56;8,336268;9,754236001666667;209,18
57;8,336268;9,737109762999989;212,81
58;8,336268;9,72715613866668;216,58
59;8,336268;9,742458953666672;220,27
60;8,336268;9,72805651866668;223,87
61;8,336268;9,72375760133336;227,45
62;8,336268;9,727563362333338;231,05
63;8,336268;9,718378749999989;235,48
64;8,333408;9,71145891833333;239,45
65;8,325334;9,701840660000016;244,28
66;8,325004;9,701877810666693;249,49
67;8,325004;9,679376020333336;254,17
68;8,321854;9,67031876266666;258,65
69;8,313344;9,688904594333353;262,57
70;8,313344;9,698409110666677;266,38
71;8,313344;9,690581000666656;270,56
72;8,313344;9,684344798999998;274,37
73;8,313344;9,669367026000009;278,56
74;8,313344;9,683696052333355;282,37
75;8,313344;9,667708553333355;285,80
76;8,313344;9,659186765666677;289,28
77;8,313344;9,664274617333342;293,06
78;8,313344;9,645805518000007;296,69
79;8,285526;9,654827145666657;300,35
80;8,285526;9,647660336333344;303,84
81;8,285526;9,63820678133334;307,56
82;8,281118;9,651550578;310,97
83;8,279352;9,644284261333327;314,38
84;8,279352;9,647481298333334;317,92
85;8,278169;9,64821695333334;321,34
86;8,278169;9,63292818133333;324,87
87;8,24098;9,634034707666682;328,64
88;8,24098;9,613743265999998;332,61
89;8,24098;9,625730471000017;336,52
90;8,24098;9,604131738999989;340,14
91;8,24098;9,62490154599998;343,56
92;8,238764;9,623034733;347,44
93;8,238764;9,624821954999996;351,19
94;8,238764;9,603866027333353;354,95
95;8,238007;9,597382339333363;358,65
96;8,238007;9,605494836666674;362,38
97;8,211394;9,602267938333311;365,79
98;8,211394;9,590093326333328;369,26
99;8,211394;9,579965624333326;372,73
100;8,211394;9,57346655566668;376,20
101;8,196418;9,586861844333344;379,80
102;8,196418;9,5887237846667;383,29
103;8,196418;9,57800595633333;387,07
104;8,196418;9,58395527100003;390,64
105;8,196418;9,580006896666681;394,05
106;8,196418;9,57608895166667;397,54
107;8,196418;9,576181567333355;401,14
108;8,196418;9,583367342666692;404,61
109;8,196418;9,56822175966668;408,15
110;8,196418;9,560285682333333;411,74
111;8,196418;9,57184055200001;415,23
112;8,196418;9,575666476000004;418,57
113;8,175812;9,558653227000017;422,10
114;8,175812;9,55182140366669;425,50
115;8,175812;9,561654481333342;428,99
116;8,175812;9,546530758666663;432,31
117;8,133914;9,556099213000008;435,78
118;8,130686;9,566509698666701;439,09
119;8,118938;9,559619460333332;442,56
120;8,118938;9,554982664000013;445,72
121;8,118938;9,56227229933335;449,05
