Generation;AverageBest;AverageAverage;AverageTime
0;5.6568762;6.83692130666667;0.001
1;5.5324199;6.6488904666;0.76
2;5.4447497;6.565088473933332;1.303
3;5.3855474;6.501888831933333;1.836
4;5.3623342;6.4525470968;2.366
5;5.3545178;6.411113796933334;2.898
6;5.347473;6.3737986232;3.4299999999999997
7;5.3026006;6.339310779200002;3.951
8;5.2419908;6.311168122666664;4.4719999999999995
9;5.2342645999999995;6.281382577399995;4.983
10;5.1855014;6.244701572733334;5.503
11;5.172112;6.22388477626667;6.021
12;5.1622891;6.202823979133333;6.534
13;5.1488192;6.185390546666669;7.043
14;5.1347773;6.166696623466667;7.541
15;5.1329896;6.150410550600003;8.05
16;5.0879204;6.131234486066667;8.564
17;5.0810202;6.106945572466667;9.067
18;5.060917;6.095284129999999;9.568
19;5.0555452;6.08070528453333;10.077
20;5.0170155;6.067231876266665;10.576
21;5.0058412;6.052040428266663;11.09
22;5.0018668;6.0434398342666675;11.597
23;4.9959466;6.03529896553333;12.105
24;4.9942314;6.024247437466669;12.616999999999999
25;4.9932625999999996;6.010609858733333;13.12
26;4.983162;5.999080106866666;13.63
27;4.9731009;5.992497670733331;14.143
28;4.9710976;5.983422351333333;14.65
29;4.9710976;5.9743630488000035;15.167
30;4.9705834;5.963364585466666;15.68
31;4.9642295;5.951165399533333;16.19
32;4.9596178;5.947894705933333;16.69
33;4.958875;5.937106571999996;17.192
34;4.9547044;5.9374553754666675;17.698
35;4.9510797;5.9225366784;18.201999999999998
36;4.9464728000000004;5.9168629342;18.703
37;4.9464728000000004;5.917396681133332;19.201
38;4.9436726;5.9110280183333295;19.716
39;4.9428742;5.898394960466661;20.232
40;4.9388012;5.8976714892666635;20.744
41;4.9330152;5.894646935333331;21.256
42;4.9291516;5.891058744466663;21.77
43;4.9239507;5.891910835599998;22.281
44;4.9199894;5.884304134999996;22.798000000000002
45;4.9180878;5.8793889205999985;23.309
46;4.8864557;5.874580320999999;23.820999999999998
47;4.8850503;5.8672091981333345;24.324
48;4.8850503;5.858723076000001;24.828
49;4.8845841;5.856882491666668;25.344
50;4.8465292;5.852731981866661;25.853
51;4.8453208;5.849095827599995;26.357
52;4.8437762;5.84804123253333;26.861
53;4.841772;5.835781829066665;27.372
54;4.840997;5.836257014133331;27.878
55;4.840997;5.824780303133332;28.387999999999998
56;4.8395904;5.824652511399998;28.887999999999998
57;4.8353907;5.8206156023999975;29.391000000000002
58;4.8292088;5.811864104399998;29.891
59;4.8260916;5.804493428066666;30.398
60;4.7997511;5.799518922466664;30.913
61;4.7983315;5.7911861924;31.426
62;4.7947182999999995;5.784108678199999;31.945
