Generation;Best;Average;ElapsedSeconds
0;15,309;17,70001781100002;0,00
1;15,203688;17,391529464666682;1,39
2;15,203688;17,297734348333314;2,76
3;15,128293;17,230736286999935;3,97
4;14,597249;17,16631397033335;5,18
5;14,597249;17,133921245666677;6,45
6;14,447401;17,051283391666693;7,70
7;14,447401;16,95794038466669;8,92
8;14,447401;16,917852624999966;10,11
9;14,369687;16,866630568333292;11,37
10;14,369687;16,83587461900002;12,63
11;14,369687;16,79025167299997;13,79
12;14,369687;16,743089962333293;15,01
13;14,369687;16,709240223666626;16,25
14;14,369687;16,66717355366668;17,49
15;14,369687;16,631480470666684;18,67
16;14,369687;16,590873989666697;19,85
17;14,369687;16,55409917466667;21,09
18;14,199591;16,512430487333372;22,34
19;14,199591;16,428213733000085;23,59
20;14,199591;16,376637270333397;24,85
21;14,199591;16,290912325999997;26,12
22;14,199591;16,252349978666693;27,39
23;14,199591;16,210682433666687;28,69
24;14,199591;16,144330369666704;29,94
25;14,199591;16,11353189466666;31,14
26;14,197489;16,07981493699998;32,47
27;14,197489;16,057320811666674;33,83
28;14,197489;16,04191795900003;35,17
29;14,197489;15,993230278666676;36,42
30;14,197489;15,98128476233339;37,74
31;14,197489;15,935999785333372;39,09
32;14,197489;15,924396231666679;40,44
33;14,197489;15,898577140666665;41,83
34;14,05406;15,889992188000026;43,24
35;14,05406;15,887564775333393;44,75
36;14,05406;15,860232511666727;46,16
37;13,606701;15,846790741333365;47,63
38;13,606701;15,806726153000017;49,14
39;13,606701;15,787580679666641;50,72
40;13,606701;15,796404246333323;52,14
41;13,606701;15,772186820999988;53,57
42;13,606701;15,75445941499997;55,02
43;13,606701;15,734546240333326;56,38
44;13,576494;15,706319839666651;57,73
45;13,576494;15,689979454666657;59,22
46;13,460645;15,690869866666684;60,70
47;13,460645;15,683716728000016;62,15
48;13,460645;15,67965378599997;63,53
49;13,460645;15,64512513466671;64,88
50;13,460645;15,652452604666635;66,24
51;13,460645;15,639924851666688;67,67
52;13,460645;15,629374824333341;69,06
53;13,460645;15,603404659666671;70,41
54;13,299129;15,60246334033332;71,74
55;13,299129;15,593185096333329;73,09
56;13,299129;15,571402535000004;74,53
57;13,299129;15,54725890233333;76,15
58;13,299129;15,519526837000035;77,73
59;13,299129;15,514496172333368;79,26
60;13,299129;15,48454358966669;80,70
61;13,299129;15,496423567666662;82,17
62;13,299129;15,449471222666638;83,65
63;13,299129;15,444949719333374;85,14
64;13,299129;15,434452417999982;86,67
65;13,299129;15,428087413333337;88,11
66;13,299129;15,370514376000013;89,68
67;13,299129;15,390192402000027;91,18
68;13,299129;15,34129274400003;92,68
69;13,299129;15,327732453000058;94,12
