Generation;AverageBest;AverageAverage;AverageTime
0;8.8905197;10.564070250000002;0.004
1;8.7904109;10.33936315686667;0.398
2;8.7414761;10.276453581933339;0.742
3;8.6697233;10.2320680454;1.015
4;8.5675531;10.181397807466665;1.289
5;8.5058598;10.157514676733335;1.5250000000000001
6;8.5058598;10.129019737733334;1.754
7;8.5058598;10.096694273933336;1.9889999999999999
8;8.489476;10.05639733833333;2.209
9;8.4783151;10.018653239599992;2.437
10;8.4165876;10.000264891466664;2.669
11;8.4138723;9.968645357199993;2.931
12;8.406465;9.925500102133334;3.17
13;8.32678;9.908408994933334;3.392
14;8.3219452;9.87256128266667;3.622
15;8.314703;9.84433972606667;3.8489999999999998
16;8.313271799999999;9.823773200800005;4.0920000000000005
17;8.3100462;9.801103981466662;4.313
18;8.3066798;9.779189942266662;4.535
19;8.3066798;9.755841469399996;4.777
20;8.3023122;9.727013714466661;5.0120000000000005
21;8.2858641;9.709815229666663;5.218
22;8.273187;9.688305378066666;5.438
23;8.2677055;9.674709850000001;5.651
24;8.265026;9.662355565866665;5.898
25;8.2463679;9.6347052616;6.143
26;8.2334502;9.61265337886667;6.3870000000000005
27;8.2054706;9.604791080999995;6.616
28;8.1564133;9.585317791733338;6.863
29;8.1547328;9.565577485266664;7.083
30;8.1163521;9.547170899666664;7.301
31;8.1074304;9.534460728733329;7.529
32;8.1032861;9.520308328733329;7.754
33;8.0975503;9.508445429599997;7.97
34;8.0406787;9.490594082133331;8.211
35;8.0362629;9.478537000933326;8.445
36;8.0277407;9.471917060333324;8.667
37;7.987964;9.456340899199997;8.898
38;7.9866802;9.441056513799998;9.126
39;7.9839892;9.434321891266666;9.355
40;7.9224981;9.414225204600005;9.586
41;7.9024331;9.394389635266668;9.808
42;7.8993275;9.383770873333338;10.025
43;7.8942350999999995;9.378427771466667;10.239
44;7.8926738;9.36727224666667;10.455
45;7.8805759;9.348998760266664;10.669
46;7.8752984;9.340343646666671;10.884
47;7.8668016;9.32376468533334;11.108
48;7.8572136;9.324049090533338;11.347
49;7.8572136;9.305433433200006;11.562
50;7.8572136;9.30084562413334;11.794
51;7.8026843;9.278427548266672;12.038
52;7.7455395;9.259557376666674;12.263
53;7.7452749;9.26696296573334;12.49
54;7.7405593;9.243955698733338;12.706
55;7.7319714;9.24135199666667;12.928
56;7.7274994;9.219286301666672;13.154
57;7.7244478999999995;9.210780302000003;13.383000000000001
58;7.7184177;9.194815305200006;13.599
59;7.7181131;9.188527817133336;13.827
60;7.7176617;9.169200633400003;14.063
61;7.7176617;9.168318571400006;14.283999999999999
62;7.6719494;9.148045447866672;14.509
63;7.6719494;9.13667197026667;14.733
64;7.671113699999999;9.123814678133337;14.947
65;7.6700859999999995;9.1097570504;15.167
66;7.6663236999999995;9.092273922400002;15.385
67;7.6631153;9.075012230000004;15.603
68;7.6619485;9.056054744466675;15.818
69;7.6594052999999995;9.046296574333336;16.048000000000002
70;7.6455343000000004;9.029920643200008;16.272
71;7.6455343000000004;9.018066048000007;16.49
72;7.6414944;9.017702567733343;16.723
73;7.6361651;8.982216917400013;16.941
74;7.6327755;8.981381615333346;17.162
75;7.626752;8.960033456333338;17.382
76;7.6264712;8.935721653866677;17.616
77;7.6243162;8.922110489600009;17.837
78;7.6204093;8.894195580266668;18.07
79;7.6145576;8.88191571800001;18.287
80;7.6137715;8.87399289426668;18.517
81;7.6078047;8.85704203120001;18.74
82;7.6078047;8.848054262200012;18.962
83;7.6064217;8.843985533333342;19.185
84;7.5947793;8.828832239866678;19.422
85;7.5929823999999995;8.829409489000017;19.652
86;7.5920715;8.822011221733357;19.879
87;7.5902636;8.810283998400019;20.129
88;7.5898992;8.793072754800017;20.381
89;7.5879192;8.786814549200004;20.604
90;7.5548718;8.787076565266675;20.841
91;7.5527507;8.775346716933344;21.071
92;7.5498022;8.75395294253334;21.303
93;7.5475186;8.750818066600011;21.526
94;7.543883;8.73752829353335;21.75
95;7.5436732;8.742097411333349;21.976
96;7.5025581;8.729072313400016;22.194
97;7.5010657;8.70445922233335;22.414
98;7.4995059;8.697272407266686;22.643
99;7.4927584;8.683295622066684;22.878
100;7.4885208;8.68353507900002;23.112
101;7.4825216;8.66785997540001;23.354
102;7.480855;8.657555900400016;23.58
103;7.4764062;8.648546434133351;23.815
104;7.4732791;8.630379614800017;24.042
105;7.4701849;8.60366680693335;24.27
106;7.467035;8.598031913333342;24.511
107;7.4644811;8.575329009399997;24.745
108;7.4618451;8.574174265333324;25.022
109;7.4605341;8.561577815599993;25.259
110;7.4579626;8.542329283333329;25.503
111;7.4523574;8.533708343933338;25.728
112;7.4494039999999995;8.528279546066667;25.961
113;7.4494039999999995;8.526765886600005;26.195
114;7.4493732;8.514840533933336;26.423000000000002
115;7.4489767;8.504138835;26.674
116;7.4462361;8.50170862233334;26.92
117;7.4426045;8.505558016533346;27.158
118;7.4417493;8.502407179333343;27.392
119;7.4412831;8.493435541333339;27.627
120;7.4412831;8.506097112000006;27.868000000000002
121;7.4409693;8.497391143266677;28.097
122;7.4358831;8.497979645800005;28.332
