Generation;AverageBest;AverageAverage;AverageTime
0;5.5710197;6.843103674400005;0.002
1;5.5518658;6.78638393193334;0.485
2;5.5476243;6.739272563600006;0.837
3;5.4954782;6.699891691200006;1.115
4;5.486941;6.665272107066673;1.3699999999999999
5;5.4784382;6.635245382466671;1.6179999999999999
6;5.4693322;6.607628375933338;1.8679999999999999
7;5.4693322;6.583801254600006;2.1029999999999998
8;5.4690173;6.561813004133341;2.344
9;5.4596892;6.542311226600006;2.6149999999999998
10;5.453852400000001;6.524825969200007;2.865
11;5.4497664;6.506784603266673;3.113
12;5.4333014;6.49137099453334;3.36
13;5.4333014;6.476653822200006;3.614
14;5.4333014;6.462345563333338;3.86
15;5.4333014;6.449146027666671;4.136
16;5.4333014;6.4362832646000046;4.392
17;5.4332902;6.424344414933338;4.664
18;5.4245836;6.412741598866672;4.92
19;5.420607;6.402221380733339;5.176
20;5.4174307;6.392223471600005;5.472
21;5.4174307;6.382783898333337;5.7379999999999995
22;5.4174307;6.373993628333336;6.003
23;5.417092;6.365615614200003;6.26
24;5.417092;6.357437812666669;6.525
25;5.417092;6.348944700133337;6.768
26;5.417092;6.341364035600003;7.026
27;5.4127951;6.33420420026667;7.287
28;5.4093959;6.325977106266669;7.5440000000000005
29;5.4019482;6.319514054066668;7.795
30;5.396204;6.314151597066669;8.057
31;5.396204;6.307916851400003;8.306
32;5.3939968;6.3010351458666705;8.561
33;5.3939968;6.295805044933338;8.825
34;5.3939968;6.290032279933336;9.075
35;5.3939968;6.2849219851333356;9.333
36;5.3939968;6.279537340733335;9.592
37;5.3939968;6.2744990174666695;9.832
38;5.3939968;6.269140648066671;10.075
39;5.390721;6.26449200326667;10.32
40;5.390721;6.259393545266671;10.579
41;5.390721;6.255564599800004;10.834
42;5.390721;6.250029641133337;11.091000000000001
43;5.3887102;6.246159433200003;11.352
44;5.3887102;6.242214992866671;11.603
45;5.3858889;6.237403370666671;11.855
46;5.3858889;6.232897297933339;12.097
47;5.3858889;6.2289892374666715;12.357
48;5.3850103;6.225314748800004;12.611
49;5.3395837;6.22186168906667;12.877
50;5.3395837;6.21812149426667;13.14
51;5.3395837;6.214325217333337;13.397
52;5.3395837;6.2101333613333365;13.654
53;5.3395837;6.206748980600002;13.915
54;5.3395837;6.202388929133336;14.164
55;5.3395837;6.198305137866669;14.423
56;5.3288395;6.194213719666669;14.682
57;5.3288395;6.190694166066669;14.950000000000001
58;5.3281455;6.187097034333336;15.207
59;5.3281455;6.183531155533335;15.469
60;5.3281455;6.180530215533335;15.733
61;5.3281455;6.177024973266669;15.984
62;5.3281455;6.173567413666669;16.23
63;5.3260542;6.170731902333336;16.483
64;5.325366900000001;6.1678121401333375;16.736
65;5.325366900000001;6.165047152133336;16.989
66;5.3235055000000004;6.161606226000002;17.249
67;5.32313;6.159130595000002;17.522
68;5.3191587;6.156915865333335;17.801
69;5.3191587;6.154270709200002;18.079
70;5.3069558;6.1514624719333355;18.361
71;5.3069558;6.148730126600002;18.63
72;5.3063366;6.145679539666668;18.903
73;5.3059129;6.143082157800004;19.177
74;5.3059129;6.14021846106667;19.455
75;5.3059129;6.137349846333337;19.737
76;5.3059129;6.134902638733338;20.015
77;5.3048675;6.132926924400005;20.281
78;5.3048675;6.130239226733339;20.544
79;5.3033902;6.128214460533339;20.812
80;5.3029502;6.125865235333339;21.085
81;5.3029502;6.123336474466672;21.357
82;5.3029502;6.1213294004666725;21.614
83;5.3029502;6.119115279333339;21.877
84;5.3021876;6.1168579707333395;22.15
85;5.3021876;6.114811851866672;22.417
86;5.2994592;6.1125870848666715;22.682000000000002
87;5.2994592;6.110384710466672;22.947
88;5.2994592;6.108466630066672;23.22
89;5.2994592;6.106258802600005;23.489
90;5.2994592;6.103706987933338;23.767
91;5.2984774;6.101156002200003;24.037
92;5.2984774;6.099383149000004;24.311999999999998
93;5.2984774;6.097313474933337;24.596
94;5.2984774;6.095248559000003;24.877
95;5.2984774;6.093576642133337;25.149
96;5.2984774;6.09192254446667;25.424
97;5.2984774;6.090030825733336;25.701
98;5.2984774;6.0881027814000035;25.971
99;5.2984774;6.08602185026667;26.263
100;5.2976329;6.084136576600003;26.556
101;5.2976329;6.082308576733336;26.853
102;5.2943489;6.080749301466669;27.142
103;5.2910556;6.078922145666668;27.428
104;5.2910556;6.077196798866668;27.709
105;5.2910556;6.0755987120000015;27.991
106;5.2910556;6.073879100533335;28.282
107;5.2910556;6.072162057933335;28.558
108;5.2910556;6.070312107000002;28.84
109;5.2910556;6.068633740666669;29.113
110;5.2910556;6.0666918746666685;29.388
111;5.2910556;6.064953104533335;29.673000000000002
112;5.2910556;6.063270204000002;29.953
113;5.2910556;6.0618117414000015;30.245
114;5.2910556;6.060181204400002;30.529
115;5.2910556;6.058630255533335;30.813
116;5.2910556;6.057174699933334;31.092
117;5.2901444;6.055725568533334;31.369999999999997
118;5.2901444;6.0539746885333345;31.656
119;5.2901444;6.052194307133334;31.956
120;5.2901444;6.050421975800001;32.241
121;5.2901444;6.048740455333334;32.544
122;5.2901444;6.047431910866668;32.837
123;5.2901444;6.045939646000001;33.117000000000004
124;5.2835798;6.044692892666668;33.406
125;5.2835798;6.043567762466669;33.69
126;5.2835798;6.0421181010000025;33.976
127;5.2835798;6.0404724625333355;34.267
128;5.2835798;6.039444037800001;34.573
129;5.2835798;6.038436795666668;34.881
130;5.2825634;6.037387555200001;35.207
131;5.2825634;6.035940763266669;35.501999999999995
132;5.2825634;6.034524364266668;35.799
133;5.2825634;6.033161348000002;36.088
134;5.2825634;6.032019857666668;36.378
135;5.2817122;6.030728532200001;36.674
136;5.2722051;6.029450717800001;36.979
137;5.2722051;6.027982947933336;37.28
138;5.2718768;6.026472308333336;37.575
139;5.2718768;6.025273260400002;37.899
140;5.2718768;6.023854105400003;38.233
141;5.2718768;6.02236368306667;38.531
142;5.2718768;6.0211610108666695;38.838
143;5.2711457;6.01990822966667;39.153
144;5.2711457;6.018748958533335;39.459
145;5.2711457;6.01754375746667;39.819
146;5.2705014;6.016436192933336;40.167
147;5.2705014;6.015434556866669;40.482
148;5.2705014;6.014424865066669;40.795
149;5.2705014;6.013290481066669;41.096
150;5.2705014;6.012243119800003;41.42
151;5.269794;6.010833101400003;41.736000000000004
152;5.269794;6.00960866946667;42.033
153;5.2693768;6.008592937133337;42.348
154;5.2690366;6.00731898226667;42.658
155;5.2690366;6.005972034066669;42.979
156;5.2690366;6.004792014000003;43.295
157;5.2690366;6.003732443600003;43.606
158;5.2690366;6.00247189086667;43.916
159;5.2690366;6.00133002826667;44.229
160;5.2690366;6.000078321333337;44.539
161;5.2690366;5.999213976133338;44.844
162;5.2690366;5.997944165000004;45.164
163;5.2690366;5.996822002133337;45.489000000000004
164;5.2686567;5.9957601165333365;45.834
165;5.2686567;5.994726713866671;46.166
166;5.2686567;5.9937822030666705;46.485
167;5.2686567;5.992656753066671;46.794
168;5.2686567;5.991657475800004;47.109
169;5.2676751;5.990251443400004;47.434
170;5.2676751;5.989021473666671;47.766999999999996
171;5.2676751;5.9881350612666715;48.101
172;5.2672312;5.987000348533338;48.433
173;5.2672312;5.986046213666672;48.752
174;5.2638047;5.984966952533338;49.05
175;5.2638047;5.984162222266671;49.35
176;5.2638047;5.983273657800005;49.657000000000004
177;5.2638047;5.982495832933339;49.973
