Generation;Best;Average;ElapsedSeconds
0;5,189652;6,302752180666664;0,00
1;5,189652;6,255305556666664;0,46
2;5,189652;6,219269979333321;0,73
3;5,189652;6,184909150666661;0,95
4;5,189652;6,153157245333327;1,16
5;5,189652;6,122378883333328;1,37
6;5,189652;6,104893369333329;1,58
7;5,189652;6,087158503333328;1,79
8;5,189652;6,068168453333333;1,99
9;5,189652;6,0514305766666645;2,19
10;5,182398;6,0304968059999995;2,39
11;5,182398;6,017822239333333;2,59
12;5,182398;6,00622197333333;2,80
13;5,16073;5,99293736533333;3,00
14;5,16073;5,981172708666661;3,20
15;5,16073;5,968464145999993;3,42
16;5,16073;5,9546412993333275;3,63
17;5,14091;5,943989468666662;3,83
18;5,14091;5,93361831866666;4,03
19;5,14091;5,925045772666661;4,24
20;5,14091;5,915770328666666;4,44
21;5,14091;5,906831947999998;4,65
22;5,14091;5,897471003333332;4,85
23;5,14091;5,8914916733333325;5,06
24;5,071672;5,885864305333332;5,25
25;5,071672;5,876044859999999;5,46
26;5,071672;5,8680785873333345;5,66
27;5,071672;5,8603041706666685;5,87
28;5,071672;5,852817473333336;6,07
29;5,071672;5,844425490666672;6,27
30;5,071672;5,8393232200000025;6,48
31;5,071672;5,833532543333335;6,69
32;5,071672;5,827648238666666;6,89
33;5,071672;5,8198993593333315;7,09
34;5,071672;5,81373386333333;7,30
35;5,071672;5,806909468000001;7,51
36;5,071672;5,8043607386666665;7,70
37;5,071672;5,797774384666666;7,91
38;5,071672;5,792111338;8,12
39;5,071672;5,786509347333334;8,32
40;5,071672;5,780933326000001;8,54
41;5,071672;5,777414969333334;8,75
42;5,071672;5,770574485333331;8,97
43;5,071672;5,7648724013333315;9,17
44;5,071672;5,760507753999998;9,39
45;5,071672;5,756423901999997;9,60
46;5,071672;5,751657703333332;9,82
47;5,071672;5,7479874886666655;10,02
48;5,071672;5,742808341333331;10,22
49;5,071672;5,737084297333331;10,43
50;5,071672;5,734814705999997;10,64
51;5,071672;5,731137355333332;10,84
52;5,071672;5,729340134666666;11,06
53;5,071672;5,724374667333333;11,28
54;5,071672;5,7200632673333285;11,49
55;5,071672;5,7158534479999945;11,71
56;5,071672;5,712373653999991;11,93
57;5,071672;5,707473530666659;12,15
58;5,071672;5,704028259999993;12,37
59;5,071672;5,702191143333325;12,59
60;5,071672;5,698006537333328;12,80
61;5,071672;5,696140896666664;13,03
62;5,071672;5,693081389999994;13,25
63;5,071672;5,689946849999994;13,46
64;5,071672;5,685488939333324;13,68
65;5,071672;5,6821458606666555;13,89
66;5,071672;5,6792693546666575;14,11
67;5,071672;5,67765057266666;14,32
68;5,071672;5,6747846226666585;14,54
69;5,071672;5,672735477333323;14,76
70;5,071672;5,669852304666657;14,98
71;5,071672;5,666444468666655;15,21
72;5,071672;5,664570389333323;15,43
73;5,071672;5,661738947333322;15,66
74;5,071672;5,660800705999988;15,88
75;5,071672;5,657796867333322;16,11
76;5,071672;5,654908116666655;16,34
77;5,071672;5,652662370666658;16,57
78;5,071672;5,65066819599999;16,80
79;5,071672;5,648198722666657;17,02
80;5,071672;5,6460923539999905;17,24
81;5,071672;5,643646294666657;17,46
82;5,071672;5,6413945446666585;17,67
83;5,071672;5,6394812446666585;17,91
84;5,071672;5,636266481333327;18,12
85;5,071672;5,633314089333327;18,34
