Generation;Best;Average;ElapsedSeconds
0;12,274102;13,877332859777697;0,00
1;12,219543;13,745241246222127;2,87
2;12,219543;13,654421479777685;5,81
3;12,219543;13,58727678733324;8,69
4;12,102303;13,528896905111045;11,59
5;12,102303;13,487082665777725;14,53
6;12,102303;13,451067177555498;17,55
7;12,102303;13,42076182244437;20,57
8;12,102303;13,395618869999934;23,58
9;12,102303;13,370581031777704;26,76
10;12,102303;13,34846193222214;30,04
11;12,102303;13,328730475333245;33,25
12;12,102303;13,307745899111037;36,67
13;12,102303;13,289918383999925;40,02
14;12,102303;13,276174567111022;43,61
15;12,102303;13,260349899555472;47,15
16;12,102303;13,24684823466661;50,70
17;12,102303;13,23547680955549;54,36
18;11,824965;13,221174933555508;57,96
19;11,824965;13,20816947711106;61,66
20;11,824965;13,194129320222158;65,60
21;11,824965;13,183014709999942;71,21
22;11,824965;13,17224556711105;75,93
23;11,824965;13,16282665799993;81,26
24;11,824965;13,152329412222153;88,86
25;11,824965;13,14190093288881;98,29
26;11,824965;13,13344354622214;104,98
27;11,824965;13,125423744222157;110,10
28;11,824965;13,116360440444371;115,08
29;11,824965;13,108829282222144;120,08
30;11,824965;13,099897018888802;125,11
31;11,824965;13,092314525555457;130,10
32;11,824965;13,084891463777675;134,59
33;11,824965;13,076652680444344;139,04
34;11,824965;13,070016114444337;143,60
35;11,824965;13,06502230777767;148,14
36;11,824965;13,05937985066656;152,67
37;11,824965;13,053402010888776;157,10
38;11,824965;13,047656802222118;161,67
39;11,824965;13,04155892644434;166,25
40;11,824965;13,037334319333237;170,35
41;11,824965;13,030839645333224;174,54
42;11,824965;13,02420089288878;178,87
43;11,824965;13,018052684222114;183,14
44;11,80084;13,012429008444345;187,38
45;11,80084;13,0073404828888;191,61
46;11,80084;13,001659187999909;195,98
47;11,80084;12,997200956888813;200,34
48;11,80084;12,992262698444366;204,57
49;11,80084;12,987457680444365;208,85
50;11,80084;12,982149133999924;213,16
51;11,80084;12,976967705777705;217,49
52;11,80084;12,971901790222146;221,77
53;11,80084;12,966698242666597;225,98
54;11,80084;12,962583421555491;230,24
55;11,80084;12,957832357555493;234,53
56;11,80084;12,953677213999923;238,75
57;11,80084;12,949717766666577;242,94
58;11,80084;12,944667801111025;247,18
59;11,80084;12,93954296733324;251,47
60;11,80084;12,936073871555452;255,70
61;11,80084;12,931371751333227;259,93
62;11,80084;12,927321227111008;264,14
63;11,80084;12,924197417333218;268,43
64;11,80084;12,920577201999878;272,69
65;11,80084;12,91652621311099;276,88
66;11,80084;12,912069184222101;281,04
67;11,80084;12,908945809555439;285,32
68;11,80084;12,905587183999891;289,55
69;11,788052;12,902370933111003;293,77
70;11,788052;12,899091910666556;297,98
71;11,788052;12,895748036444328;302,27
72;11,788052;12,892737172222118;306,54
