Generation;AverageBest;AverageAverage;AverageTime
0;4.9859128;6.055606567866667;0.0
1;4.972576;6.011553352666667;0.40700000000000003
2;4.9633534;5.973600071400001;0.684
3;4.9592135;5.940425788266667;0.915
4;4.945078;5.911412004533335;1.1380000000000001
5;4.9400085;5.8873279014666675;1.3800000000000001
6;4.9339004;5.8635903584000015;1.589
7;4.9306485;5.8442304526;1.787
8;4.9239054;5.824445662666665;1.983
9;4.9229576;5.807229071733334;2.179
10;4.9111247;5.7915507376000015;2.38
11;4.9107505;5.778358392466668;2.572
12;4.9106767;5.765124984666669;2.762
13;4.8982306;5.752405358666669;2.958
14;4.8982306;5.741111541600003;3.151
15;4.892417;5.729753285133336;3.341
16;4.892417;5.720436549933336;3.534
17;4.876524;5.7108546050000015;3.729
18;4.8683766;5.701618227600001;3.919
19;4.8683766;5.691870541266667;4.117
20;4.8683766;5.684100251400002;4.315
21;4.8568904;5.676904714666669;4.514
22;4.856695;5.668499919200003;4.716
23;4.8545891;5.661289630666671;4.911
24;4.8545891;5.653213648400004;5.108
25;4.8545891;5.64578091726667;5.296
26;4.8544108999999995;5.638574646800002;5.487
27;4.8543816;5.63204642726667;5.68
28;4.8543816;5.625924482333336;5.868
29;4.8503661;5.62060322986667;6.057
30;4.8503661;5.61462609826667;6.248
31;4.8503661;5.60913351146667;6.447
32;4.8503661;5.603701135533336;6.643
33;4.8503661;5.598520984466669;6.834
34;4.8497129999999995;5.593184986933335;7.022
35;4.8497129999999995;5.588503625266668;7.212
36;4.8497129999999995;5.584242706466669;7.414
37;4.8497129999999995;5.579547650666669;7.608
38;4.8497129999999995;5.574764284333336;7.804
39;4.8497129999999995;5.570196995533335;8.002
40;4.8458812;5.566213214200001;8.199
41;4.8455163;5.562654513933334;8.404
42;4.8455163;5.557916585666668;8.6
43;4.8454488;5.5539064336666675;8.795
44;4.8453882;5.550202822733334;8.99
45;4.8453882;5.546022911933335;9.186
46;4.8440615000000005;5.542531521333335;9.376
47;4.8437203;5.538688347000002;9.569
48;4.8421889;5.534660854933335;9.769
49;4.8392068;5.530949191933335;9.961
50;4.8375507;5.527150771800002;10.147
51;4.8375507;5.523579396066668;10.338
52;4.8375507;5.520034693666668;10.536
53;4.8375507;5.516697881;10.727
54;4.8375507;5.513678925200001;10.921
55;4.8349293;5.509831309733335;11.118
56;4.8349293;5.5065527084666686;11.31
57;4.8349293;5.504053354133335;11.51
58;4.8349293;5.501084456333335;11.716
59;4.8333766;5.497986895933335;11.919
60;4.8333766;5.4947550650000005;12.127
61;4.8333766;5.491773873933335;12.325
62;4.8333766;5.488580135400001;12.524000000000001
63;4.8333766;5.485585086000002;12.715
64;4.8333766;5.483130347200001;12.908999999999999
65;4.8333766;5.480410274200001;13.105
66;4.8333766;5.4773197277333345;13.306
67;4.8333766;5.474144212333334;13.501
68;4.8333766;5.471728573466668;13.699
69;4.8333766;5.469343367600001;13.895
70;4.8326282;5.466862218400001;14.099
71;4.8326282;5.4644802858000014;14.301
72;4.8326282;5.461955134933334;14.503
73;4.8325911;5.459464208933334;14.705
74;4.8325911;5.457250665600002;14.902
75;4.8325911;5.454682108666669;15.098
76;4.8325911;5.452055588666668;15.306
77;4.8325911;5.449694486200001;15.503
78;4.8318138;5.4470948356000015;15.697
79;4.8318138;5.444688991400002;15.905
80;4.8301797;5.4426037490000025;16.107
81;4.8301797;5.44060176706667;16.308
82;4.8301797;5.438402724733336;16.503
83;4.8301797;5.436234402400003;16.699
84;4.8301797;5.434298857866669;16.893
85;4.8301797;5.432093622333335;17.086
86;4.8301797;5.429943616133335;17.281
87;4.8301797;5.427961643666668;17.486
88;4.8301797;5.426181642000001;17.692
89;4.8301035;5.424005514666669;17.894
90;4.8301035;5.422048204800002;18.091
91;4.8300386;5.419875769466669;18.296
92;4.8300386;5.417737752066669;18.499
93;4.8298443;5.416058157933335;18.707
94;4.8298443;5.414250790333335;18.915
95;4.8298443;5.4125238854000015;19.124
96;4.829767;5.4109336218666675;19.337
97;4.829767;5.409395292133334;19.545
98;4.829352;5.407559230133335;19.747
99;4.829352;5.405902891066668;19.948999999999998
100;4.829352;5.404196095800002;20.154
101;4.829352;5.402493068666669;20.356
102;4.829352;5.400679244333337;20.555
103;4.829352;5.39943973106667;20.750999999999998
104;4.829352;5.397776566000003;20.951999999999998
105;4.829352;5.396174092533336;21.152
106;4.829352;5.39474988626667;21.365000000000002
107;4.829352;5.392821561933337;21.567999999999998
108;4.8291475;5.391200710400003;21.774
109;4.8291475;5.3899140069333376;21.989
110;4.8291475;5.388313413466671;22.195
111;4.8290858;5.386629311333337;22.407
112;4.8287381;5.385402489600002;22.618
113;4.8287381;5.384065809933336;22.826
114;4.8287381;5.3823396395333365;23.045
115;4.8287381;5.380776092733337;23.27
116;4.8287381;5.37926059786667;23.487
117;4.8287381;5.37826520646667;23.7
118;4.8273347;5.376535579800003;23.911
119;4.8273347;5.37524012446667;24.128
120;4.8273347;5.373766120466669;24.334
121;4.8273347;5.372019625400003;24.55
122;4.8273347;5.370683231600004;24.757
123;4.8265102;5.369122955866669;24.965
124;4.8265102;5.36785451466667;25.177
125;4.8265102;5.366534664666671;25.382
126;4.8265102;5.365036024933338;25.593
127;4.8265102;5.3636138447333375;25.813
128;4.8265102;5.362318042066671;26.022
129;4.8262932;5.361153572133338;26.239
130;4.8249993;5.359922783333338;26.456
131;4.8249993;5.358610232866672;26.675
132;4.8249993;5.357436816933339;26.902
133;4.8249993;5.356221488266671;27.124
134;4.8247524;5.355041152800005;27.351
135;4.8247524;5.353531136333337;27.573
136;4.8247524;5.35239417506667;27.799
137;4.8217228;5.351215243066671;28.016000000000002
138;4.8217228;5.349903579333338;28.233999999999998
139;4.8217228;5.348735293000004;28.454
140;4.8217228;5.347577153933337;28.68
141;4.8217228;5.346324202133337;28.896
142;4.8217228;5.345111542066669;29.119
143;4.8217228;5.343988680333336;29.34
144;4.821544;5.3428458778666705;29.558
145;4.821544;5.3417155416666695;29.779
146;4.821544;5.340692668266669;29.997
147;4.821544;5.339694416000003;30.224
148;4.821544;5.338698865000003;30.444
149;4.8214482;5.337706241533336;30.659
150;4.8214482;5.336695670133336;30.881999999999998
151;4.8214482;5.33568434666667;31.095
152;4.8214482;5.334331859933337;31.313
153;4.8212805;5.33324718106667;31.524
154;4.8212805;5.332124397000003;31.744
155;4.8212805;5.331145144200002;31.965
156;4.8212805;5.330321334266669;32.175
157;4.8212805;5.329069823600002;32.396
158;4.8212805;5.327828639733336;32.615
159;4.8212047;5.326777646933336;32.833
160;4.8212047;5.325907813733336;33.045
161;4.8212047;5.32497539946667;33.263
162;4.8205874;5.323936353533336;33.49
163;4.8192592;5.3229546479333365;33.716
164;4.8192592;5.321922749733336;33.942
165;4.8192592;5.3209850170000035;34.175
166;4.8192592;5.320146013533337;34.406
167;4.8192592;5.31886860446667;34.629
