Generation;Best;Average;ElapsedSeconds
0;7,58608;9,139899807333304;0,00
1;7,58608;9,088240071333304;0,38
2;7,58608;9,03817071399998;0,67
3;7,573345;8,997385387999984;0,88
4;7,573345;8,95698275199999;1,07
5;7,573345;8,920677541333319;1,26
6;7,556533;8,889860877999991;1,46
7;7,556533;8,861850237333323;1,65
8;7,556533;8,836417561999996;1,84
9;7,556533;8,811824493999996;2,03
10;7,53518;8,788868196000006;2,23
11;7,501121;8,765567192666671;2,43
12;7,501121;8,749316638666667;2,60
13;7,501121;8,73224157;2,79
14;7,501121;8,717957018;2,98
15;7,501121;8,702976346666661;3,17
16;7,501121;8,688353390666661;3,35
17;7,469409;8,668579271333334;3,53
18;7,469409;8,657839954;3,72
19;7,469409;8,644861641999997;3,91
20;7,469409;8,63827756866666;4,08
21;7,469409;8,622875716666663;4,26
22;7,469409;8,610074026666664;4,43
23;7,469409;8,601156661333333;4,61
24;7,469409;8,58857320866667;4,79
25;7,469409;8,578896084666669;4,98
26;7,469409;8,570327583333334;5,17
27;7,469409;8,557713918666668;5,36
28;7,469409;8,550737484;5,55
29;7,469409;8,546280757333333;5,74
30;7,469409;8,537607309999999;5,92
31;7,469409;8,530385508666658;6,12
32;7,469409;8,52517719799999;6,30
33;7,469409;8,515038447999991;6,48
34;7,469409;8,507871301333326;6,66
35;7,469409;8,500739012666667;6,84
36;7,469409;8,493155548666664;7,03
37;7,469409;8,486211392666663;7,23
38;7,469409;8,48208755733333;7,41
39;7,469409;8,478673798666666;7,59
40;7,469409;8,471169377999995;7,78
41;7,469409;8,46410237733333;7,97
42;7,469409;8,45845538266666;8,16
43;7,469409;8,455624519333329;8,35
44;7,469409;8,452921593999998;8,53
45;7,469409;8,450471184666666;8,71
46;7,447063;8,445350455333335;8,89
47;7,4461;8,44031919933333;9,08
48;7,4461;8,436630855999997;9,27
49;7,4461;8,433224669999998;9,45
50;7,4461;8,428472086666664;9,63
51;7,4461;8,423038828666664;9,82
52;7,4461;8,41778070733333;9,99
53;7,4461;8,413419518666661;10,18
54;7,4461;8,409712565333324;10,37
55;7,4461;8,403778965333323;10,55
56;7,4461;8,400674433999994;10,75
57;7,439972;8,39659995666666;10,93
58;7,439972;8,392151023999991;11,12
59;7,439972;8,388426585999996;11,32
60;7,439972;8,385315175999995;11,52
61;7,439972;8,38088111466666;11,72
62;7,396189;8,378468452666661;11,91
63;7,396189;8,375919128666657;12,11
64;7,396189;8,373142855333324;12,30
65;7,396189;8,370374180666657;12,50
66;7,396189;8,367642649333321;12,68
67;7,396189;8,364260048666658;12,87
68;7,396189;8,36181288399999;13,07
69;7,396189;8,359181468666657;13,26
70;7,396189;8,35663316599999;13,45
71;7,396189;8,353637700666658;13,65
72;7,396189;8,349771339333323;13,84
73;7,396189;8,34705360266666;14,05
74;7,396189;8,344414361333326;14,23
75;7,396189;8,340774143999994;14,44
76;7,396189;8,33841073399999;14,63
77;7,396189;8,33491622399999;14,85
78;7,396189;8,33335038133332;15,06
79;7,396189;8,33043059933332;15,26
80;7,396189;8,327235935999985;15,47
81;7,396189;8,323451763999985;15,67
82;7,396189;8,320446128666651;15,89
83;7,396189;8,317737751999985;16,11
84;7,396189;8,31565354266665;16,34
85;7,396189;8,313917044666653;16,58
86;7,396189;8,312961698666655;16,81
87;7,396189;8,31085944933332;17,02
88;7,396189;8,308872597333322;17,24
89;7,396189;8,307517846666654;17,45
90;7,396189;8,303640169999987;17,67
91;7,396189;8,300739113999985;17,87
92;7,396189;8,299566924666653;18,08
93;7,320407;8,296728969999988;18,29
94;7,320407;8,29511082599999;18,48
95;7,320407;8,291123943333325;18,69
96;7,320407;8,290418493999992;18,90
97;7,320407;8,288857294666657;19,10
98;7,320407;8,286918945333325;19,30
99;7,320407;8,285005097333322;19,51
100;7,320407;8,28346793533332;19,71
