Generation;AverageBest;AverageAverage;AverageTime
0;10.1364747;11.899411560933329;0.001
1;10.0990401;11.779298574133325;1.178
2;10.0898059;11.693283864033333;2.322
3;10.036361;11.625419134833331;3.445
4;9.9999929;11.570551695399999;4.533
5;9.995193500000001;11.521928216966664;5.635
6;9.9929478;11.481880386933335;6.763
7;9.9732362;11.448188593266675;7.856
8;9.9678721;11.417424077666675;8.924
9;9.9271201;11.387947672833338;10.023
10;9.9271201;11.363377374599997;11.172
11;9.9245291;11.339673337833332;12.29
12;9.9154447;11.318365803699995;13.402
13;9.8581066;11.299040981999998;14.528
14;9.8540364;11.281309142466663;15.677
15;9.8431084;11.264213179433328;16.842
16;9.8378657;11.248445321099995;18.033
17;9.8378657;11.233536007533324;19.181
18;9.8373666;11.218631448499988;20.358
19;9.833927599999999;11.205105759833325;21.567
20;9.8338044;11.192712323233325;22.802
21;9.8023689;11.181584589499991;24.024
22;9.797139;11.170285105533324;25.238
23;9.7947134;11.158877774199992;26.465
24;9.7947134;11.14791324506666;27.719
25;9.7865555;11.137311850533326;28.991
26;9.7856801;11.127541141566661;30.246000000000002
27;9.7839322;11.117964867733331;31.509999999999998
28;9.7797305;11.109098010733332;32.779
29;9.7797305;11.101147068899998;34.064
30;9.7797305;11.092812158;35.377
31;9.7797305;11.085170282233335;36.687
32;9.7768584;11.077598575433333;37.980000000000004
33;9.7768584;11.070111734233336;39.285
34;9.746224;11.062904767166668;40.6
35;9.7437365;11.056126847366667;42.002
36;9.7371046;11.049286816333332;43.382
37;9.7305343;11.042998347733331;44.756
38;9.6959756;11.036678922566661;46.135
39;9.695352;11.030027210766661;47.516
40;9.695352;11.024390110333327;48.932
41;9.695352;11.017564247199994;50.341
42;9.6521865;11.011500274799992;51.76
43;9.6439064;11.005250980033324;53.183
44;9.6439064;10.999548788533327;54.615
45;9.6439064;10.994102802299992;56.041
46;9.6409975;10.988419722033328;57.505
47;9.6409975;10.983395865666662;58.961
48;9.6404697;10.978614040199997;60.437
49;9.6383067;10.973814876099999;61.922
50;9.6325983;10.9685736838;63.4
51;9.6325983;10.963554898933333;64.881
52;9.6325983;10.958818875333334;66.359
53;9.6288213;10.953896240666667;67.851
54;9.6243483;10.949894015866668;69.37
55;9.6243483;10.945379989766668;70.873
56;9.6179754;10.940565996400002;72.383
57;9.6179754;10.9358391534;73.909
58;9.6179754;10.931673744266664;75.42699999999999
59;9.6179754;10.927650886666664;76.963
60;9.6158755;10.9231925033;78.509
61;9.6158755;10.919287476799997;80.087
62;9.6105605;10.914906984033331;81.638
63;9.6105605;10.911370198699998;83.211
64;9.6105605;10.907742595966663;84.791
65;9.6087315;10.903818936766664;86.36500000000001
66;9.6087315;10.900253640333329;87.979
67;9.6087315;10.89695142696666;89.575
68;9.6087315;10.89348923676666;91.177
69;9.6074702;10.890182907333326;92.762
70;9.6074702;10.886849835933326;94.366
71;9.6074702;10.883683184199993;95.974
72;9.6074702;10.88053494566666;97.59100000000001
73;9.6074702;10.877359923999993;99.219
74;9.6074702;10.87401495356666;100.825
75;9.6052958;10.87093462076666;102.446
76;9.6009508;10.867875362633328;104.085
77;9.5987051;10.864433098399994;105.727
78;9.595958;10.861268284033327;107.351
79;9.595958;10.858236742866659;108.987
80;9.595958;10.855346431499994;110.628
81;9.5953967;10.852500001399992;112.26
82;9.5876214;10.849478612666658;113.923
