Generation;Best;Average;ElapsedSeconds
0;8,149283;9,213981919333351;0,00
1;8,149283;9,148974382000025;0,33
2;7,66132;9,091842352666697;0,54
3;7,573978;9,049596052666702;0,75
4;7,573978;9,011838232666701;0,96
5;7,573978;8,974118074666709;1,17
6;7,573978;8,944549999333375;1,37
7;7,573978;8,91153128333337;1,57
8;7,573978;8,88817654933337;1,77
9;7,5659980000000004;8,87249109733337;1,97
10;7,5659980000000004;8,84796488533337;2,18
11;7,5659980000000004;8,826982092000039;2,38
12;7,5659980000000004;8,805011138000033;2,58
13;7,5659980000000004;8,78395529000003;2,78
14;7,559615;8,763035356000026;2,98
15;7,559615;8,746567534000029;3,19
16;7,559615;8,733025265333366;3,39
17;7,559615;8,71783361333336;3,59
18;7,559615;8,705704226000027;3,79
19;7,439719;8,690562946000027;3,99
20;7,439719;8,67572776333336;4,19
21;7,439719;8,665998836666693;4,40
22;7,439719;8,653132657333355;4,60
23;7,439719;8,645289462666687;4,81
24;7,433748;8,636689336000023;5,01
25;7,433748;8,628591266666692;5,22
26;7,433748;8,620999399333359;5,42
27;7,433748;8,613670111333361;5,62
28;7,433748;8,606181588666692;5,82
29;7,433748;8,59872164266669;6,02
30;7,433748;8,589118913333355;6,23
31;7,433748;8,58067409533335;6,42
32;7,433748;8,575531152000016;6,63
33;7,42579;8,571536510666682;6,84
34;7,42579;8,566503554666685;7,05
35;7,42579;8,563159846666686;7,25
36;7,42579;8,556950036000018;7,45
37;7,42579;8,55213888400002;7,66
38;7,42579;8,543987490666684;7,86
39;7,42579;8,538527193333348;8,06
40;7,42579;8,530666152000009;8,28
41;7,42579;8,524099492666679;8,49
42;7,42579;8,518312638666679;8,69
43;7,42579;8,513925475333341;8,91
44;7,42579;8,50933634133334;9,12
45;7,42579;8,503338200666668;9,32
46;7,42579;8,50102739333334;9,52
47;7,42579;8,497090052000006;9,71
48;7,42579;8,493791252666668;9,92
49;7,42579;8,491473123999999;10,13
50;7,42579;8,487528444666665;10,33
51;7,407079;8,482754098666666;10,53
52;7,407079;8,476206390666665;10,73
53;7,407079;8,473012868000001;10,94
54;7,407079;8,467882174000005;11,16
55;7,407079;8,464488308000002;11,38
56;7,407079;8,460697328666669;11,60
57;7,407079;8,458392706000007;11,82
58;7,407079;8,45592967733334;12,03
59;7,354068;8,452924578666671;12,25
60;7,354068;8,44857792066667;12,48
61;7,354068;8,445643872666668;12,69
62;7,354068;8,442330490666667;12,90
63;7,354068;8,441350325333335;13,11
64;7,354068;8,437378297333336;13,32
65;7,354068;8,435778672666672;13,53
66;7,354068;8,433443546000003;13,74
67;7,354068;8,429757378000003;13,96
68;7,354068;8,42599249266667;14,17
69;7,354068;8,423354982666671;14,38
70;7,354068;8,41969091266667;14,59
