Generation;AverageBest;AverageAverage;AverageTime
0;12.206092;14.122211195666665;0.0
1;12.148068;13.977803793022222;3.6310000000000002
2;12.0542899;13.875793192733333;7.271
3;12.0542899;13.799342104622221;10.876000000000001
4;12.0514416;13.740404064066665;14.531
5;12.0495487;13.690660723711112;18.136
6;12.0364142;13.647907782933336;21.893
7;12.0311999;13.611853224733332;25.63
8;12.0246225;13.580649403200004;29.489
9;11.9588856;13.552579669777781;33.398
10;11.9570496;13.527003978577778;37.296
11;11.9549416;13.503887605844442;41.229
12;11.951171500000001;13.48167918466667;45.204
13;11.9476181;13.46105778502222;49.198
14;11.9284799;13.44220727195555;53.246
15;11.9273225;13.424624102399996;57.323
16;11.9210545;13.408269360933323;61.456
17;11.9150624;13.393028655044432;65.759
18;11.9088825;13.37841777848888;70.075
19;11.9088825;13.36523886248888;74.343
20;11.90799;13.351631950688882;78.662
21;11.90799;13.338769622111109;83.043
22;11.90799;13.327668775977774;87.441
23;11.9023276;13.316142448999992;91.882
24;11.8502232;13.305268472177772;96.387
25;11.8488044;13.295209744533324;100.935
26;11.8476962;13.285727099822218;105.464
27;11.845539200000001;13.275531948422215;110.03
28;11.793734;13.26680124688888;114.54599999999999
29;11.789589;13.2572712287111;119.003
30;11.710292299999999;13.249210286822212;123.665
31;11.710292299999999;13.240258269688884;128.23
32;11.7078775;13.232311257555546;132.851
33;11.6991213;13.224304162311102;137.483
34;11.6970933;13.21646064008888;142.182
35;11.6943174;13.208378229422213;146.85
36;11.6419714;13.201177951999991;151.647
37;11.6419714;13.194473086688879;156.394
38;11.6419714;13.187285515488881;161.165
39;11.6419714;13.18002998602221;166.001
40;11.6358866;13.173628647444437;170.95
41;11.6358866;13.167567658577767;175.774
42;11.6358866;13.16137003177777;180.674
43;11.63328;13.155120392733329;185.566
44;11.63328;13.149635970155552;190.43
45;11.5720956;13.143898837133332;195.365
46;11.5720956;13.138282161711109;200.298
47;11.5720956;13.132535102511108;205.127
48;11.569964;13.127204218577774;210.082
49;11.5696335;13.121476391622217;215.034
50;11.5681102;13.116311040288885;219.962
51;11.5681102;13.110725988422217;224.97
52;11.5681102;13.10582559864444;229.99699999999999
53;11.5681102;13.101593096222217;235.12
54;11.5666912;13.096882443844438;240.178
55;11.559076;13.091559506999992;245.162
56;11.559076;13.086646758533325;250.316
57;11.559076;13.082300614333327;255.441
58;11.559076;13.077736998733325;260.548
59;11.558683;13.073171508933326;265.616
60;11.5555419;13.069047278155548;270.701
61;11.5555419;13.06499690517777;275.725
62;11.5555419;13.061025077622212;280.717
63;11.5555419;13.056817764288878;285.693
64;11.5555419;13.052176286599991;290.752
65;11.5555419;13.048138362911105;295.78
66;11.5555419;13.044481436155548;300.75800000000004
67;11.5555419;13.040528821511101;305.919
68;11.5543131;13.036884734666655;311.039
69;11.5543131;13.033006162577768;316.176
70;11.5543131;13.029142959711104;321.282
71;11.5543131;13.025617255999991;326.33
72;11.5543131;13.02197847175555;331.421
73;11.5543131;13.01848771246666;336.568
74;11.5543131;13.014831694755548;341.661
75;11.5492469;13.011471278333326;346.81
76;11.5492469;13.008049137911103;351.953
77;11.5492469;13.00495049928888;357.165
78;11.5492469;13.001793330088882;362.299
79;11.5492469;12.99838829206666;367.462
80;11.5492469;12.99508906906666;372.684
81;11.5492469;12.991910605333326;377.794
82;11.5492469;12.988672038133327;382.91
83;11.5492469;12.985357234622214;388.076
84;11.5492469;12.982424608555545;393.257
85;11.5492469;12.9793400829111;398.441
86;11.5395247;12.976672037444436;403.547
87;11.535242499999999;12.973606446355546;408.702
88;11.5345165;12.970324056155546;413.998
89;11.5345165;12.967713693444434;419.2
90;11.5345165;12.964572616155547;424.346
91;11.5345165;12.961608268022212;429.53200000000004
92;11.5345165;12.958716753399992;434.687
93;11.5345165;12.956204029955549;439.722
94;11.5328127;12.953218749999994;444.791
95;11.4772289;12.95085396402222;449.963
96;11.4740602;12.948421781533328;455.162
97;11.4740602;12.945920289888884;460.411
98;11.4740602;12.943391597066661;465.552
99;11.473729;12.94078852184444;470.812
100;11.473729;12.938376524733329;476.079
101;11.4720874;12.935919455266664;481.31899999999996
102;11.4720064;12.933286532999997;486.553
103;11.4653374;12.930872546666663;491.808
104;11.4653374;12.928650418244441;497.151
105;11.4653374;12.926172440799998;502.352
106;11.4653374;12.923688788688883;507.511
107;11.4653374;12.921499577022214;512.81
108;11.4647188;12.91941516015555;518.159
109;11.4647188;12.917286772533325;523.534
110;11.4620726;12.915127253711102;529.118
111;11.4617328;12.913197915244433;534.441
112;11.4617328;12.911081748533325;539.657
113;11.4617328;12.908752937733325;545.002
114;11.4617328;12.906276970177768;550.458
115;11.4617328;12.90417449699999;555.876
116;11.4617328;12.902140740599991;561.342
117;11.4617328;12.900305060355548;566.764
118;11.4617328;12.89819852477777;572.335
119;11.4617328;12.896008392444436;577.71
120;11.461095700000001;12.893892423644434;583.096
121;11.460598000000001;12.891819959355548;588.482
122;11.460598000000001;12.889765826977769;593.875
123;11.4580521;12.887619579799994;599.302
124;11.4580521;12.885583487799993;604.652
125;11.4576699;12.883615617533325;610.068
126;11.4576699;12.881529186088883;615.37
127;11.4576699;12.879569842599993;620.724
128;11.4576699;12.877645011266662;626.109
129;11.4573096;12.87564029555555;631.467
130;11.4547665;12.873737290288883;637.003
131;11.4547665;12.87198455704444;642.4359999999999
132;11.4547665;12.870159527533328;647.796
133;11.450519400000001;12.868219458222217;653.241
134;11.448011900000001;12.866236876177771;658.648
135;11.448011900000001;12.864310060377768;664.215
136;11.448011900000001;12.862513665977767;669.592
137;11.4468073;12.86065394279999;675.037
138;11.4275158;12.85907714788888;680.54
139;11.4275158;12.857272041666661;685.98
140;11.4271683;12.855449791511104;691.53
141;11.4263043;12.85349466195555;697.048
142;11.4263043;12.851796326511105;702.609
143;11.4263043;12.84990576999999;708.047
144;11.4263043;12.848268297066657;713.735
145;11.418959000000001;12.845725332977768;719.188
146;11.418959000000001;12.843944911422213;724.627
147;11.418959000000001;12.842079147955547;729.987
148;11.418959000000001;12.840591133244438;735.413
149;11.418959000000001;12.838989772177772;740.8870000000001
150;11.418959000000001;12.837336614133326;746.293
151;11.4163044;12.835648183711104;751.681
152;11.4163044;12.834009657288881;757.198
153;11.4163044;12.832216689733329;762.655
154;11.4148764;12.830712313222218;768.109
155;11.4148764;12.829070371555554;773.662
156;11.4148764;12.827527198133332;779.196
157;11.4148764;12.82567171888889;784.646
158;11.4148764;12.823991171866668;790.167
159;11.4143889;12.822415074688887;795.698
160;11.4143889;12.820719981155554;801.1800000000001
161;11.4143889;12.818997223755554;806.726
162;11.4143889;12.817410916977773;812.271
163;11.413721299999999;12.816016940444442;817.959
164;11.413721299999999;12.814418432422219;823.616
165;11.413721299999999;12.8128232318;829.205
166;11.413721299999999;12.811315589799996;834.897
167;11.4134729;12.80993819911111;840.537
168;11.4134729;12.808502274177776;846.173
169;11.4134729;12.807140422555554;851.745
170;11.4119825;12.805614567666662;857.311
171;11.4119825;12.80405251031111;863.075
172;11.4119825;12.802547129799997;868.846
173;11.4119825;12.800998806933329;874.486
174;11.4119825;12.799280108733331;880.136
175;11.4119825;12.797865236288885;885.805
176;11.4119825;12.796070844977775;891.466
177;11.4119825;12.794617347555553;897.228
178;11.4119461;12.793161454244444;902.845
179;11.4119461;12.791741965288887;908.611
180;11.4119461;12.790236307044447;914.35
181;11.4108971;12.788800853466666;920.034
182;11.4003306;12.787373018911113;925.701
183;11.4003306;12.785962019711112;931.352
184;11.4002786;12.784599424822224;937.064
185;11.3513767;12.783292636777777;942.819
186;11.3508945;12.781980100666663;948.473
187;11.3508945;12.780709911666664;954.246
188;11.3505885;12.779503927799999;959.972
189;11.3505885;12.77823087322222;965.733
190;11.3505885;12.776824792511109;971.345
191;11.3505885;12.775459081288886;977.028
192;11.3505885;12.77397946482222;982.73
193;11.3505885;12.772726027888886;988.492
194;11.3505885;12.771209653866663;994.201
195;11.3505885;12.770043016533332;999.976
196;11.3505885;12.768742934444445;1005.741
197;11.3504207;12.7673720902;1011.52
198;11.3504207;12.766188058844444;1017.375
199;11.3504207;12.765058053444442;1023.242
200;11.348307;12.76386217442222;1028.977
201;11.348307;12.762652753644442;1034.71
202;11.3480756;12.76149169742222;1040.514
203;11.3480756;12.76000908871111;1046.365
204;11.347509500000001;12.758825964599998;1052.385
205;11.347509500000001;12.757540730755554;1058.2060000000001
206;11.347509500000001;12.756357009333332;1064.086
207;11.3465112;12.755202805977776;1070.054
208;11.3465112;12.753962519111111;1075.989
209;11.3465112;12.752728866888887;1082.098
210;11.342410600000001;12.751701141244446;1088.17
211;11.342410600000001;12.750596965955557;1094.35
212;11.342410600000001;12.749509709555557;1100.378
213;11.342410600000001;12.74841391526667;1106.414
214;11.342084;12.74727637317778;1112.507
215;11.342084;12.746376203355556;1118.521
216;11.342084;12.745195493733332;1124.61
217;11.342084;12.74406467233333;1130.776
218;11.342084;12.742861715333332;1136.941
219;11.341744;12.741699073155555;1143.01
220;11.341744;12.740602889333333;1149.164
221;11.341744;12.739547403866668;1155.35
222;11.3367121;12.738385277777779;1161.529
223;11.3367121;12.737196526066667;1167.618
224;11.3352145;12.73632432617778;1173.75
225;11.3326087;12.7351979566;1180.047
226;11.3326087;12.733943452822222;1186.106
227;11.3318858;12.73294033746667;1192.468
228;11.3318858;12.731890816644448;1198.964
229;11.3318858;12.731041575422225;1205.356
230;11.3318858;12.72990808366667;1211.664
231;11.3318858;12.728843126200005;1218.065
232;11.3318858;12.72771327924445;1224.19
233;11.3318858;12.726815879400004;1230.614
234;11.3318858;12.725909043688892;1237.213
235;11.3318858;12.724859458333338;1243.435
236;11.3318858;12.723884320600003;1249.735
237;11.3318858;12.722903665688891;1256.252
238;11.3318858;12.721968041000004;1262.952
