Generation;AverageBest;AverageAverage;AverageTime
0;22.8069784;25.16897409306664;0.0
1;22.7687963;25.127177241133296;4.534
2;22.8645803;25.11110940428885;8.969
3;22.6938321;25.096818424666612;13.646
4;22.8120223;25.094122484199954;18.357
5;22.6543177;25.087652760044417;23.054000000000002
6;22.5047974;25.077921646955495;27.883
7;22.5175355;25.073646964844393;32.834
8;22.5975996;25.067697269466617;37.72
9;22.5206338;25.062511054666626;42.778
10;22.500452;25.052831378333302;47.818
11;22.7085859;25.04803151457775;53.032
12;22.5600067;25.045273224311075;58.22
13;22.6679486;25.038967181355503;63.436
14;22.5779855;25.031562428222173;68.649
15;22.605286800000002;25.030427603488846;74.029
16;22.6603516;25.023139224777747;79.358
17;22.600485;25.0185354211555;84.82
18;22.5280133;25.01609477748886;90.233
19;22.559061;25.00974841104443;95.674
20;22.5711401;25.004760212355546;101.25200000000001
21;22.527549;24.99451087719996;106.904
22;22.5599583;24.98843669473328;112.619
23;22.4726265;24.98401968942218;118.361
24;22.4619473;24.973948998577736;123.978
25;22.4637418;24.976041845599962;129.536
26;22.4896737;24.971481811555506;135.25300000000001
27;22.507518;24.969762775266624;140.946
28;22.6454504;24.96307270515552;146.488
29;22.5497939;24.95566969102218;152.135
30;22.5143314;24.951467388311055;157.806
31;22.5013759;24.952111473311064;163.509
32;22.5528078;24.945733889666634;169.091
33;22.5577949;24.936735305666637;174.67000000000002
34;22.5372562;24.929627134199972;180.357
35;22.4886485;24.922170492777745;185.841
36;22.5574621;24.918370166177738;191.382
37;22.626926;24.914099653111073;196.816
38;22.5586134;24.909209438355507;202.25900000000001
39;22.5833281;24.90793162766663;207.93099999999998
40;22.4736841;24.90560945622218;213.607
41;22.467859;24.899917871022204;219.22299999999998
42;22.5621752;24.8968442825333;224.986
43;22.5150137;24.897040402799988;230.725
44;22.5022463;24.894830802599973;236.422
45;22.5757167;24.883331287311087;242.193
46;22.479710400000002;24.878518721422203;247.699
47;22.4226143;24.87528186937775;253.295
48;22.4156412;24.86763241771108;258.778
49;22.434176400000002;24.859313804311068;264.209
50;22.4415086;24.852233815888837;269.722
51;22.4330203;24.843703337044406;275.232
52;22.4842314;24.840381513311076;280.663
53;22.3314072;24.83410210597776;286.138
54;22.3422995;24.831259786955524;291.63599999999997
55;22.3384026;24.825392970799975;297.286
56;22.3880924;24.822070714288856;302.908
57;22.3368599;24.81638729939996;308.342
58;22.4353588;24.813406761333287;313.851
59;22.4203929;24.80814820159994;319.381
60;22.3986883;24.804623368577726;324.919
61;22.4569301;24.80134121293329;330.39099999999996
62;22.4827729;24.796116863022196;335.784
63;22.446179700000002;24.79430874953331;341.151
64;22.4201021;24.788582955333315;346.461
65;22.4307069;24.78306333128886;351.873
66;22.417362400000002;24.779336517666636;357.211
67;22.4326492;24.77006335715552;362.567
68;22.421694000000002;24.76632688022218;367.932
69;22.4217291;24.762209305666634;373.221
70;22.3837441;24.756271970799975;378.876
71;22.394104900000002;24.752895009377752;384.189
72;22.4039361;24.7479885005333;389.50800000000004
73;22.4488021;24.745074129511075;394.916
74;22.4667745;24.73751069122218;400.428
75;22.4617396;24.731746111311086;405.942
76;22.4170693;24.727786227933315;411.343
77;22.4226559;24.724408870111095;416.906
78;22.407991799999998;24.72227652199997;422.439
79;22.3896011;24.715722022444407;428.186
80;22.4638041;24.710933271911074;433.78
81;22.3863551;24.704948987511088;439.283
82;22.4508104;24.70202385186664;444.647
83;22.4499095;24.69814151008887;450.094
84;22.4218115;24.69109844266665;455.55
85;22.4193868;24.685576428266653;461.052
86;22.3142461;24.676860306933314;466.615
87;22.2973299;24.673744105177757;472.072
88;22.3035986;24.67327599859998;477.526
89;22.3603272;24.668414996266648;483.111
90;22.3607661;24.662680421466632;488.575
91;22.3947413;24.65867392717776;493.986
92;22.3139681;24.654904515066633;499.605
93;22.3158288;24.649399800244435;505.058
94;22.3597889;24.643654843866642;510.62
95;22.304159900000002;24.638070723599974;516.154
96;22.3084748;24.62959540997776;521.722
97;22.3076794;24.625627236533315;527.304
98;22.3207908;24.623269745466636;532.832
99;22.3060262;24.618570150755524;538.379
100;22.3017028;24.615315935199956;543.994
101;22.2970449;24.609718435488855;549.497
102;22.300286;24.60372488668888;555.052
103;22.2774682;24.598796201933318;560.559
104;22.304416200000002;24.59453727006666;566.18
105;22.3018758;24.588928346422215;571.731
106;22.3032524;24.585997601222214;577.172
107;22.2204497;24.58082038133332;582.784
108;22.2208544;24.577981566711074;588.346
109;22.2634498;24.57321992159997;593.923
110;22.2854746;24.565724295422207;599.618
111;22.2821213;24.561208366533307;605.38
112;22.2662814;24.554963798288863;611.112
113;22.3063823;24.54997736279996;616.6800000000001
114;22.3116969;24.54590921237775;622.35
115;22.3285634;24.540320842999964;627.984
116;22.3488127;24.534712635911067;633.632
117;22.3325254;24.532631513088845;639.249
118;22.304245299999998;24.52521441837773;645.119
119;22.3233109;24.523911391777723;650.908
120;22.3199619;24.519677479644407;656.654
121;22.3069893;24.516083220355515;662.388
122;22.2810259;24.508720212955517;667.992
123;22.3208545;24.50541072408886;673.5989999999999
124;22.316262299999998;24.50219939524442;679.254
125;22.3188016;24.49613360337775;684.83
126;22.3086026;24.496250408999984;690.451
127;22.3054778;24.492982096222203;695.975
128;22.3183262;24.4858010701111;701.575
129;22.241163;24.47802671257777;707.143
130;22.2650776;24.474660554577763;712.753
131;22.2719077;24.47010898886664;718.364
132;22.2582455;24.4672849997111;723.91
133;22.263069299999998;24.46463380644444;729.438
134;22.3203213;24.456303770488876;735.151
135;22.3230473;24.450739682866644;740.854
136;22.3500694;24.444510512577754;746.553
137;22.3227833;24.439765003199973;752.138
138;22.3217918;24.434890906888857;757.877
139;22.2097403;24.431405221111085;763.588
140;22.2097355;24.42567088206662;769.271
141;22.2621226;24.42575673099995;774.836
142;22.3200877;24.420622113066617;780.534
143;22.3289517;24.41611662428884;786.229
144;22.3200742;24.408057994488846;791.941
145;22.3204186;24.402523066644402;797.763
146;22.3204186;24.397938162155526;803.528
147;22.3177106;24.39772288275553;809.293
148;22.330222;24.391199768177742;815.077
149;22.3275725;24.385521826999963;820.87
150;22.3301182;24.383437937888868;826.749
151;22.3511843;24.378722261222197;832.642
152;22.3476595;24.374104130977763;838.461
153;22.3424711;24.369885252177756;844.16
154;22.3058185;24.36552558386664;849.837
155;22.3208416;24.35933683455553;855.811
156;22.3226759;24.356469742377758;861.729
157;22.2609082;24.353730825933297;867.75
158;22.2678712;24.348616771622197;873.848
159;22.2713479;24.34224477288886;879.924
160;22.2411373;24.344540189555524;885.871
161;22.2310527;24.339324227955515;891.898
162;22.232841;24.332700059088843;897.966
163;22.2345248;24.32667288428884;904.039
164;22.24035;24.3246771948444;910.107
165;22.2401062;24.320624022577736;916.096
166;22.2370964;24.31374879982217;922.068
167;22.2402148;24.309829790911056;927.909
168;22.241426099999998;24.30554396093328;933.967
169;22.2366316;24.303438680999943;940.147
170;22.2216904;24.30085519999995;946.245
171;22.1587225;24.29803252691106;952.427
172;22.2024856;24.29308619191106;958.497
173;22.1321921;24.29113218317772;964.537
174;22.2018359;24.286964132088826;970.669
175;22.1397455;24.28475415266663;976.9010000000001
176;22.1357449;24.27740389468883;983.226
177;22.1330724;24.273790179399935;989.3919999999999
178;22.1477249;24.268706437111053;995.563
179;22.2216868;24.266040173622173;1001.6990000000001
180;22.231676;24.26185915831106;1007.936
181;22.2176203;24.256699194755512;1014.02
182;22.2255215;24.253148846755515;1020.364
183;22.292539;24.247351531044412;1026.527
184;22.2258562;24.242976140355527;1032.733
185;22.2086739;24.238697459599976;1038.797
186;22.201963499999998;24.23462423451109;1044.9859999999999
187;22.2033589;24.234793696488858;1050.923
188;22.1875969;24.232600152711093;1057.063
189;22.1853272;24.229252664311097;1063.228
190;22.1760651;24.2240560925111;1069.223
191;22.1804388;24.219784889866656;1075.401
192;22.1804388;24.215175007399978;1081.594
193;22.1932831;24.209754930911092;1087.754
194;22.1350135;24.203758036777764;1093.995
195;22.1332423;24.199878394377762;1100.17
196;22.1332423;24.19525345384443;1106.597
197;22.1970031;24.18740545115555;1113.336
198;22.1970031;24.18270694944443;1120.051
199;22.1969611;24.17719161359998;1126.768
200;22.1891082;24.1719916333333;1133.258
201;22.1891082;24.16863960991108;1139.643
202;22.189201;24.165570274266628;1146.096
203;22.2008294;24.160693562933293;1152.605
204;22.1854922;24.15625373404442;1159.047
205;22.1584606;24.14939064868887;1165.525
206;22.1522917;24.145586630555535;1172.057
207;22.1471817;24.144032947377756;1178.585
208;22.1476782;24.14014871715553;1185.225
209;22.1480128;24.136441272888867;1191.827
210;22.1502133;24.13162225326663;1198.425
211;22.1077297;24.12891482975553;1205.12
212;22.1001592;24.124774657577746;1211.77
213;22.1001592;24.12183334982219;1218.484
214;22.094767700000002;24.117161176088853;1225.07
215;22.0966336;24.113911182288856;1231.627
216;22.0966336;24.10993777484441;1238.382
217;22.107771;24.105230320955528;1245.27
218;22.1123206;24.10312969608886;1252.153
219;22.1123206;24.097957311644407;1258.843
220;22.1159254;24.09388645142218;1265.659
221;22.1167022;24.090299052999963;1272.511
222;22.1152534;24.08487598437775;1279.253
223;22.113213299999998;24.079265495911088;1286.215
224;22.113213299999998;24.073141942355523;1293.208
225;22.1145068;24.068906076622184;1300.248
226;22.110353;24.065809638622188;1307.345
227;22.0962794;24.064130809377744;1314.548
228;22.0651184;24.05881810455552;1321.614
229;22.0581379;24.053927702022182;1328.848
230;22.0581379;24.0523256095333;1336.103
231;22.0570111;24.04937513102218;1343.503
232;22.0625828;24.04576847664441;1350.966
233;22.060360199999998;24.04235100791108;1358.407
234;22.060360199999998;24.036798968533297;1365.738
235;22.0577842;24.03168620351108;1373.167
236;22.060943299999998;24.028723271133295;1380.434
237;22.0736706;24.024643999888852;1387.5810000000001
238;22.0608136;24.021736411755526;1394.756
239;22.0611688;24.019346235711073;1402.0140000000001
240;22.0636016;24.01580543633331;1409.283
241;22.058116300000002;24.010562058599973;1416.47
242;22.058116300000002;24.006835213911078;1423.658
243;22.0623219;24.00357088451107;1430.832
244;22.0623219;23.9992885515333;1438.079
245;22.0682184;23.995246548444413;1445.343
246;22.0771947;23.990984110933315;1452.5520000000001
247;22.0771947;23.988052988111093;1459.7069999999999
248;22.0958321;23.98552195742221;1466.789
249;22.1003859;23.981800763911096;1474.059
250;22.0818148;23.97867294919997;1481.181
251;22.0818148;23.975980936733304;1488.435
252;22.0818148;23.973025820444416;1495.609
253;22.0911515;23.969762293888856;1502.715
254;22.0144636;23.966173075377736;1509.641
255;22.0144636;23.961750790777725;1516.643
256;22.0177533;23.958507576088827;1523.808
257;22.0177533;23.95435176559994;1530.887
258;22.0944412;23.951415755733272;1537.835
259;22.081765400000002;23.9482261044444;1544.69
260;22.081765400000002;23.944820817799958;1551.5910000000001
261;22.0763251;23.940127401777737;1558.875
262;22.0614426;23.936361502555513;1565.879
263;22.0614426;23.93368754695551;1572.844
264;22.0705658;23.930254804799958;1579.593
265;22.0705658;23.926710988266628;1586.557
266;22.0526605;23.92281275888885;1593.271
267;21.9899084;23.920280063222187;1599.844
268;22.0172087;23.916290268422173;1606.406
269;22.0720844;23.91260024848884;1613.107
270;22.082320199999998;23.911259098955497;1620.212
271;22.082320199999998;23.90711992082216;1627.0140000000001
272;22.0834542;23.90249362719995;1633.832
273;22.0697389;23.898147701666616;1640.6680000000001
274;22.00364;23.89477211359994;1647.49
275;21.9386227;23.892278432999948;1654.221
276;21.9361459;23.886694518577727;1660.954
277;22.0002372;23.88208628739995;1667.654
278;21.999536;23.877874173999952;1674.399
279;22.0004148;23.873710422688845;1681.191
280;21.9434318;23.870273675199957;1687.908
281;21.9386365;23.866423728111076;1694.539
282;21.9367781;23.864250015377753;1701.216
283;21.9367781;23.85969896182219;1707.912
284;21.9367781;23.85804026951108;1714.841
285;21.9367781;23.854662177088848;1721.809
286;22.0005149;23.84998696928885;1728.698
287;22.0629277;23.84590118328885;1735.515
288;22.0629277;23.842019007444406;1742.414
289;22.0629277;23.83898351417774;1749.185
290;22.0060277;23.835562905977735;1756.059
291;22.0001884;23.831764579999952;1762.959
