Generation;Best;Average;ElapsedSeconds
0;8,274256;10,207137249000029;0,00
1;8,274256;10,182162540666706;1,18
2;8,274256;10,183497331666699;2,31
3;8,297159;10,166683444666708;3,42
4;8,414799;10,173263015333367;4,49
5;8,401922;10,168225046000043;5,58
6;8,401922;10,166250850333373;6,70
7;8,33998;10,1501715836667;7,80
8;8,401922;10,146469330666715;8,91
9;8,420008;10,146624184666692;10,04
10;8,373912;10,14105516133336;11,21
11;8,242196;10,127044130666697;12,40
12;8,380961;10,134757638666686;13,58
13;8,380961;10,120423668666685;14,74
14;8,355298;10,110123479333371;16,02
15;8,355298;10,121393635333376;17,28
16;8,355298;10,105654101333375;18,50
17;8,350416;10,102048735666708;19,69
18;8,312128;10,099298472333372;20,92
19;8,330955;10,091437214666705;22,19
20;8,264289;10,09405691700005;23,51
21;8,223441;10,08689279366672;24,79
22;8,231505;10,087787774666698;26,01
23;8,272353;10,087065079333348;27,28
24;8,272353;10,096922108000046;28,59
25;8,272353;10,089400257333367;29,91
26;8,272353;10,074096141000034;31,19
27;8,272353;10,06239778133335;32,50
28;8,299931;10,072739438333357;33,75
29;8,357084;10,065599335666693;35,10
30;8,357084;10,06761878833336;36,46
31;8,357084;10,074442109666702;37,80
32;8,357084;10,060502234666687;39,12
33;8,21524;10,059508948333352;40,38
34;8,349701;10,056929532333365;41,77
35;8,257553;10,051142275333365;43,10
36;8,170505;10,033249175000016;44,42
37;8,170505;10,03272712833335;45,73
38;8,170505;10,026516490333371;47,04
39;8,3693;10,026957156000014;48,37
40;8,325263;10,023640870666679;49,74
41;8,295695;10,022606129666686;51,10
42;8,295695;10,017589440666688;52,42
43;8,295695;10,007905104000022;53,74
44;8,295695;10,007186985333346;55,06
45;8,295695;10,003227547333362;56,42
46;8,295695;10,001914794333358;57,79
47;8,295695;10,002118993000039;59,10
48;8,263927;10,000036724666696;60,40
49;8,177831;9,986336461666685;61,76
50;8,177831;9,985332630333355;63,08
51;8,177831;9,983755973000022;64,44
52;8,177831;9,983817559666678;65,78
53;8,177831;9,975889376;67,08
54;8,177831;9,974969310000011;68,41
55;8,177831;9,962547578333357;69,76
56;8,177831;9,965233438666694;71,10
57;8,177831;9,970383139000047;72,46
58;8,177831;9,96087422033337;73,76
59;8,177831;9,952401690000055;75,11
60;8,305931;9,946663640000027;76,47
61;8,305931;9,947976234666697;77,86
62;8,305931;9,944090326666704;79,16
63;8,305931;9,939469600666712;80,48
64;8,343511;9,937525414000033;81,81
65;8,343511;9,924626815666684;83,13
66;8,314672;9,917363993666681;84,49
67;8,343511;9,91705370233335;85,86
68;8,343511;9,919318772000036;87,17
69;8,341805;9,926316537000044;88,48
70;8,297183;9,923787935000036;89,82
71;8,297183;9,920671252000021;91,21
72;8,297183;9,917162280000042;92,59
73;8,297183;9,910896751000031;93,90
74;8,297183;9,904530861333363;95,24
75;8,297183;9,898627843666697;96,61
76;8,297183;9,895613556000047;97,99
77;8,313751;9,901625567000035;99,39
78;8,313751;9,896994542666695;100,74
79;8,313751;9,890844807666701;102,09
80;8,246244;9,87592680200005;103,45
81;8,339404;9,876888214333384;104,89
82;8,351299;9,882333088666716;106,31
83;8,351299;9,879797667000044;107,75
84;8,332261;9,877429279666703;109,14
85;8,316474;9,866088275000013;110,56
86;8,284792;9,864076309666677;112,05
87;8,284792;9,85563466633336;113,51
88;8,284792;9,850225128333369;114,94
89;8,331951;9,843643881333364;116,41
90;8,253032;9,843632955000043;117,84
91;8,253032;9,84427798300004;119,28
92;8,207943;9,845488465333363;120,78
93;8,207943;9,841382194000031;122,29
94;8,251388;9,841413867333367;123,79
95;8,251388;9,84163201400004;125,28
96;8,251388;9,831917344000045;126,75
97;8,251388;9,834744339000034;128,22
98;8,251388;9,83332594033337;129,75
99;8,251388;9,831702579666707;131,27
100;8,251388;9,823293002333369;132,78
101;8,32613;9,827419152666716;134,25
102;8,264346;9,82400949500005;135,71
103;8,264346;9,813448354666722;137,27
104;8,264346;9,8082646753334;138,85
105;8,264346;9,8005364966667;140,40
106;8,264346;9,794584709666694;141,96
107;8,264346;9,793754375000029;143,46
108;8,264346;9,794338045000037;144,95
109;8,264346;9,78635390833336;146,48
110;8,35068;9,778414798000027;148,06
111;8,31684;9,782696738666706;149,62
112;8,31684;9,775765951333355;151,16
113;8,31684;9,782480962333368;152,68
114;8,337211;9,772441045000022;154,20
115;8,335267;9,761980904333356;155,73
116;8,330057;9,767122783000032;157,31
117;8,330057;9,761630096000038;158,89
118;8,330057;9,755318282666714;160,46
119;8,330057;9,75475011033337;162,01
120;8,308594;9,752542656000045;163,54
121;8,313629;9,74898740000004;165,11
122;8,313629;9,751655608666713;166,70
123;8,313629;9,743524628666707;168,29
124;8,313629;9,738332992333367;169,80
125;8,292452;9,735728978000036;171,34
126;8,292452;9,734140163666712;172,86
127;8,182536;9,73055956800004;174,42
128;8,182536;9,725044026666689;176,02
129;8,182536;9,720829722666684;177,65
130;8,182536;9,715471562666687;179,17
131;8,182536;9,704529060000029;180,71
132;8,182536;9,697766452666702;182,23
133;8,182536;9,691016662000022;183,80
134;8,182536;9,69606410600002;185,35
135;8,182536;9,693229272333351;186,92
136;8,306771;9,694179211666668;188,49
137;8,18405;9,695869651666687;190,02
138;8,18405;9,696262599000033;191,59
139;8,18405;9,695151630666693;193,13
140;8,18405;9,689923680666688;194,72
141;8,168779;9,689085363333346;196,29
142;8,168779;9,679996423333359;197,80
143;8,168779;9,671833888000029;199,29
144;8,168779;9,670727365666702;200,83
145;8,18405;9,664267601666701;202,37
146;8,18405;9,663097452000008;203,93
147;8,18405;9,663100629666681;205,49
148;8,18405;9,662977078666694;207,02
149;8,18405;9,659263921000026;208,50
150;8,18405;9,65149938733337;210,01
151;8,18405;9,649318240333375;211,54
152;8,18405;9,64591786166671;213,07
153;8,18405;9,645436052000054;214,62
154;8,18405;9,652333966333368;216,16
155;8,18405;9,650278726333372;217,69
156;8,18405;9,640502061000047;219,26
157;8,18405;9,633833459333374;220,78
158;8,18405;9,628670362000028;222,38
159;8,18405;9,61705229066671;223,97
160;8,18405;9,612166865333371;225,53
161;8,18405;9,608907873666697;227,07
162;8,18405;9,605102757000031;228,59
163;8,18405;9,607151208333354;230,14
164;8,18405;9,60885933700002;231,75
165;8,18405;9,60488429666669;233,31
166;8,18405;9,603186478000032;234,92
167;8,18405;9,598702008666704;236,49
168;8,18405;9,592448596000047;238,11
169;8,18405;9,592354334333377;239,70
170;8,18405;9,586557707666708;241,31
171;8,18405;9,581994311000042;242,85
172;8,18405;9,584766521333371;244,47
173;8,18405;9,578383051666693;246,07
174;8,18405;9,584907968333347;247,67
175;8,18405;9,586422702666695;249,25
176;8,18405;9,581270299666695;250,86
177;8,18405;9,579719826333365;252,52
178;8,18405;9,581558071333358;254,16
179;8,18405;9,575607465666693;255,80
180;8,18405;9,572714578000035;257,50
181;8,18405;9,564287315666707;259,31
182;8,18405;9,557345114666695;260,94
183;8,183072;9,56230533100003;262,55
184;8,183072;9,558904817666699;264,23
185;8,183072;9,555609620333351;265,90
186;8,183072;9,555541571666678;267,58
187;8,183072;9,55442281066669;269,24
188;8,183072;9,5476149506667;270,93
189;8,183072;9,543736193333359;272,59
190;8,183072;9,53756236333336;274,29
191;8,183072;9,531718703666689;276,00
192;8,183072;9,534977399666685;277,69
193;8,183072;9,527676879666686;279,40
194;8,183072;9,52202598500002;281,13
195;8,183072;9,51744917266669;282,86
196;8,183072;9,516114163666693;284,56
197;8,183072;9,514739095666696;286,30
198;8,141576;9,50890424600003;288,09
199;8,141576;9,50428130833336;289,88
200;8,141576;9,502825861000025;291,68
201;8,141576;9,500477242333368;293,44
202;8,139336;9,498322385333374;295,24
203;8,139336;9,494694916000029;296,98
204;8,139336;9,500044050333365;298,77
205;8,139336;9,4889975016667;300,62
206;8,139336;9,488247213333366;302,45
207;8,139336;9,485155394000033;304,28
208;8,139336;9,479681892000041;306,13
209;8,139336;9,472911254333374;307,97
210;8,139336;9,47181095600004;309,86
211;8,139336;9,468855387000028;311,73
212;8,209419;9,469852788666685;313,58
213;8,209419;9,45958238766669;315,49
214;8,194508;9,455936953333367;317,53
215;8,194508;9,4485714716667;319,48
216;8,204826;9,447582857333362;321,38
217;8,210864;9,448257959666698;323,31
218;8,210864;9,447328962666703;325,18
219;8,167023;9,444013633666705;327,12
220;8,167023;9,439310690000033;328,84
221;8,165253;9,439283825000043;330,74
222;8,165253;9,439703297666721;332,73
223;8,165253;9,430506888333388;334,68
224;8,165253;9,429253709666725;336,70
225;8,163761;9,426512225000057;338,68
226;8,120634;9,426357898000056;340,66
227;8,120634;9,427694200333384;342,68
228;8,120634;9,429337258333364;344,60
229;8,120634;9,422223966333359;346,58
230;8,150621;9,416784629666704;348,56
231;8,165253;9,413176233666698;350,72
232;8,120634;9,406025444666701;352,83
233;8,120634;9,4069702196667;354,84
234;8,120634;9,40679668500003;356,81
235;8,120634;9,40130799433336;358,80
236;8,120634;9,395683820666683;360,77
237;8,104832;9,393490174000016;362,83
238;8,104832;9,39259203500002;365,00
239;8,104832;9,383952981000034;366,86
240;8,104832;9,378478401666696;368,69
241;8,104832;9,376750583333354;370,79
242;8,104832;9,37518024833335;372,86
243;8,104832;9,371182620333348;374,95
244;8,104832;9,371075607333358;377,04
245;8,104832;9,369442913333357;379,09
246;8,104832;9,36481269900002;381,33
247;8,104832;9,360778774666692;383,37
248;8,104832;9,357040304000028;385,44
249;8,104832;9,358731909000022;387,34
250;8,104832;9,357562646000025;389,24
251;8,104832;9,35493112700002;391,11
252;8,104832;9,353774088000014;393,25
253;8,104832;9,349490460333348;395,22
254;8,104832;9,346431611333358;397,18
255;8,104832;9,348590846666697;399,20
256;8,104832;9,346108508333373;401,39
257;8,104832;9,34671332900004;403,46
258;8,114783;9,343183791000039;405,70
259;8,114783;9,340922189333378;407,70
260;8,114783;9,343663720666715;409,77
261;8,114783;9,34209325800005;411,82
262;8,114783;9,341351171333386;413,86
263;8,114783;9,338162300333378;415,96
264;8,114783;9,340151907333373;418,07
265;8,114783;9,34005763500005;420,11
266;8,114783;9,334931994000037;422,32
267;8,114783;9,33098595233337;424,39
268;8,114783;9,32692062000004;426,51
269;8,114783;9,319325599000042;428,77
270;8,114783;9,314356156333355;430,80
271;8,114783;9,311033036333358;433,08
272;8,114783;9,307812486666698;435,27
273;8,114376;9,304795202666698;437,46
274;8,114376;9,299887544333368;439,73
275;8,114376;9,298409638666717;441,99
276;8,114376;9,302260131333385;444,12
277;8,114376;9,298787245000057;446,34
278;8,114376;9,294463690333389;448,56
279;8,114376;9,289960904000058;450,72
280;7,547163;9,289003966666725;452,58
281;7,547163;9,28574979400004;454,76
282;7,547163;9,28122663200004;456,67
283;7,547163;9,283080797000036;458,84
284;7,547163;9,280948973666693;460,98
285;7,547163;9,279591147666698;463,13
286;7,547163;9,27854032000004;465,14
287;7,547163;9,27729102900004;467,29
288;7,547163;9,273074759333372;469,08
289;7,547163;9,275901605333376;471,06
290;7,547163;9,27192542800004;473,34
291;7,547163;9,273385125000036;475,41
292;7,547163;9,2725010346667;477,57
293;7,547163;9,272073963666688;479,57
294;7,547163;9,268324658666684;481,57
295;7,547163;9,26810051600002;483,49
296;7,547163;9,266964504666694;485,55
297;7,547163;9,267192513333365;487,49
298;7,547163;9,26341947333337;489,27
299;7,547163;9,260007651000043;491,45
300;7,547163;9,257545924666704;493,68
