Generation;Best;Average;ElapsedSeconds
0;4,379816;5,585416405333326;0,00
1;4,379816;5,5325744860000015;0,39
2;4,379816;5,494493613333335;0,71
3;4,379816;5,4643187993333315;0,98
4;4,379816;5,440357072666661;1,20
5;4,358696;5,419838788;1,41
6;4,358696;5,407393809999997;1,64
7;4,358696;5,388840720666664;1,87
8;4,373336;5,375580182666665;2,11
9;4,373336;5,36251776733333;2,34
10;4,373336;5,343810533333334;2,59
11;4,373336;5,333782577333332;2,81
12;4,369618;5,321318426666667;3,03
13;4,369618;5,307978935333336;3,25
14;4,369618;5,301348732;3,46
15;4,373336;5,297143040666668;3,68
16;4,373336;5,290181874666666;3,91
17;4,373336;5,282778044666669;4,15
18;4,349974;5,2727009480000016;4,37
19;4,349974;5,264941188000006;4,60
20;4,349974;5,25646023266667;4,82
21;4,349974;5,253109842666674;5,04
22;4,349974;5,244802142000008;5,28
23;4,349974;5,239641076666674;5,48
24;4,349974;5,238005189333339;5,71
25;4,349974;5,23541492866667;5,93
26;4,349974;5,229292616;6,15
27;4,349974;5,2281426899999985;6,35
28;4,349974;5,226782426666665;6,58
29;4,349974;5,220693471333334;6,81
30;4,349974;5,221277118666666;7,03
31;4,349974;5,2142524480000025;7,26
32;4,349974;5,21153922866667;7,46
33;4,349974;5,203950873333339;7,68
34;4,349974;5,1944155586666705;7,89
35;4,349974;5,184262956666668;8,11
36;4,349974;5,178072588000001;8,35
37;4,349974;5,177422236666668;8,58
38;4,349974;5,169842738666668;8,83
39;4,349974;5,168811493333332;9,05
40;4,312145;5,160510591999998;9,27
41;4,312145;5,153769095333332;9,50
42;4,31085;5,1491245079999945;9,71
43;4,31085;5,150112655333329;9,93
44;4,31085;5,147839854666664;10,14
45;4,31085;5,14020612733333;10,35
46;4,31085;5,136435999999997;10,59
47;4,31085;5,1324101626666625;10,80
48;4,31085;5,130878116666666;11,02
49;4,31085;5,123219121999998;11,26
50;4,31085;5,118694077333329;11,47
51;4,31085;5,1174627173333285;11,68
52;4,31085;5,114564429333328;11,89
53;4,31085;5,109699725999998;12,12
54;4,31085;5,1061101719999975;12,34
55;4,31085;5,105682294666667;12,54
56;4,31085;5,100934837333332;12,77
57;4,31085;5,102331524666667;13,00
58;4,31085;5,098053344000001;13,22
59;4,31085;5,100989208666668;13,43
60;4,31085;5,0990340433333365;13,64
61;4,310518;5,099983108000004;13,87
62;4,310518;5,0989213333333385;14,13
63;4,310518;5,0935207613333375;14,36
64;4,310518;5,089844661333339;14,59
65;4,310518;5,086126315333339;14,80
66;4,310518;5,089177717333339;15,01
67;4,310518;5,0863460626666726;15,23
68;4,310518;5,084612180000003;15,45
69;4,31085;5,081486442000004;15,67
70;4,31085;5,078682842666667;15,90
71;4,31085;5,0744035620000005;16,13
72;4,31085;5,071633182000001;16,38
73;4,31085;5,066220863999999;16,63
74;4,31085;5,064541074000001;16,90
75;4,31085;5,0622886073333335;17,15
76;4,31085;5,057811491333331;17,36
77;4,31085;5,057374923333332;17,60
78;4,31085;5,0548135846666655;17,83
79;4,31085;5,050965311999999;18,06
80;4,31085;5,049830252666666;18,30
81;4,31085;5,048623440666665;18,50
82;4,31085;5,045668709999998;18,72
83;4,31085;5,040848163999998;18,96
84;4,31085;5,038358835333328;19,19
85;4,31085;5,035928301333328;19,43
86;4,309065;5,032881158666662;19,67
87;4,309065;5,031396262666661;19,88
88;4,309065;5,027807015333327;20,13
89;4,309065;5,026773246666658;20,37
90;4,309065;5,021058405999992;20,62
91;4,309065;5,017764753999993;20,84
92;4,309065;5,014691905999993;21,09
93;4,309065;5,009727393333326;21,32
94;4,309065;5,007206469999992;21,55
95;4,309065;5,003718581333328;21,82
96;4,20428;5,000714443999997;22,07
97;4,20428;5,00055854733333;22,30
98;4,20428;4,999434437999996;22,53
99;4,20428;4,99906130066666;22,75
100;4,20428;4,99674465266666;22,98
101;4,20428;4,9965094173333275;23,21
102;4,20428;4,994146811999991;23,43
103;4,20428;4,988620246666659;23,68
104;4,20428;4,985952543333327;23,91
105;4,20428;4,983369425999991;24,17
106;4,20428;4,984343197999991;24,38
107;4,20428;4,984034305333326;24,63
108;4,20428;4,980811466666657;24,87
109;4,20428;4,977607198666656;25,13
110;4,20428;4,975899375333324;25,36
111;4,20428;4,976731774666658;25,62
112;4,20428;4,97611401866666;25,87
113;4,20428;4,9756539039999925;26,12
114;4,20428;4,971396353999993;26,37
115;4,20428;4,969549306666662;26,68
116;4,20428;4,968355822666662;26,96
117;4,20428;4,9677016859999945;27,21
118;4,20428;4,964368297333328;27,45
119;4,20428;4,962999733333327;27,71
120;4,20428;4,960739738666662;27,95
121;4,20428;4,95823200333333;28,20
122;4,20428;4,957391671333327;28,43
123;4,20428;4,955623653999994;28,68
124;4,20428;4,955324323333326;28,93
125;4,20428;4,952284008666661;29,20
126;4,20428;4,949666465333326;29,47
127;4,20428;4,945920530666662;29,75
128;4,20428;4,943647537999994;30,03
129;4,20428;4,942700749333329;30,29
130;4,20428;4,9404969079999965;30,54
131;4,20428;4,938522424666663;30,78
132;4,20428;4,937831150666664;31,02
133;4,20428;4,937643930666663;31,27
134;4,20428;4,936884612666663;31,49
135;4,20428;4,933431202666663;31,71
136;4,20428;4,93110153333333;31,96
137;4,20428;4,926436689333329;32,19
138;4,20428;4,922880711333333;32,43
139;4,20428;4,921561476666665;32,68
140;4,20428;4,919059529999998;32,91
141;4,20428;4,9171413579999985;33,15
142;4,20428;4,9151443179999985;33,39
143;4,20428;4,914593824666666;33,66
144;4,20428;4,911510765333332;33,90
145;4,20428;4,907122733333332;34,17
146;4,20428;4,903840331999998;34,41
147;4,20428;4,90304021;34,65
148;4,20428;4,903529173333335;34,88
149;4,20428;4,902212268000001;35,15
150;4,20428;4,900307146666669;35,39
151;4,20428;4,898245770666668;35,62
152;4,20428;4,896009444666666;35,87
153;4,20428;4,893385105333334;36,12
154;4,20428;4,889681040000001;36,36
155;4,20428;4,888696386666666;36,59
156;4,20428;4,886753188000001;36,82
