Generation;Best;Average;ElapsedSeconds
0;7,070122;8,221745852666666;0,00
1;7,062744;8,169124864;0,41
2;7,062744;8,123830878000005;0,66
3;7,062744;8,089495000000003;0,89
4;7,062744;8,061646516666668;1,10
5;7,062744;8,031590432666674;1,32
6;7,062744;8,008645372000002;1,53
7;7,062744;7,987532605333335;1,75
8;6,589866;7,960347960000003;1,97
9;6,589866;7,947230332666663;2,18
10;6,589866;7,925710598000001;2,39
11;6,589866;7,903764342666676;2,60
12;6,589866;7,894721691333339;2,83
13;6,589866;7,888230608666676;3,08
14;6,566108;7,873058376000013;3,32
15;7,054831;7,858271568666686;3,55
16;7,054831;7,847365584000016;3,75
17;7,054831;7,829260154000018;3,97
18;7,054831;7,822811626666682;4,20
19;6,629295;7,811037070000012;4,47
20;6,605144;7,805477526000015;4,73
21;6,605144;7,796605924000014;4,96
22;6,5880980000000005;7,795895725333356;5,18
23;6,5880980000000005;7,785894245333354;5,40
24;6,5880980000000005;7,774947084666691;5,60
25;6,5880980000000005;7,766848590000031;5,82
26;6,5880980000000005;7,756872050666696;6,28
27;6,5880980000000005;7,748527583333358;6,63
28;6,5880980000000005;7,740114248000025;6,94
29;6,5880980000000005;7,737725302000022;7,20
30;6,562862;7,728536352666681;7,46
31;6,562862;7,728388149333349;7,70
32;6,562862;7,714767962666685;7,97
33;6,562862;7,711513487333354;8,23
34;6,559916;7,702004550666687;8,50
35;6,559916;7,695296032000018;8,77
36;6,559916;7,687173574000006;9,02
37;6,559916;7,680538370666676;9,29
38;6,559916;7,672875318666677;9,57
39;6,559916;7,67304456200001;9,85
40;6,559916;7,668974528000008;10,12
41;6,559916;7,662219396666669;10,40
42;6,562862;7,660790780000008;10,65
43;6,562862;7,657427578000006;10,90
44;6,562862;7,6545279906666694;11,13
45;6,562862;7,646633780666673;11,35
46;6,545218;7,639943426000009;11,58
47;6,544435;7,638244248666673;11,85
48;6,544435;7,6273172313333415;12,12
49;6,544435;7,6256578286666725;12,38
50;6,544435;7,6113640200000034;12,65
51;6,544435;7,606552168000006;12,92
52;6,544435;7,604263713333342;13,18
53;6,536002;7,603820060666673;13,43
54;6,536002;7,603128352000004;13,69
55;6,52531;7,600942833333339;13,96
56;6,52531;7,598834847333339;14,21
57;6,495519;7,592837934666679;14,49
58;6,495519;7,587482518000015;14,75
59;6,495519;7,587522035333352;15,01
60;6,495519;7,586519988000018;15,24
61;6,495519;7,580613565333352;15,49
62;6,495519;7,577668415333355;15,75
63;6,495519;7,579140016666689;16,01
64;6,495519;7,574298063333359;16,25
65;6,495519;7,56885679266669;16,50
66;6,493672;7,567059450000023;16,75
67;6,493672;7,56439203600002;16,99
68;6,493672;7,562742440000015;17,22
69;6,493672;7,556786458666682;17,46
70;6,493672;7,5509200366666835;17,69
71;6,493672;7,546346113333354;17,90
72;6,493672;7,541998160666689;18,11
73;6,493672;7,541527490000026;18,32
74;6,493672;7,537883690000027;18,53
75;6,493672;7,5369366806666935;18,74
76;6,493672;7,533316332000028;18,98
77;6,493672;7,530308672666694;19,25
78;6,493672;7,529909914666693;19,51
79;6,493672;7,526224640666691;19,78
80;6,493672;7,526310018000024;20,04
81;6,493672;7,522437754666688;20,32
82;6,493672;7,518683386666688;20,64
83;6,493672;7,516328570000018;20,93
84;6,493672;7,514602338666684;21,16
85;6,493672;7,513131452666683;21,42
86;6,493672;7,509689552666681;21,69
87;6,493672;7,505213605333351;21,91
88;6,493672;7,499376286000021;22,16
89;6,493672;7,495351906000023;22,39
90;6,493672;7,49365972800002;22,63
91;6,493672;7,49046797533335;22,85
92;6,493672;7,49002392733335;23,11
93;6,493672;7,486595202000015;23,38
94;6,493672;7,481476091333352;23,63
95;6,493672;7,480360192666689;23,89
96;6,493672;7,476790010000022;24,16
97;6,493672;7,474728094666686;24,44
98;6,493672;7,470725548666685;24,70
99;6,493672;7,462982998000019;24,98
100;6,493672;7,458900750000014;25,21
101;6,493672;7,458523682666681;25,44
102;6,493672;7,457860635333349;25,67
103;6,493672;7,454434037333348;25,92
104;6,493672;7,448257914000009;26,14
105;6,493672;7,448273133333342;26,37
106;6,493672;7,445079596666678;26,62
107;6,493672;7,443890766666678;26,87
108;6,493672;7,441829589333345;27,12
109;6,493672;7,438068270000012;27,40
110;6,487329;7,436555646666681;27,64
111;6,487329;7,435250802000016;27,93
112;6,487329;7,434563552666686;28,20
113;6,487329;7,433550082000019;28,48
114;6,487329;7,430480748666685;28,79
115;6,487329;7,426912014000016;29,08
116;6,487329;7,424779114666682;29,34
117;6,487329;7,424840056000017;29,58
118;6,487329;7,4224808220000185;29,86
119;6,481148;7,419597674666683;30,11
120;6,480389;7,417654448666685;30,40
121;6,480389;7,41608406066668;30,72
122;6,480389;7,411997236666682;31,05
123;6,480389;7,409907036666684;31,38
124;6,480389;7,4074384986666875;31,71
125;6,480389;7,405728454000017;32,00
126;6,480389;7,4044422800000165;32,32
127;6,480389;7,398754138000014;32,68
128;6,480389;7,396775793333347;33,06
129;6,480389;7,3976680966666795;33,40
130;6,480389;7,399035842666677;33,68
131;6,480389;7,394950266000015;33,91
132;6,480389;7,392941196666679;34,15
133;6,480389;7,392276886666675;34,38
