Generation;Best;Average;ElapsedSeconds
0;12,079092;13,896896976888875;0,00
1;12,079092;13,817464533777805;3,39
2;12,079092;13,760337961333356;7,05
3;12,079092;13,721888450222231;10,54
4;12,079092;13,68653809600001;14,13
5;12,079092;13,664424697333367;17,67
6;12,079092;13,643269345555575;21,30
7;12,079092;13,616700998000024;25,23
8;12,079092;13,601035051555609;29,00
9;12,079092;13,589104399333355;32,93
10;12,079092;13,574256183333349;37,17
11;12,079092;13,561807505777812;40,92
12;12,120752;13,556927767555573;44,63
13;12,120752;13,548194076222236;48,50
14;12,120752;13,539671571999992;52,39
15;12,095608;13,527677859777793;56,50
16;12,095608;13,51860785266667;60,27
17;12,095608;13,50522171844445;64,26
18;11,475261;13,499645240444455;68,15
19;11,475261;13,489177400666675;72,20
20;11,475261;13,486027953777786;76,19
21;11,475261;13,483053458444447;80,19
22;11,475261;13,468213317111108;84,19
23;11,475261;13,463363051555556;88,42
24;11,475261;13,457874268888895;92,62
25;11,475261;13,452152931777789;96,93
26;11,475261;13,449810977555561;101,11
27;11,475261;13,44666843799999;105,72
28;11,475261;13,442564546666672;110,10
29;11,475261;13,437592592666661;114,18
30;11,475261;13,43231472266667;118,22
31;11,475261;13,429876530444467;122,16
32;11,475261;13,42468086422223;126,31
33;11,475261;13,418681404888902;130,25
34;11,533632;13,409581088000024;134,67
35;11,533632;13,409930580444476;138,85
36;11,533632;13,402105210888902;143,14
37;11,533632;13,392959158888896;147,51
38;11,533632;13,389175940444453;151,83
39;11,485876;13,3872517157778;156,13
40;11,485876;13,382147064444473;160,42
41;11,485876;13,38133220888889;164,82
42;11,485876;13,378378598222234;169,28
43;11,533632;13,37807636066668;173,80
44;11,533632;13,375027649111109;178,36
45;11,533632;13,371716551555556;182,88
46;11,533632;13,362483295777778;187,21
47;11,533632;13,357876338444447;191,85
48;11,533632;13,352732021999982;196,50
49;11,533632;13,352352747333343;201,09
50;11,533632;13,344916530666676;207,21
51;11,533632;13,345102173333327;212,18
52;11,533632;13,343347213111128;216,89
53;11,533632;13,341957660666676;221,35
54;11,49386;13,341640875555568;225,59
55;11,49386;13,337225766666682;230,17
56;11,487812;13,331231660222237;234,78
57;11,487812;13,328001940666681;239,53
58;11,487812;13,323801428444444;244,29
59;11,487812;13,32106557911111;248,77
60;11,487812;13,315692027777764;253,36
61;11,487812;13,316774043999983;257,99
62;11,487812;13,309935486;262,37
63;11,487812;13,309224090222225;266,96
64;11,487812;13,306338083111099;271,45
65;11,487812;13,299269763777769;275,73
66;11,487812;13,295957357333316;280,18
67;11,487812;13,287066566888887;284,39
68;11,487812;13,283562057999994;288,55
69;11,487812;13,283402596444441;293,10
70;11,487812;13,281775093777785;297,56
71;11,487812;13,277507008888888;301,97
72;11,487812;13,273331948444444;306,52
73;11,533632;13,26259742666667;311,08
74;11,44129;13,25883739022222;315,62
75;11,533632;13,256281725777754;320,18
76;11,533632;13,25955605599999;324,38
77;11,412493;13,255072379777781;328,57
78;11,412493;13,249323272666665;332,93
79;11,392333;13,241535291333333;337,22
80;11,392333;13,24060684;341,61
81;11,392333;13,23978812777777;345,79
82;11,392333;13,237125477777761;349,98
83;11,392333;13,237931739777759;354,19
84;11,392333;13,232719468666675;358,23
85;11,392333;13,229547128222231;362,38
86;11,392333;13,22726085977777;366,54
87;11,392333;13,226780109111088;370,53
88;11,392333;13,224308655111093;375,00
89;11,392333;13,220726167333307;379,68
90;11,392333;13,21820419288887;384,23
91;11,392333;13,216003154000008;388,85
92;11,392333;13,214397604444448;393,50
93;11,392333;13,207505304222229;398,30
94;11,392333;13,20820854977779;403,42
95;11,392333;13,207015060444448;408,18
96;11,392333;13,20401893022223;413,16
97;11,392333;13,200007667111121;419,50
98;11,392333;13,195161247999994;424,26
99;11,392333;13,197515899333336;429,10
100;11,392333;13,195264797111115;433,90
101;11,392333;13,191092624000001;439,15
102;11,392333;13,18290092066666;444,00
103;11,392333;13,182664853555549;448,56
104;11,392333;13,174294454;452,96
105;11,392333;13,173824806222218;457,44
106;11,392333;13,17133948199999;461,86
107;11,392333;13,171705606666636;466,50
108;11,392333;13,169941003333326;471,24
109;11,392333;13,165901345777785;475,67
110;11,392333;13,160631418666663;480,25
111;11,384565;13,15739875799999;485,11
112;11,384565;13,15914593555554;489,93
113;11,384565;13,157954726444443;494,82
114;11,384565;13,15555312777777;499,70
115;11,384565;13,148047173777789;504,12
116;11,384565;13,147645311555559;508,83
117;11,384565;13,142451471999989;513,55
118;11,384565;13,133801621333324;518,16
119;11,384565;13,131189932888878;523,05
120;11,384565;13,125332427333321;528,08
121;11,384565;13,119038388888875;532,53
122;11,384565;13,117510146888877;536,87
123;11,384565;13,11834793155554;541,13
124;11,392333;13,118020283333303;545,50
125;11,392333;13,119318566444417;549,71
126;11,392333;13,113314179333306;554,02
127;11,392333;13,1112293771111;558,35
128;11,392333;13,10961688133332;562,88
