Generation;AverageBest;AverageAverage;AverageTime
0;10.0917851;11.953689978399987;0.0
1;10.0812407;11.925726963266651;0.415
2;10.0909029;11.90095243593332;0.701
3;10.072536;11.878072428199987;0.9480000000000001
4;10.072536;11.854147514066653;1.192
5;10.0597571;11.837079039133322;1.426
6;10.0508542;11.819501183533323;1.662
7;10.0493662;11.801679943999991;1.891
8;10.0470731;11.78832390226666;2.124
9;10.037199;11.77085977566666;2.358
10;9.9665345;11.756328779066658;2.598
11;10.0325294;11.741850986666659;2.828
12;10.035191600000001;11.731094542399992;3.059
13;10.035191600000001;11.719232194266661;3.29
14;9.9772588;11.706909896799994;3.517
15;9.9715694;11.694214787066663;3.753
16;10.0338498;11.682958297399995;3.985
17;10.0308013;11.673710664199994;4.22
18;10.0297453;11.66442977786666;4.455
19;10.0278757;11.654883926199993;4.685
20;10.0278757;11.64762942986666;4.92
21;10.0236473;11.638330421733327;5.1530000000000005
22;10.0236473;11.631912325933328;5.385
23;10.0236473;11.627323181266663;5.617
24;10.0236473;11.620715221999998;5.851
25;10.0223323;11.615801256133329;6.087
26;10.0048845;11.60731144253333;6.321
27;10.0048845;11.599806961666664;6.553
28;10.0048845;11.592716893799997;6.786
29;9.9948432;11.5848944896;7.017
30;9.9948432;11.578493783066664;7.247
31;9.9948432;11.574957374066667;7.474
32;9.9930602;11.568911095;7.711
33;9.9955569;11.56321009866667;7.945
34;9.9920423;11.559890310066669;8.183
35;9.9435141;11.552511708666668;8.419
36;9.9435141;11.547183984533332;8.65
37;9.889960499999999;11.542234946733329;8.888
38;9.8917435;11.53644280433333;9.121
39;9.8917435;11.530730106733328;9.358
40;9.8887276;11.52666816213333;9.592
41;9.8742582;11.522442047799995;9.826
42;9.8742582;11.517324678333326;10.058
43;9.8774509;11.51112242886666;10.283999999999999
44;9.8769875;11.506417473266659;10.511
45;9.872253;11.502609041599994;10.741
46;9.872253;11.498007690266661;10.969999999999999
47;9.8757676;11.496076216733327;11.202
48;9.8757676;11.490892688533327;11.435
49;9.8757676;11.488007173866663;11.671
50;9.8753116;11.483984762866665;11.911999999999999
51;9.8753116;11.479190377666665;12.153
52;9.873501;11.475449807599997;12.394
53;9.8749311;11.470233248399998;12.637
54;9.8749311;11.466275670666663;12.875
55;9.8733045;11.460689495199995;13.11
56;9.8711289;11.456951640866663;13.350999999999999
57;9.8670921;11.45260725953333;13.581
58;9.8670921;11.44925381453333;13.809
59;9.8557559;11.444485441266664;14.044
60;9.8557559;11.440203751666662;14.293
61;9.8557559;11.437509726799995;14.543
62;9.8540888;11.433345541466663;14.783
63;9.8510729;11.429120175399994;15.02
64;9.8614105;11.42505937173333;15.262
65;9.8594964;11.423326090466661;15.501
66;9.8594964;11.419416842866662;15.744
67;9.8594964;11.415076207333327;15.981
68;9.8594964;11.411893733999994;16.225
69;9.8554259;11.407093143333327;16.466
70;9.8684671;11.404322053333326;16.705000000000002
71;9.8681119;11.400963841133324;16.948999999999998
72;9.8681119;11.396319954199992;17.191
73;9.8681119;11.394061329199992;17.425
74;9.8676986;11.39000968779999;17.662
75;9.8596234;11.38728634439999;17.908
76;9.8571354;11.384056931333328;18.147
77;9.8571354;11.38002929666666;18.382
78;9.8571354;11.377099561333326;18.618000000000002
79;9.8571354;11.374118225599991;18.858999999999998
80;9.8571354;11.370175464866657;19.1
81;9.8571354;11.367110761466657;19.345
82;9.8571354;11.36295847319999;19.59
83;9.8557627;11.358816376866656;19.836
84;9.8477339;11.354707384266657;20.08
85;9.8477339;11.351144662933324;20.321
86;9.8457086;11.34910853079999;20.573999999999998
87;9.8432721;11.344683679799989;20.814
88;9.8432721;11.34204460199999;21.063
89;9.8418685;11.340273955733323;21.308
90;9.8418685;11.336655629466655;21.551000000000002
91;9.840770000000001;11.33274139879999;21.791
92;9.840770000000001;11.32928137799999;22.036
93;9.840770000000001;11.325074437133322;22.276
94;9.8391353;11.322679660066655;22.52
95;9.8391353;11.319412838199991;22.764
96;9.8384258;11.317486494533323;23.009
97;9.8365052;11.31320063759999;23.253999999999998
98;9.8365052;11.30989531086666;23.497
99;9.8376037;11.308812468199992;23.753
100;9.8412386;11.30697893586666;24.001
101;9.8419481;11.302632005199992;24.249
102;9.8375442;11.299330404399992;24.498
103;9.8406945;11.29610994826666;24.749
104;9.8420825;11.292617810533326;24.996
105;9.8420825;11.290943123266661;25.240000000000002
106;9.8420825;11.288211633866663;25.482
107;9.8507117;11.28531462633333;25.728
108;9.8507117;11.28125847773333;25.971
109;9.851125;11.279301717733329;26.217
110;9.851125;11.27723036726666;26.467
111;9.851125;11.27415148886666;26.718
112;9.851125;11.271294425333327;26.972
113;9.851125;11.269419307666658;27.223
114;9.8468916;11.26674731346666;27.464
115;9.8439576;11.265961074799995;27.715
116;9.8439576;11.263431150333327;27.969
117;9.8438726;11.259624661533326;28.22
118;9.8441932;11.257446381199992;28.475
119;9.8394747;11.255290016199991;28.727
120;9.8394747;11.252692647399993;28.98
121;9.8394747;11.25017930519999;29.235
122;9.8384116;11.247918231666658;29.487
123;9.8384116;11.244492309333324;29.743
124;9.8384116;11.23970539519999;29.998
125;9.8384116;11.236063525466658;30.251
126;9.8375434;11.232725061866658;30.500999999999998
127;9.8408989;11.230993804799992;30.752
128;9.836672199999999;11.227496405599991;31.006999999999998
129;9.8321396;11.225449241733324;31.264
130;9.8321396;11.223014520399992;31.52
131;9.8319225;11.221886735999993;31.779
132;9.8319225;11.21955404346666;32.036
133;9.8319225;11.216831736199993;32.299
134;9.8319225;11.213460601333326;32.553
135;9.8233845;11.211560672066657;32.816
136;9.8233845;11.208689512599989;33.073
137;9.7577992;11.207652870866655;33.328
138;9.7577992;11.204678050266654;33.588
139;9.7577992;11.201686071199989;33.851
140;9.7577992;11.20090334613332;34.114
141;9.7577992;11.199953007666654;34.378
142;9.7561387;11.196902923466654;34.645
143;9.7561387;11.194773528799988;34.911
144;9.7561387;11.191959396866654;35.17
145;9.7561387;11.188434956999986;35.432
146;9.7561387;11.186393841599987;35.693
147;9.8182399;11.18293220993332;35.956
148;9.8182399;11.179755622666654;36.217
149;9.8182399;11.17650526813332;36.483
150;9.8139737;11.173518539399987;36.749
151;9.8139737;11.170087486799988;37.012
152;9.8139737;11.167703954133321;37.281
153;9.8090979;11.165364430333323;37.547
154;9.8090979;11.163206802399989;37.821
155;9.8066691;11.160648308266655;38.094
156;9.8040329;11.157804305199988;38.365
157;9.8040329;11.157461343466654;38.635999999999996
158;9.7937473;11.155085572266653;38.91
159;9.7937473;11.154161061799986;39.181
160;9.7937473;11.151751631933319;39.454
161;9.7937473;11.148774395533318;39.728
162;9.7923645;11.14651499126665;39.994
163;9.7938086;11.143809449199987;40.265
164;9.7921631;11.141070513399988;40.534
165;9.7921631;11.138757094399988;40.809
166;9.7921631;11.137523739799988;41.081
167;9.7921631;11.136566122599989;41.361000000000004
168;9.7921631;11.134265837599987;41.637
169;9.7921631;11.132272726799988;41.917
170;9.7846349;11.129654064199988;42.194
171;9.7846349;11.126554492466653;42.482
172;9.7846349;11.125563663599987;42.765
173;9.7846349;11.124552307066654;43.048
174;9.7846349;11.122889683933321;43.327
175;9.7846349;11.121566354066655;43.607
176;9.7846349;11.119495794266655;43.885999999999996
177;9.783755;11.116722891066654;44.174
178;9.783755;11.114658462866656;44.454
179;9.774391;11.112474029666657;44.736
180;9.774391;11.110101560599992;45.016
181;9.774391;11.108332949466657;45.295
182;9.774391;11.107023234333324;45.578
183;9.774391;11.105319783266658;45.864000000000004
184;9.774391;11.10343831019999;46.144999999999996
185;9.774391;11.101446310533325;46.437
186;9.774391;11.098778891666658;46.725
187;9.7744931;11.095548876466658;47.013999999999996
188;9.7737038;11.093643984133326;47.306
189;9.7737038;11.093163973866659;47.6
190;9.7737038;11.090852032799992;47.887
191;9.7737038;11.088294995466658;48.176
192;9.77176;11.087458650266658;48.468
193;9.77176;11.086255041533326;48.76
194;9.77176;11.084326134666659;49.052
195;9.77176;11.082621223133325;49.345
196;9.7714864;11.081197828599992;49.637
197;9.7714864;11.078384915866657;49.932
198;9.7246744;11.077063396533324;50.232
199;9.7246744;11.075416186733325;50.531
200;9.7179582;11.073037176266658;50.838
201;9.7179582;11.070658425266657;51.137
202;9.7179582;11.06844219819999;51.435
203;9.7179582;11.067194868866656;51.737
204;9.7157712;11.065181587066656;52.041
205;9.7157712;11.062414044533321;52.348
206;9.714867;11.06071828199999;52.657
207;9.714867;11.058145366666656;52.962
208;9.714867;11.055625135866656;53.268
209;9.714867;11.053042682999989;53.576
210;9.7136319;11.051479353266656;53.873999999999995
