Class;N;AverageBest_hc__05;AverageBest_hc__1;AverageBest_hc__1_heavy;AverageBest_hc__1_medium;AverageBest_hc__1_volume;AverageBest_phc__0985;AverageBest_phc__099;AverageBest_phc__10_98;AverageBest_phc__10_98_volume;AverageBest_phc__20_98;AverageBest_phc__20_99_05;AverageBest_phc__20_99_1;AverageTime_hc__05;AverageTime_hc__1;AverageTime_hc__1_heavy;AverageTime_hc__1_medium;AverageTime_hc__1_volume;AverageTime_phc__0985;AverageTime_phc__099;AverageTime_phc__10_98;AverageTime_phc__10_98_volume;AverageTime_phc__20_98;AverageTime_phc__20_99_05;AverageTime_phc__20_99_1
class1;n100;14.0302057;13.9193291;15.491534;13.9048919;13.8882159;14.0689312;14.1750834;13.86148;13.9781637;13.9686618;14.1194186;13.994116;671.032;670.554;396.21;499.734;664.975;681.608;677.644;664.767;641.413;705.001;651.496;617.833
class1;n150;21.6781984;21.4707338;23.9870259;21.673791;21.4758731;21.7394141;21.9374501;21.4215945;21.4357722;21.4065742;21.7440877;21.6705546;1799.595;1848.955;1133.665;1603.374;1744.689;1916.442;1826.449;1785.356;1755.511;1790.761;1787.165;1867.982
class1;n50;8.2221913;8.1286199;9.0230402;8.2267204;8.1124772;8.1523137;8.2057999;8.139396099999999;8.1259872;8.1737436;8.1926877;8.1830816;90.79599999999999;89.961;59.745;71.746;81.607;86.31;90.947;81.024;76.568;83.308;80.985;81.871
class2;n100;9.3917137;9.2741953;10.2811461;9.3871082;9.3457737;9.4563546;9.6661588;9.3468034;9.2455977;9.388491499999999;9.3947852;9.4208451;603.317;613.742;420.074;523.652;535.08;557.276;572.977;539.483;538.826;521.968;549.288;540.537
class2;n150;13.6537003;13.5741221;14.8807177;13.5993067;13.5885295;13.7921486;13.900474899999999;13.6207344;13.4936264;13.4971903;13.7439879;13.5978044;1693.934;1662.387;1134.196;1524.1019999999999;1586.32;1558.4660000000001;1468.353;1498.189;1639.969;1531.087;1618.23;1518.469
class2;n50;5.2076137;5.1883799;5.8320575;5.2017413;5.150256000000001;5.1860329;5.3545476;5.1617099;5.1705509;5.1615347;5.3027643;5.2252936;86.22999999999999;91.525;64.632;75.275;75.543;68.457;72.64099999999999;72.601;77.411;73.61699999999999;77.969;73.535
class3;n100;7.5076378;7.4555653;8.1926942;7.4622188000000005;7.451276;7.5058969;7.5962171000000005;7.4411773000000005;7.3964798;7.4550169;7.5580093;7.5420017999999995;579.584;546.326;470.095;509.135;532.024;530.998;539.541;503.624;553.183;512.164;551.136;557.201
class3;n150;11.2767905;11.3189776;12.2773595;11.3652;11.3012686;11.416130599999999;11.4857747;11.322201;11.3111872;11.2820768;11.3596916;11.397019199999999;1454.487;1485.505;1258.655;1477.4850000000001;1668.676;1372.709;1532.065;1507.5240000000001;1446.259;1536.848;1512.127;1604.307
class3;n50;4.4220086;4.2876241;4.8135116;4.3854763;4.3376901;4.4295231;4.4608591;4.322852;4.3183774;4.3440606;4.3219776;4.406019;74.59;72.928;67.069;65.621;78.732;74.071;74.103;80.471;76.41499999999999;79.068;77.816;80.391
class4;n100;18.3684582;18.2579807;20.4685127;18.4057181;18.2477954;18.419149;18.5233891;18.24963;18.2142646;18.1748995;18.422794;18.257474;714.778;697.519;435.588;462.325;743.346;715.403;740.245;739.465;760.13;725.259;735.635;753.933
class4;n150;28.683753;28.5883605;31.789489500000002;28.8442094;28.5571254;28.5831902;28.8690318;28.620696;28.618186;28.6060906;28.8016685;28.5781906;1962.31;1975.914;1147.339;1144.435;2071.231;2060.958;1976.6309999999999;2336.109;2167.116;2049.106;2050.498;2202.745
class4;n50;9.5495317;9.40654;10.4375249;9.4659568;9.4320818;9.3685327;9.681347500000001;9.3247683;9.3746592;9.33358;9.6344131;9.4151974;85.879;79.948;54.164;46.945;71.784;68.828;78.2;67.734;83.065;84.082;82.641;62.467999999999996
