Generation;AverageBest;AverageAverage;AverageTime
0;23.5729326000;23.5729326000;0.0000000000
1;23.5729326000;23.5729326000;0.0000000000
2;23.5729326000;23.5729326000;0.0000000000
3;23.5729326000;23.5729326000;0.0000000000
4;23.5729326000;23.5729326000;0.0000000000
5;23.5729326000;23.5729326000;0.0000000000
6;23.5729326000;23.5729326000;0.0000000000
7;23.5729326000;23.5729326000;0.0000000000
8;23.5729326000;23.5729326000;0.0000000000
9;23.5729326000;23.5729326000;0.0000000000
10;23.5729326000;23.5729326000;0.0000000000
11;23.5729326000;23.5729326000;0.0000000000
12;23.5729326000;23.5729326000;0.0000000000
13;23.5729326000;23.5729326000;0.0000000000
14;23.5729326000;23.5729326000;0.0000000000
15;23.5729326000;23.5729326000;0.0000000000
16;23.5729326000;23.5729326000;0.0000000000
17;23.5729326000;23.5729326000;0.0000000000
18;23.5729326000;23.5729326000;0.0000000000
19;23.5729326000;23.5729326000;0.0000000000
20;23.5729326000;23.5729326000;0.0000000000
21;23.5729326000;23.5729326000;0.0000000000
22;23.5729326000;23.5729326000;0.0000000000
23;23.5729326000;23.5729326000;0.0000000000
24;23.5729326000;23.5729326000;0.0000000000
25;23.5729326000;23.5729326000;0.0000000000
26;23.5729326000;23.5729326000;0.0000000000
27;23.5729326000;23.5729326000;0.0000000000
28;23.5729326000;23.5729326000;0.0000000000
29;23.5729326000;23.5729326000;0.0000000000
30;23.5729326000;23.5729326000;0.0000000000
31;23.5729326000;23.5729326000;0.0000000000
32;23.5729326000;23.5729326000;0.0000000000
33;23.5729326000;23.5729326000;0.0000000000
34;23.5729326000;23.5729326000;0.0000000000
35;23.5729326000;23.5729326000;0.0000000000
36;23.5729326000;23.5729326000;0.0000000000
37;23.5729326000;23.5729326000;0.0000000000
38;23.5729326000;23.5729326000;0.0000000000
39;23.5729326000;23.5729326000;0.0000000000
40;23.5729326000;23.5729326000;0.0000000000
41;23.5729326000;23.5729326000;0.0000000000
42;23.5729326000;23.5729326000;0.0000000000
43;23.5729326000;23.5729326000;0.0000000000
44;23.5729326000;23.5729326000;0.0000000000
45;23.5729326000;23.5729326000;0.0000000000
46;23.5729326000;23.5729326000;0.0000000000
47;23.5729326000;23.5729326000;0.0000000000
48;23.5729326000;23.5729326000;0.0000000000
49;23.5729326000;23.5729326000;0.0000000000
50;23.5729326000;23.5729326000;0.0000000000
51;23.5729326000;23.5729326000;0.0000000000
52;23.5729326000;23.5729326000;0.0000000000
53;23.5729326000;23.5729326000;0.0000000000
54;23.5729326000;23.5729326000;0.0000000000
55;23.5729326000;23.5729326000;0.0000000000
56;23.5729326000;23.5729326000;0.0000000000
57;23.5729326000;23.5729326000;0.0000000000
58;23.5729326000;23.5729326000;0.0000000000
59;23.5729326000;23.5729326000;0.0000000000
60;23.5729326000;23.5729326000;0.0000000000
61;23.5729326000;23.5729326000;0.0000000000
62;23.5729326000;23.5729326000;0.0000000000
63;23.5729326000;23.5729326000;0.0000000000
64;23.5729326000;23.5729326000;0.0000000000
65;23.5729326000;23.5729326000;0.0000000000
66;23.5729326000;23.5729326000;0.0000000000
67;23.5729326000;23.5729326000;0.0000000000
68;23.5729326000;23.5729326000;0.0000000000
69;23.5729326000;23.5729326000;0.0000000000
70;23.5729326000;23.5729326000;0.0000000000
71;23.5729326000;23.5729326000;0.0000000000
72;23.5729326000;23.5729326000;0.0000000000
73;23.5729326000;23.5729326000;0.0000000000
74;23.5729326000;23.5729326000;0.0000000000
75;23.5729326000;23.5729326000;0.0000000000
76;23.5729326000;23.5729326000;0.0000000000
77;23.5729326000;23.5729326000;0.0000000000
78;23.5729326000;23.5729326000;0.0000000000
79;23.5729326000;23.5729326000;0.0000000000
80;23.5729326000;23.5729326000;0.0000000000
81;23.5729326000;23.5729326000;0.0000000000
82;23.5729326000;23.5729326000;0.0000000000
