Generation;AverageBest;AverageAverage;AverageTime
0;8.4713880000;8.4713880000;0.0000000000
1;8.4713880000;8.4713880000;0.0000000000
2;8.4713880000;8.4713880000;0.0000000000
3;8.4713880000;8.4713880000;0.0000000000
4;8.4713880000;8.4713880000;0.0000000000
5;8.4713880000;8.4713880000;0.0000000000
6;8.4713880000;8.4713880000;0.0000000000
7;8.4713880000;8.4713880000;0.0000000000
8;8.4713880000;8.4713880000;0.0000000000
9;8.4713880000;8.4713880000;0.0000000000
10;8.4713880000;8.4713880000;0.0000000000
11;8.4713880000;8.4713880000;0.0000000000
12;8.4713880000;8.4713880000;0.0000000000
13;8.4713880000;8.4713880000;0.0000000000
14;8.4713880000;8.4713880000;0.0000000000
15;8.4713880000;8.4713880000;0.0000000000
16;8.4713880000;8.4713880000;0.0000000000
17;8.4713880000;8.4713880000;0.0000000000
18;8.4713880000;8.4713880000;0.0000000000
19;8.4713880000;8.4713880000;0.0000000000
20;8.4713880000;8.4713880000;0.0000000000
21;8.4713880000;8.4713880000;0.0000000000
22;8.4713880000;8.4713880000;0.0000000000
23;8.4713880000;8.4713880000;0.0000000000
24;8.4713880000;8.4713880000;0.0000000000
25;8.4713880000;8.4713880000;0.0000000000
26;8.4713880000;8.4713880000;0.0000000000
27;8.4713880000;8.4713880000;0.0000000000
28;8.4713880000;8.4713880000;0.0000000000
29;8.4713880000;8.4713880000;0.0000000000
30;8.4713880000;8.4713880000;0.0000000000
31;8.4713880000;8.4713880000;0.0000000000
32;8.4713880000;8.4713880000;0.0000000000
33;8.4713880000;8.4713880000;0.0000000000
34;8.4713880000;8.4713880000;0.0000000000
35;8.4713880000;8.4713880000;0.0000000000
36;8.4713880000;8.4713880000;0.0000000000
37;8.4713880000;8.4713880000;0.0000000000
38;8.4713880000;8.4713880000;0.0000000000
39;8.4713880000;8.4713880000;0.0000000000
40;8.4713880000;8.4713880000;0.0000000000
41;8.4713880000;8.4713880000;0.0000000000
42;8.4713880000;8.4713880000;0.0000000000
43;8.4713880000;8.4713880000;0.0000000000
44;8.4713880000;8.4713880000;0.0000000000
45;8.4713880000;8.4713880000;0.0000000000
46;8.4713880000;8.4713880000;0.0000000000
47;8.4713880000;8.4713880000;0.0000000000
48;8.4713880000;8.4713880000;0.0000000000
49;8.4713880000;8.4713880000;0.0000000000
50;8.4713880000;8.4713880000;0.0000000000
51;8.4713880000;8.4713880000;0.0000000000
52;8.4713880000;8.4713880000;0.0000000000
53;8.4713880000;8.4713880000;0.0000000000
54;8.4713880000;8.4713880000;0.0000000000
55;8.4713880000;8.4713880000;0.0000000000
56;8.4713880000;8.4713880000;0.0000000000
57;8.4713880000;8.4713880000;0.0000000000
58;8.4713880000;8.4713880000;0.0000000000
59;8.4713880000;8.4713880000;0.0000000000
60;8.4713880000;8.4713880000;0.0000000000
61;8.4713880000;8.4713880000;0.0000000000
62;8.4713880000;8.4713880000;0.0000000000
63;8.4713880000;8.4713880000;0.0000000000
64;8.4713880000;8.4713880000;0.0000000000
65;8.4713880000;8.4713880000;0.0000000000
66;8.4713880000;8.4713880000;0.0000000000
67;8.4713880000;8.4713880000;0.0000000000
68;8.4713880000;8.4713880000;0.0000000000
69;8.4713880000;8.4713880000;0.0000000000
70;8.4713880000;8.4713880000;0.0000000000
71;8.4713880000;8.4713880000;0.0000000000
72;8.4713880000;8.4713880000;0.0000000000
73;8.4713880000;8.4713880000;0.0000000000
74;8.4713880000;8.4713880000;0.0000000000
75;8.4713880000;8.4713880000;0.0000000000
76;8.4713880000;8.4713880000;0.0000000000
77;8.4713880000;8.4713880000;0.0000000000
78;8.4713880000;8.4713880000;0.0000000000
79;8.4713880000;8.4713880000;0.0000000000
80;8.4713880000;8.4713880000;0.0000000000
81;8.4713880000;8.4713880000;0.0000000000
82;8.4713880000;8.4713880000;0.0000000000
83;8.4713880000;8.4713880000;0.0000000000
84;8.4713880000;8.4713880000;0.0000000000
85;8.4713880000;8.4713880000;0.0000000000
86;8.4713880000;8.4713880000;0.0000000000
87;8.4713880000;8.4713880000;0.0000000000
88;8.4713880000;8.4713880000;0.0000000000
89;8.4713880000;8.4713880000;0.0000000000
90;8.4713880000;8.4713880000;0.0000000000
91;8.4713880000;8.4713880000;0.0000000000
92;8.4713880000;8.4713880000;0.0000000000
93;8.4713880000;8.4713880000;0.0000000000
94;8.4713880000;8.4713880000;0.0000000000
95;8.4713880000;8.4713880000;0.0000000000
96;8.4713880000;8.4713880000;0.0000000000
97;8.4713880000;8.4713880000;0.0000000000
98;8.4713880000;8.4713880000;0.0000000000
99;8.4713880000;8.4713880000;0.0000000000
100;8.4713880000;8.4713880000;0.0000000000
101;8.4713880000;8.4713880000;0.0000000000
102;8.4713880000;8.4713880000;0.0000000000
103;8.4713880000;8.4713880000;0.0000000000
104;8.4713880000;8.4713880000;0.0000000000
105;8.4713880000;8.4713880000;0.0000000000
106;8.4713880000;8.4713880000;0.0000000000
107;8.4713880000;8.4713880000;0.0000000000
108;8.4713880000;8.4713880000;0.0000000000
109;8.4713880000;8.4713880000;0.0000000000
110;8.4713880000;8.4713880000;0.0000000000
111;8.4713880000;8.4713880000;0.0000000000
112;8.4713880000;8.4713880000;0.0000000000
113;8.4713880000;8.4713880000;0.0000000000
114;8.4713880000;8.4713880000;0.0000000000
115;8.4713880000;8.4713880000;0.0000000000
116;8.4713880000;8.4713880000;0.0000000000
117;8.4713880000;8.4713880000;0.0000000000
118;8.4713880000;8.4713880000;0.0000000000
119;8.4713880000;8.4713880000;0.0000000000
120;8.4713880000;8.4713880000;0.0000000000
121;8.4713880000;8.4713880000;0.0000000000
122;8.4713880000;8.4713880000;0.0000000000
123;8.4713880000;8.4713880000;0.0000000000
124;8.4713880000;8.4713880000;0.0000000000
125;8.4713880000;8.4713880000;0.0000000000
126;8.4713880000;8.4713880000;0.0000000000
127;8.4713880000;8.4713880000;0.0000000000
128;8.4713880000;8.4713880000;0.0000000000
129;8.4713880000;8.4713880000;0.0000000000
130;8.4713880000;8.4713880000;0.0000000000
131;8.4713880000;8.4713880000;0.0000000000
132;8.4713880000;8.4713880000;0.0000000000
133;8.4713880000;8.4713880000;0.0000000000
134;8.4713880000;8.4713880000;0.0000000000
135;8.4713880000;8.4713880000;0.0000000000
136;8.4713880000;8.4713880000;0.0000000000
137;8.4713880000;8.4713880000;0.0000000000
138;8.4713880000;8.4713880000;0.0000000000
139;8.4713880000;8.4713880000;0.0000000000
140;8.4713880000;8.4713880000;0.0000000000
141;8.4713880000;8.4713880000;0.0000000000
142;8.4713880000;8.4713880000;0.0000000000
143;8.4713880000;8.4713880000;0.0000000000
144;8.4713880000;8.4713880000;0.0000000000
145;8.4713880000;8.4713880000;0.0000000000
146;8.4713880000;8.4713880000;0.0000000000
147;8.4713880000;8.4713880000;0.0000000000
148;8.4713880000;8.4713880000;0.0000000000
149;8.4713880000;8.4713880000;0.0000000000
150;8.4713880000;8.4713880000;0.0000000000
151;8.4713880000;8.4713880000;0.0000000000
152;8.4713880000;8.4713880000;0.0000000000
153;8.4713880000;8.4713880000;0.0000000000
154;8.4713880000;8.4713880000;0.0000000000
155;8.4713880000;8.4713880000;0.0000000000
156;8.4713880000;8.4713880000;0.0000000000
157;8.4713880000;8.4713880000;0.0000000000
158;8.4713880000;8.4713880000;0.0000000000
159;8.4713880000;8.4713880000;0.0000000000
160;8.4713880000;8.4713880000;0.0000000000
161;8.4713880000;8.4713880000;0.0000000000
162;8.4713880000;8.4713880000;0.0000000000
163;8.4713880000;8.4713880000;0.0000000000
164;8.4713880000;8.4713880000;0.0000000000
165;8.4713880000;8.4713880000;0.0000000000
166;8.4713880000;8.4713880000;0.0000000000
167;8.4713880000;8.4713880000;0.0000000000
168;8.4713880000;8.4713880000;0.0000000000
169;8.4713880000;8.4713880000;0.0000000000
170;8.4713880000;8.4713880000;0.0000000000
171;8.4713880000;8.4713880000;0.0000000000
172;8.4713880000;8.4713880000;0.0000000000
173;8.4713880000;8.4713880000;0.0000000000
174;8.4713880000;8.4713880000;0.0000000000
175;8.4713880000;8.4713880000;0.0000000000
176;8.4713880000;8.4713880000;0.0000000000
177;8.4713880000;8.4713880000;0.0000000000
178;8.4713880000;8.4713880000;0.0000000000
179;8.4713880000;8.4713880000;0.0000000000
180;8.4713880000;8.4713880000;0.0000000000
181;8.4713880000;8.4713880000;0.0000000000
182;8.4713880000;8.4713880000;0.0000000000
183;8.4713880000;8.4713880000;0.0000000000
184;8.4713880000;8.4713880000;0.0000000000
185;8.4713880000;8.4713880000;0.0000000000
186;8.4713880000;8.4713880000;0.0000000000
187;8.4713880000;8.4713880000;0.0000000000
188;8.4713880000;8.4713880000;0.0000000000
189;8.4713880000;8.4713880000;0.0000000000
190;8.4713880000;8.4713880000;0.0000000000
191;8.4713880000;8.4713880000;0.0000000000
192;8.4713880000;8.4713880000;0.0000000000
193;8.4713880000;8.4713880000;0.0000000000
194;8.4713880000;8.4713880000;0.0000000000
195;8.4713880000;8.4713880000;0.0000000000
196;8.4713880000;8.4713880000;0.0000000000
197;8.4713880000;8.4713880000;0.0000000000
198;8.4713880000;8.4713880000;0.0000000000
199;8.4713880000;8.4713880000;0.0000000000
200;8.4713880000;8.4713880000;0.0000000000
